Gene,C,Z,Pval,FDR
TEX14,0.5153297904424707,2594.070025463648,0.0,0.0
KCNMB2-AS1,0.49218079040902957,949.0234992702393,0.0,0.0
MIR99AHG,0.7255708620188416,869.7146430267719,0.0,0.0
TENM2,0.5194011803570895,847.9993031319917,0.0,0.0
HSPA1B,0.42612976065184005,825.8774163808248,0.0,0.0
AL627171.2,0.2636493891674071,803.7347993377185,0.0,0.0
PAPPA2,0.6388978603761143,801.9664236882172,0.0,0.0
PTPRD,0.7334828692425389,796.77871816776,0.0,0.0
TUBA1A,0.6493804322877038,766.9125683169351,0.0,0.0
TUBB3,0.7042200610181455,755.3481593483101,0.0,0.0
TMSB10,0.6619962018670467,751.7007383345447,0.0,0.0
HSPA1A,0.397647439276217,737.5885961747847,0.0,0.0
ZFHX3,0.7020050094443929,726.6010021027708,0.0,0.0
OTP,0.37824979194297537,719.8341856235897,0.0,0.0
ADGRV1,0.6967002768971664,719.41252515648,0.0,0.0
NEUROD6,0.6888785356788821,719.182915206058,0.0,0.0
STMN2,0.737710733590625,718.0298207642078,0.0,0.0
RGS6,0.6613096081740273,716.8773802591658,0.0,0.0
ACTG1,0.5887557426608909,716.8136990445556,0.0,0.0
KCNMB2,0.5752719064694312,715.1333873691457,0.0,0.0
PBX3,0.70827485242151,707.2806576406894,0.0,0.0
NFIA-AS2,0.5297568970211431,706.3420077750197,0.0,0.0
FEZF1,0.5745687485847166,701.0382226866154,0.0,0.0
SIX3,0.679339497405387,700.8993321136983,0.0,0.0
ISL1,0.5175255524663556,699.267722403151,0.0,0.0
TUBB2B,0.6103122086022558,695.8270133484177,0.0,0.0
MAB21L1,0.49424003657963284,693.0481698400556,0.0,0.0
THSD4,0.6684162240450118,690.5118826699146,0.0,0.0
SAMD3,0.524399274225496,684.0700649452968,0.0,0.0
STMN1,0.6203859069838317,675.4644769363915,0.0,0.0
NFIA,0.7234508966495288,673.9649388746172,0.0,0.0
NHLH1,0.655069532428998,673.6454492938202,0.0,0.0
DLX6-AS1,0.7552660552230434,665.1564170798028,0.0,0.0
ANK3,0.663251324383717,664.5058907903084,0.0,0.0
GRID2,0.45653905689436647,661.5248716604494,0.0,0.0
DLX5,0.6485821461810635,661.2592512814922,0.0,0.0
NRXN3,0.8064918608425728,660.9947811680959,0.0,0.0
SOX2-OT,0.7590991661563624,651.1588017058173,0.0,0.0
MLLT11,0.620583619793474,644.6315590473306,0.0,0.0
EBF1,0.7896660334080992,639.1161097705451,0.0,0.0
EEF1A1,0.5827025344235827,637.6569682478961,0.0,0.0
VCAN,0.670343447357366,633.0638426600708,0.0,0.0
CREB5,0.7022127364287627,632.9756495844337,0.0,0.0
EBF2,0.6207028859208112,629.3636017508312,0.0,0.0
RTN1,0.6173207679511544,629.0047541964956,0.0,0.0
SIM1,0.4112382709062903,627.399084904877,0.0,0.0
VIM,0.7672625038031948,625.5943782908264,0.0,0.0
