id	symbol	avg_diff|float	p_val|float	_hprdClass	_expr	_geneLists
HCRTR2	HCRTR2	4.57439E+00	0	G protein coupled receptor	BrainSpLMD|3062;BrainSpMouseDev|122371	OMIM|602393
CYP26A1	CYP26A1	4.07748E+00	0	Enzyme: Hydroxylase	BrainSpLMD|1592	OMIM|602239
COL19A1	COL19A1	3.87875E+00	0	Extracellular matrix protein	BrainSpLMD|1310;Eurexp|euxassay_009024|basioccipital bone, basisphenoid bone, clavicle, exoccipital bone, fibula, frontal bone primordium, mandible, maxilla, metatarsus, nasal septum, orbito-sphenoid, otic capsule, parietal bone, petrous part, phalanx, rib, tarsus, tibia, turbinate, vault of skull	OMIM|120165
SORCS1	SORCS1	3.86122E+00	0	Cell surface receptor	BrainSpLMD|114815;Eurexp|euxassay_005027|dorsal root ganglion, frenulum, mantle layer, marginal layer, mesenchyme, neural retina, penis, trigeminal V, urethra, ventricular layer, wall	OMIM|606283
COL25A1	COL25A1	3.54214E+00	0	Extracellular matrix protein	BrainSpLMD|84570	OMIM|610004;HPO|84570|Abnormal vertebral segmentation and fusion, Anteverted nares, Autosomal recessive inheritance, Blepharophimosis, Congenital onset, Deeply set eye, Low posterior hairline, Oculomotor nerve palsy, Ptosis, Sensorineural hearing impairment, Short palpebral fissure, Strabismus
HS3ST4	HS3ST4	3.48059E+00	0	Enzyme: Sulphotransferase	BrainSpLMD|9951;Eurexp|euxassay_013327|mantle layer	OMIM|604059
CARD10	CARD10	3.39426E+00	0	Adapter molecule	BrainSpLMD|29775;Eurexp|euxassay_011116|embryo, incisor, metanephros, molar, oesophagus, renal/urinary system	OMIM|607209
MLIP	MLIP	3.34053E+00	0	Unclassified	BrainSpLMD|90523	OMIM|614106
CLSTN2	CLSTN2	3.25193E+00	0	Calcium binding protein	BrainSpLMD|64084;BrainSpMouseDev|40718	SFARI||Autism, 5 - Hypothesized but untested;OMIM|611323
NPR3	NPR3	3.22843E+00	0	Cell surface receptor	BrainSpLMD|4883;Eurexp|euxassay_010728|atrium, calyces, choroid invagination, choroid plexus, cochlea, cornea, endocardial tissue, endolymphatic duct, left lung, mantle layer, mesenchyme, pancreas, right lung, roof plate, utricle	OMIM|108962
CBLN4	CBLN4	3.20731E+00	0	Unclassified	BrainSpLMD|140689;Eurexp|euxassay_011849|mantle layer;BrainSpMouseDev|86816	OMIM|615029
C8orf34	C8orf34	3.19806E+00	0	Unclassified	BrainSpLMD|116328	
SLC26A4	SLC26A4	3.17450E+00	0	Transport/cargo protein	BrainSpLMD|5172;Eurexp|euxassay_018970|brain, spinal cord, trigeminal V	OMIM|605646;HPO|5172|Abdominal distention, Abnormality of metabolism/homeostasis, Autosomal recessive inheritance, Coarse facial features, Cochlear malformation, Compensated hypothyroidism, Congenital sensorineural hearing impairment, Constipation, Enlarged vestibular aqueduct, Fatigue, Feeding difficulties, Global developmental delay, Goiter, Hypersomnia, Hypoplasia of the cochlea, Hypothyroidism, Intellectual disability, Intellectual disability, severe, Jaundice, Large fontanelles, Macroglossia, Muscle weakness, Muscular hypotonia, Sensorineural hearing impairment, Short stature, Thyroid agenesis, Thyroid carcinoma, Thyroid hypoplasia, Vestibular dysfunction
RP11.29G8.3	RP11.29G8.3	3.14034E+00	0			
GABRG3	GABRG3	3.05118E+00	0	Integral membrane protein	BrainSpLMD|2567;BrainSpMouseDev|14183	OMIM|600233
KLHL1	KLHL1	3.04729E+00	0	Cytoskeletal associated protein	BrainSpLMD|57626;Eurexp|euxassay_011007|extrinsic ocular muscle, mantle layer, ventral grey horn	OMIM|605332
ST18	ST18	3.03002E+00	0	Transcription regulatory protein	BrainSpLMD|9705;BrainSpMouseDev|88752	OMIM|617155
SUSD4	SUSD4	3.02090E+00	0	Complement protein		OMIM|615827
PAPPA	PAPPA	2.98254E+00	0	Metallo protease	BrainSpLMD|5069	OMIM|176385
CRYM	CRYM	2.97142E+00	0	Enzyme: Deaminase	BrainSpLMD|1428;Eurexp|euxassay_004117|associated mesenchyme, cochlea, genital tubercle, incisor, mantle layer, marginal layer, medullary stroma, mesenchyme, molar, nasal cavity, perioptic mesenchyme, utricle, ventricular layer;BrainSpMouseDev|12754	OMIM|123740;HPO|1428|Autosomal dominant inheritance, Sensorineural hearing impairment
VSNL1	VSNL1	2.91917E+00	0	Calcium binding protein	BrainSpLMD|7447	OMIM|600817
RP11.264C15.2	RP11.264C15.2	2.91524E+00	0			
MACROD2	MACROD2	2.91420E+00	0	Unclassified	BrainSpLMD|140733	SFARI||Autism, 3 - Suggestive evidence;OMIM|611567
NHLH2	NHLH2	2.88869E+00	0	Transcription factor	BrainSpLMD|4808;Eurexp|euxassay_019487|dorsal root ganglion, mantle layer, marginal layer, ventricular layer;BrainSpMouseDev|17839	OMIM|162361
LMO3	LMO3	2.84890E+00	0	Transcription regulatory protein	BrainSpLMD|55885;Eurexp|euxassay_016491|intermediate grey horn, mantle layer, ventral grey horn;BrainSpMouseDev|73751	OMIM|180386
LRP1B	LRP1B	2.84386E+00	0	Cell surface receptor	BrainSpLMD|53353;Eurexp|euxassay_013815|floor plate, floorplate, roof plate	OMIM|608766;COSMIC||CLL, ovarian cancer, oesophageal squamous cell carcinoma, urothelial cancer
EGFEM1P	EGFEM1P	2.83599E+00	0			
ASTN2	ASTN2	2.82717E+00	0	Integral membrane protein	BrainSpLMD|23245;Eurexp|euxassay_012805|dorsal root ganglion, facial VII, glossopharyngeal IX, mantle layer, mesenchyme, olfactory, pharyngo-tympanic tube, trachea, trigeminal V, trunk mesenchyme, vestibulocochlear VIII, vibrissa, vomeronasal organ;BrainSpMouseDev|35364	SFARI||Autism, 3 - Suggestive evidence;OMIM|612856
TMEM178A	TMEM178A	2.82704E+00	0	Unclassified	BrainSpLMD|130733;Eurexp|euxassay_007980|mantle layer, marginal layer, ventral grey horn	
CDH18	CDH18	2.82360E+00	0	Adhesion molecule	BrainSpLMD|1016;BrainSpMouseDev|107800	OMIM|603019
SATB1.AS1	SATB1.AS1	2.80313E+00	0			
DPP10	DPP10	2.77641E+00	0	Aminopeptidase;Protease	BrainSpLMD|57628	SFARI||Autism, 3 - Suggestive evidence;OMIM|608209
CNTNAP3	CNTNAP3	2.77377E+00	0	Adhesion molecule	Eurexp|euxassay_013224|mantle layer	SFARI||Autism, No category;OMIM|610517
RP11.26M5.3	RP11.26M5.3	2.75170E+00	0			
SLIT3	SLIT3	2.74414E+00	0	Ligand	BrainSpLMD|6586;BrainSpMouseDev|20326	SFARI||Autism, No category;OMIM|603745
GAS7	GAS7	2.74247E+00	0	Unclassified	BrainSpLMD|8522;Eurexp|euxassay_001801|mantle layer, marginal layer	OMIM|603127;COSMIC||AML*
NR4A2	NR4A2	2.74086E+00	0	Nuclear receptor	BrainSpLMD|4929;BrainSpMouseDev|17994	OMIM|601828;HPO|4929|Bradykinesia, Constipation, Dementia, Depressivity, Dysarthria, Dysphagia, Dystonia, Insidious onset, Lewy bodies, Mask-like facies, Neuronal loss in central nervous system, Parkinsonism, Personality changes, Postural instability, Progressive, Resting tremor, Rigidity, Short stepped shuffling gait, Sleep disturbance, Sporadic, Substantia nigra gliosis, Urinary urgency, Weak voice
CACNG3	CACNG3	2.71632E+00	0	Voltage gated channel	BrainSpLMD|10368	OMIM|606403
LINGO2	LINGO2	2.71523E+00	0	Extracellular matrix protein	BrainSpLMD|158038;Eurexp|euxassay_007955|olfactory	OMIM|609793
GPR37	GPR37	2.70884E+00	0	G protein coupled receptor	BrainSpLMD|2861;Eurexp|euxassay_005522|facial VII, floor plate, floorplate, neural retina, skeletal muscle, testis, trigeminal V, vertebral axis muscle system, vestibulocochlear VIII;BrainSpMouseDev|14539	SFARI||Autism, 4 - Minimal evidence;OMIM|602583
C1orf95	C1orf95	2.70645E+00	0			
GRIK2	GRIK2	2.66231E+00	0	Extracellular ligand gated channel	BrainSpLMD|2898;Eurexp|euxassay_008383|cerebellum, cortex, diencephalon, footplate, hindgut, medulla oblongata, midbrain, midgut, pituitary, pons, spinal cord, stomach, telencephalon, tongue, trigeminal V;BrainSpMouseDev|14582	SFARI||Autism, 3 - Suggestive evidence;OMIM|138244;HPO|2898|Autosomal recessive inheritance, Global developmental delay, Infantile onset, Intellectual disability
GRM5	GRM5	2.65069E+00	0	G protein coupled receptor	BrainSpLMD|2915;Eurexp|euxassay_016595|mantle layer;BrainSpMouseDev|72233	SFARI||Autism, No category;OMIM|604102
MACROD2.AS1	MACROD2.AS1	2.63626E+00	0			
