id	symbol	avg_diff|float	p_val|float	_hprdClass	_expr	_geneLists
GPX3	GPX3	3.28641E+00	0	Enzyme: Peroxidase	BrainSpLMD|2878;Eurexp|euxassay_003296|foregut-midgut junction, hindgut, incisor, left atrium, midgut, right atrium, stomach;BrainSpMouseDev|14554	OMIM|138321
CD38	CD38	3.23723E+00	0	Enzyme: Hydrolase	BrainSpLMD|952	SFARI||Autism, No category;OMIM|107270
SLCO1C1	SLCO1C1	3.19902E+00	0	Membrane transport protein	BrainSpLMD|53919;Eurexp|euxassay_007061|4th ventricle, choroid plexus, forebrain, hindbrain, meninges, midbrain, spinal cord, ventricular layer	OMIM|613389
SLC15A2	SLC15A2	3.15622E+00	0	Membrane transport protein	BrainSpLMD|6565	OMIM|602339
TNC	TNC	3.04970E+00	0	Adhesion molecule	BrainSpLMD|3371;Eurexp|euxassay_009501|axial skeleton, basioccipital bone, basisphenoid bone, clavicle, cochlea, cochlear duct, diaphragm, dorsal grey horn, dorsal root ganglion, exoccipital bone, fibula, handplate, humerus, lip, lung, mandible, mantle layer, maxilla, maxillary division, mesenchyme, molar, nasal septum, oesophagus, orbito-sphenoid, palatal shelf, pelvic girdle, penis, pharyngo-tympanic tube, rib, scapula, skeletal muscle, sternum, temporal bone, thymus primordium, tibia, tongue, trigeminal V, vault of skull, ventral grey horn, ventricle, ventricular layer, vibrissa;BrainSpMouseDev|21680	OMIM|187380;COSMIC||SCC, melanoma;HPO|3371|Autosomal dominant inheritance, Hearing impairment
HERC6	HERC6	3.03477E+00	7.11E-15	Ubiquitin proteasome system protein	BrainSpLMD|55008	OMIM|609249
KAL1	KAL1	2.82879E+00	1.30E-14			
RP11.268P4.5	RP11.268P4.5	2.81619E+00	0			
HTR2A	HTR2A	2.80666E+00	0	G protein coupled receptor	BrainSpLMD|3356;BrainSpMouseDev|15333	SFARI||Autism, 5 - Hypothesized but untested;OMIM|182135
HOPX	HOPX	2.80512E+00	0	Transcription regulatory protein	BrainSpLMD|84525;Eurexp|euxassay_010529|anterior, atrium, external, lateral wall, mantle layer, midgut, ventricle, ventricular layer, vibrissa;BrainSpMouseDev|50159	OMIM|607275
CLU	CLU	2.79303E+00	0	Complement protein	BrainSpLMD|1191;BrainSpMouseDev|12543	OMIM|185430
ATP10B	ATP10B	2.79284E+00	5.44E-15	ATPase	BrainSpLMD|23120	
CD82	CD82	2.78252E+00	3.33E-16	Integral membrane protein;Cell surface receptor	BrainSpLMD|3732;Eurexp|euxassay_011073|choroid plexus, footplate, lobe, meninges, mesenchyme, olfactory, rest of mesenchyme, skeletal muscle, thymus primordium, vertebral axis muscle system	OMIM|600623
