id	symbol	avg_diff|float	p_val|float	_hprdClass	_expr	_geneLists
GRM7	GRM7	2.34453E+00	1.44E-06	G protein coupled receptor	BrainSpLMD|2917	SFARI||Autism, 4 - Minimal evidence;OMIM|604101
GNAL	GNAL	2.21570E+00	1.55E-12	G protein	BrainSpLMD|2774;Eurexp|euxassay_009060|dorsal root ganglion, mantle layer, trigeminal V	OMIM|139312;HPO|2774|Autosomal dominant inheritance, Laryngeal dystonia, Limb dystonia, Lingual dystonia, Torticollis
ATP8A2	ATP8A2	1.98129E+00	2.22E-16	ATPase	BrainSpLMD|51761;Eurexp|euxassay_009705|brain, cervical, cervico-thoracic, dorsal root ganglion, facial VII, glossopharyngeal IX, mantle layer, neural retina, olfactory, spinal cord, thoracic, trigeminal V, vagus X, vestibulocochlear VIII	OMIM|605870;HPO|51761|Ataxia, Autosomal recessive inheritance, Cerebellar atrophy, Cerebral atrophy, Cerebral palsy, Congenital onset, Corpus callosum atrophy, Dysarthria, Gait disturbance, Hyperreflexia, Inability to walk, Intellectual disability, Muscular hypotonia, Seizures, Short stature, Skeletal muscle atrophy, Strabismus, Truncal ataxia
ITPR1	ITPR1	1.94321E+00	9.72E-09	Intracellular ligand gated channel	BrainSpLMD|3708;Eurexp|euxassay_006317|choroid invagination, choroid plexus, roof plate;BrainSpMouseDev|16211	SFARI||Autism, 4 - Minimal evidence;OMIM|147265;HPO|3708|Abnormality of movement, Aniridia, Ataxia, Autosomal recessive inheritance, Cerebellar hypoplasia, Global developmental delay, Hypoplasia of the iris, Intellectual disability, Mask-like facies, Motor delay, Muscular hypotonia, Nystagmus, Postural tremor, Scanning speech, Slurred speech, Visual impairment
RP11.497H16.5	RP11.497H16.5	1.90415E+00	3.80E-08			
RP11.1415C14.4	RP11.1415C14.4	1.89329E+00	0			
LNX1	LNX1	1.81109E+00	0.000493912	Ubiquitin proteasome system protein	BrainSpLMD|84708	OMIM|609732
KCNK2	KCNK2	1.79639E+00	0.000142126	Ion channel;Membrane transport protein	BrainSpLMD|3776;Eurexp|euxassay_000689|limb, olfactory, ventral grey horn, ventricular layer;BrainSpMouseDev|16299	OMIM|603219
GLRA2	GLRA2	1.79119E+00	6.38E-13	Extracellular ligand gated channel	BrainSpLMD|2742;Eurexp|euxassay_006123|brain, spinal cord;BrainSpMouseDev|88304	SFARI||Autism, 5 - Hypothesized but untested;OMIM|305990
GUSBP9	GUSBP9	1.79113E+00	7.57E-08			
NKAIN2	NKAIN2	1.78221E+00	1.85E-14	Integral membrane protein	BrainSpLMD|154215	OMIM|609758
RP11.1415C14.3	RP11.1415C14.3	1.77264E+00	0			
KIAA1456	KIAA1456	1.77142E+00	4.44E-16	Unclassified;Enzyme: Aminomethyl transferase	BrainSpLMD|57604;BrainSpMouseDev|106517	OMIM|615666
VSTM2L	VSTM2L	1.75894E+00	6.48E-10	Unclassified	BrainSpLMD|128434;Eurexp|euxassay_007444|embryo	OMIM|616537
PPP1R14C	PPP1R14C	1.73052E+00	7.07E-06	Regulatory/other subunit	BrainSpLMD|81706	OMIM|613242
MPPED1	MPPED1	1.72653E+00	0	Enzyme: Esterase	Eurexp|euxassay_009802|incisor, mantle layer, marginal layer, molar;BrainSpMouseDev|85966	OMIM|602112
RP11.589F5.4	RP11.589F5.4	1.71446E+00	0			
RP11.1280N14.3	RP11.1280N14.3	1.67193E+00	2.87E-05			
VLDLR.AS1	VLDLR.AS1	1.65845E+00	5.16E-05			
GUSBP3	GUSBP3	1.65754E+00	9.20E-09			
SRM	SRM	1.64053E+00	5.04E-10	Enzyme: Synthase	BrainSpLMD|6723	OMIM|182891
RP11.98J23.2	RP11.98J23.2	1.63923E+00	0			
MSL3	MSL3	1.62725E+00	0.003287999	Transcription factor	BrainSpLMD|10943	OMIM|300609
NT5DC3	NT5DC3	1.62684E+00	0.001889604	Unclassified	BrainSpLMD|51559	OMIM|611076
