id	symbol	avg_diff|float	p_val|float	_hprdClass	_expr	_geneLists
UNC5C	UNC5C	3.50635E+00	0	Cell surface receptor	BrainSpLMD|8633;Eurexp|euxassay_011939|axial skeleton, basioccipital bone, basisphenoid bone, femur, fibula, footplate, left lung, lip, mantle layer, marginal layer, metanephros, naris, nasal septum, orbito-sphenoid, pelvic girdle, petrous part, rib, right lung, tibia, turbinate bones, vault of skull, ventral grey horn;BrainSpMouseDev|22010	OMIM|603610
FAM19A1	FAM19A1	3.34373E+00	0	Chemokine	BrainSpLMD|407738	OMIM|617495
MET	MET	3.29856E+00	0	Receptor tyrosine kinase	BrainSpLMD|4233;Eurexp|euxassay_017756|lip, olfactory;BrainSpMouseDev|17064	SFARI||Autism, 2 - Strong candidate;OMIM|164860;COSMIC||papillary renal, head-neck squamous cell, papillary renal;HPO|4233|Abdominal pain, Autosomal dominant inheritance, Autosomal recessive inheritance, Elevated alpha-fetoprotein, Epigastric pain, Fatigue, Hepatic fibrosis, Hepatic necrosis, Hepatocellular carcinoma, Hepatomegaly, Heterogeneous, Incomplete penetrance, Micronodular cirrhosis, Papillary renal cell carcinoma, Portal vein thrombosis, Somatic mutation, Subacute progressive viral hepatitis, Vomiting
ADAMTSL3	ADAMTSL3	3.27981E+00	0	Metallo protease	BrainSpLMD|57188	OMIM|609199
KCNH5	KCNH5	3.26616E+00	0	Voltage gated channel	BrainSpLMD|27133;Eurexp|euxassay_006564|embryo	OMIM|605716
CDH13	CDH13	3.11294E+00	0	Adhesion molecule	BrainSpLMD|1012;Eurexp|euxassay_011981|Meckel's cartilage, dorsal root ganglion, femur, fibula, handplate, humerus, lip, mantle layer, marginal layer, phalanx, scapula, tarsus, tibia, trigeminal V, vagus X;BrainSpMouseDev|12339	OMIM|601364
ACTN2	ACTN2	3.07394E+00	0	Cytoskeletal associated protein	BrainSpLMD|88	OMIM|102573;HPO|88|Autosomal dominant inheritance, Dilated cardiomyopathy, Endocardial fibroelastosis, Endocardial fibrosis, Phenotypic variability
SYBU	SYBU	2.91872E+00	0		BrainSpLMD|55638;Eurexp|euxassay_006982|corpus striatum, diencephalon, dorsal root ganglion, facial VII, glossopharyngeal IX, hindbrain, mandible, mantle layer, marginal layer, maxilla, midbrain, nasal cavity, olfactory cortex, pancreas, retina, spinal cord, stomach, trigeminal V, vagus X, vestibulocochlear VIII	OMIM|611568
LPL	LPL	2.88985E+00	0	Enzyme: Lipase	BrainSpLMD|4023;Eurexp|euxassay_004410|anterior, atrium, choroid plexus, interdigital region between digits 1 and 2, interdigital region between digits 2 and 3, interdigital region between digits 3 and 4, interdigital region between digits 4 and 5, liver, mantle layer, marginal layer, mesenchyme, olfactory, paraxial mesenchyme, rest of mesenchyme, skeletal muscle, ventricle;BrainSpMouseDev|16726	SFARI||Autism, No category;OMIM|609708;HPO|4023|Autosomal dominant inheritance, Autosomal recessive inheritance, Episodic abdominal pain, Eruptive xanthomas, Hepatosplenomegaly, Hypercholesterolemia, Increased circulating chylomicron levels, Increased circulating low-density lipoprotein levels, Increased circulating very-low-density lipoprotein levels, Jaundice, Lactescent serum, Lipemia retinalis, Myocardial infarction, Nausea, Pancreatitis, Splenomegaly, Vomiting
PTK2B	PTK2B	2.84450E+00	0	Tyrosine kinase	BrainSpLMD|2185	OMIM|601212
