id	symbol	avg_diff|float	p_val|float	_hprdClass	_expr	_geneLists
ACKR3	ACKR3	3.15731E+00	0	G protein coupled receptor	BrainSpLMD|57007;Eurexp|euxassay_005213|atrium, calyces, capsule, cortex, mantle layer, marginal layer, medulla, meninges, mesenchyme, oesophagus, stomach, ventricle, ventricular layer	OMIM|610376;COSMIC||lipoma
NXPH1	NXPH1	2.81678E+00	0	Secreted polypeptide	BrainSpLMD|30010;Eurexp|euxassay_007637|dorsal grey horn, mantle layer, ventral grey horn	SFARI||Autism, 4 - Minimal evidence;OMIM|604639
FAM135B	FAM135B	2.80265E+00	0	Unclassified	BrainSpLMD|51059;Eurexp|euxassay_010225|ventral grey horn	SFARI||Autism, No category;COSMIC||SCLC
PTPRT	PTPRT	2.75440E+00	0	Receptor tyrosine phosphatase	BrainSpLMD|11122	SFARI||Autism, No category;OMIM|608712;COSMIC||HNSCC, colorectal cancer, gastric cancer, lung cancer, melanoma
MAF	MAF	2.73583E+00	0	Transcription factor	BrainSpLMD|4094;Eurexp|euxassay_015869|choroid plexus, dorsal grey horn, facial VII, incisor, lens, mandible, mantle layer, maxilla, metanephros, molar, nasal septum, rib, trigeminal V, ventricular layer;BrainSpMouseDev|16902	OMIM|177075;COSMIC||MM;HPO|4094|Autosomal dominant inheritance, Brachycephaly, Broad eyebrow, Broad philtrum, Cataract, Cerulean cataract, Congenital cataract, Cortical pulverulent cataract, Depressed nasal bridge, Flat face, High forehead, Hypertelorism, Intellectual disability, Iris coloboma, Long philtrum, Low-set ears, Malar flattening, Microcornea, Midface retrusion, Myopia, Narrow mouth, Ptosis, Radioulnar synostosis, Seizures, Sensorineural hearing impairment, Short nose, Short stature, Smooth philtrum, Thin upper lip vermilion, Wide nasal bridge
SST	SST	2.63295E+00	0	Peptide hormone	BrainSpLMD|6750;BrainSpMouseDev|20366	OMIM|182450
AKAP5	AKAP5	2.59608E+00	0	Anchor protein	BrainSpLMD|9495	OMIM|604688
CNTNAP4	CNTNAP4	2.34373E+00	1.18E-11	Adhesion molecule	BrainSpLMD|85445;BrainSpMouseDev|81891	SFARI||Autism, 3 - Suggestive evidence;OMIM|610518
GRIP2	GRIP2	2.30383E+00	0	Unclassified	Eurexp|euxassay_010840|mantle layer, tongue	
RPH3A	RPH3A	2.12901E+00	0	Membrane transport protein	BrainSpLMD|22895	OMIM|612159
ERBB4	ERBB4	2.10849E+00	0	Receptor tyrosine kinase	BrainSpLMD|2066;Eurexp|euxassay_008088|mantle layer, marginal layer, ventricular layer;BrainSpMouseDev|13647	SFARI||Autism, 5 - Hypothesized but untested;OMIM|600543;COSMIC||melanoma, gastric, NSCLC, Amyotrophic lateral sclerosis 19;HPO|2066|Adult onset, Amyotrophic lateral sclerosis, Anxiety, Autosomal dominant inheritance, Depressivity, Dyspnea, Emotional lability, Fatigable weakness of respiratory muscles, Fatigable weakness of swallowing muscles, Fatigue, Generalized muscle weakness, Loss of ability to walk, Muscle cramps, Neurodegeneration, Pain, Paralysis, Respiratory failure, Respiratory insufficiency due to muscle weakness, Skeletal muscle atrophy, Spasticity, Xerostomia
RBMS3	RBMS3	2.10817E+00	1.90E-12	RNA binding protein	BrainSpLMD|27303	SFARI||Autism, 5 - Hypothesized but untested;OMIM|605786
RP11.588P7.2	RP11.588P7.2	2.07627E+00	1.64E-13			
NELL1	NELL1	2.01466E+00	5.05E-10	Enzyme: Oxidoreductase	BrainSpLMD|4745	SFARI||Autism, No category;OMIM|602319
BMP3	BMP3	2.01429E+00	0	Ligand	BrainSpLMD|651;Eurexp|euxassay_008763|axial muscle, axial skeleton, cervical, cervico-thoracic, extrinsic ocular muscle, lip, lung, mandible, mantle layer, maxilla, mesenchyme, metanephros, metatarsus, midgut, nasal septum, nucleus pulposus, orbito-sphenoid, palatal shelf, phalanx, pharyngo-tympanic tube, rib, skeletal muscle, stomach, temporal bone, thoracic, turbinate bones, ureter, urethra, vibrissa;BrainSpMouseDev|74232	OMIM|112263
LHX6	LHX6	1.99232E+00	0	Transcription factor	BrainSpLMD|26468;BrainSpMouseDev|16645	OMIM|608215
TENM2	TENM2	1.97490E+00	1.33E-08	Translation regulatory protein		OMIM|610119
DLGAP1.AS5	DLGAP1.AS5	1.94928E+00	2.99E-07			
VSTM2A	VSTM2A	1.88822E+00	3.41E-12	Unclassified	BrainSpLMD|222008;Eurexp|euxassay_004356|head mesenchyme, mandible, mantle layer, maxilla, mesenchyme, ventral grey horn	
TRERF1	TRERF1	1.82848E+00	2.59E-08	Transcription factor	BrainSpLMD|55809	OMIM|610322
KCNA3	KCNA3	1.80533E+00	1.03E-06	Voltage gated channel	BrainSpLMD|3738;Eurexp|euxassay_010872|mantle layer	OMIM|176263
