id	symbol	avg_diff|float	p_val|float	_hprdClass	_expr	_geneLists
SORCS3	SORCS3	3.64646E+00	0	Cell surface receptor	BrainSpLMD|22986;Eurexp|euxassay_013842|mantle layer, marginal layer	OMIM|606285
PROX1	PROX1	3.48246E+00	0	Transcription factor	BrainSpLMD|5629;Eurexp|euxassay_004159|cardiovascular system, lens, liver, mantle layer, marginal layer, mesenchyme, pancreas, ventricle, ventricular layer;BrainSpMouseDev|18893	OMIM|601546
CALB2	CALB2	3.45559E+00	0	Calcium binding protein	BrainSpLMD|794;BrainSpMouseDev|12093	OMIM|114051
SCGN	SCGN	3.32164E+00	0	Calcium binding protein	BrainSpLMD|10590;Eurexp|euxassay_002978|mantle layer, marginal layer, pancreas, pituitary	OMIM|609202
VSTM2A	VSTM2A	3.17338E+00	0	Unclassified	BrainSpLMD|222008;Eurexp|euxassay_004356|head mesenchyme, mandible, mantle layer, maxilla, mesenchyme, ventral grey horn	
NR2F2	NR2F2	3.08532E+00	0	Nuclear receptor	BrainSpLMD|7026;Eurexp|euxassay_018442|cortex, ductus deferens, extrinsic ocular muscle, incisor, lip, lung, mantle layer, metanephros, metatarsus, molar, oesophagus, stomach, submandibular gland primordium, tongue, trachea, trigeminal V, turbinate bones, ventricular layer, vestibulocochlear VIII, vibrissa;BrainSpMouseDev|11606	OMIM|107773;HPO|7026|Aortic valve stenosis, Atrioventricular canal defect, Autosomal dominant inheritance, Coarctation of aorta, Hypoplastic left heart, Tetralogy of Fallot, Ventricular septal defect
NR2F2.AS1	NR2F2.AS1	3.02786E+00	0			
NRIP3	NRIP3	2.97557E+00	0	Unclassified	BrainSpLMD|56675;Eurexp|euxassay_008471|brachial plexus, dorsal root ganglion, facial VII, lumbo-sacral plexus, mantle layer, marginal layer, mesenchyme, olfactory, rib, submandibular gland primordium, tongue, trigeminal V, ureter, vibrissa;BrainSpMouseDev|54433	OMIM|613125
WNT5A	WNT5A	2.90396E+00	0	Ligand	BrainSpLMD|7474;BrainSpMouseDev|22175	OMIM|164975;HPO|7474|Anteverted nares, Autosomal dominant inheritance, Bifid distal phalanx of toe, Bifid tongue, Brachydactyly, Broad thumb, Broad toe, Clinodactyly, Clinodactyly of the 5th finger, Clitoral hypoplasia, Cryptorchidism, Curly eyelashes, Delayed eruption of teeth, Delayed skeletal maturation, Dental crowding, Depressed nasal bridge, Downslanted palpebral fissures, Downturned corners of mouth, Duplication of the distal phalanx of hand, Epicanthus, Euryblepharon, Flat face, Frontal bossing, Gingival overgrowth, Global developmental delay, Hemivertebrae, High, narrow palate, Hydronephrosis, Hypertelorism, Hypoplasia of penis, Hypoplastic labia majora, Hypoplastic labia minora, Inguinal hernia, Intellectual disability, Long eyelashes, Long palpebral fissure, Long philtrum, Macrocephaly, Macroglossia, Malar flattening, Median cleft lip and palate, Mesomelia, Micrognathia, Micromelia, Micropenis, Midface retrusion, Nevus flammeus, Open bite, Pectus excavatum, Posteriorly rotated ears, Prominent forehead, Proptosis, Radial deviation of finger, Renal duplication, Retrognathia, Right ventricular outlet obstruction, Severe short stature, Short hard palate, Short middle phalanx of the 5th finger, Short nose, Short palm, Thin upper lip vermilion, Triangular mouth, Umbilical hernia, Upslanted palpebral fissure, Wide anterior fontanel, Wide nasal bridge, Wide nose
GS1.18A18.1	GS1.18A18.1	2.80398E+00	0			
THRB	THRB	2.63093E+00	0	Nuclear receptor	BrainSpLMD|7068;Eurexp|euxassay_005806|adenohypophysis, vestibulocochlear VIII;BrainSpMouseDev|21593	OMIM|190160;HPO|7068|Abdominal distention, Abnormality of the thyroid gland, Attention deficit hyperactivity disorder, Autosomal dominant inheritance, Autosomal recessive inheritance, Coarse facial features, Constipation, Convex nasal ridge, Delayed skeletal maturation, Delayed speech and language development, Epiphyseal stippling, Feeding difficulties, Goiter, Hearing impairment, Hyperthyroidism, Hypothyroidism, Increased serum free triiodothyronine, Increased thyroid-stimulating hormone level, Jaundice, Large fontanelles, Macroglossia, Muscular hypotonia, Pectus carinatum, Proptosis, Sensorineural hearing impairment, Sleep disturbance, Small for gestational age, Sprengel anomaly, Thyroid hormone receptor defect, Umbilical hernia
KCNJ3	KCNJ3	2.52552E+00	1.97E-14	Inward rectifier channel	BrainSpLMD|3760	OMIM|601534
KCNJ2	KCNJ2	2.33845E+00	0	Inward rectifier channel	BrainSpLMD|3759;Eurexp|euxassay_013544|mandible, maxilla, olfactory	SFARI||Autism, No category;OMIM|600681;HPO|3759|Antegonial notching of mandible, Atrial fibrillation, Autosomal dominant inheritance, Bidirectional ventricular ectopy, Blepharophimosis, Brachydactyly, Bradycardia, Broad forehead, Bulbous nose, Cleft palate, Clinodactyly of the 5th finger, Clinodactyly of the 5th toe, Delayed eruption of permanent teeth, Delayed skeletal maturation, Depressivity, Facial asymmetry, Growth abnormality, High palate, Hypertelorism, Hypoplasia of dental enamel, Hypoplasia of the maxilla, Joint laxity, Low-set ears, Malar flattening, Microcephaly, Oligodontia, Palpitations, Paroxysmal atrial fibrillation, Periodic hypokalemic paresis, Persistence of primary teeth, Preauricular pit, Prolonged QT interval, Prominent U wave, Prominent frontal sinuses, Scapular winging, Scoliosis, Short foot, Short mandibular rami, Short metacarpal, Short metatarsal, Short palm, Short palpebral fissure, Short phalanx of finger, Shortened QT interval, Slender long bone, Small hand, Syncope, Tachycardia, Thin upper lip vermilion, Toe syndactyly, Triangular face
SP8	SP8	2.21952E+00	0	Transcription factor	BrainSpLMD|221833;BrainSpMouseDev|107080	OMIM|608306
