id	symbol	avg_diff|float	p_val|float	_hprdClass	_expr	_geneLists
SIX3	SIX3	4.00056E+00	0	Transcription factor	BrainSpLMD|6496;Eurexp|euxassay_019625|corpus striatum, dorsal root ganglion, mantle layer, neural retina, olfactory, pituitary, trigeminal V, ventral grey horn, ventricular layer, vomeronasal organ;BrainSpMouseDev|20235	OMIM|603714;HPO|6496|Absent nasal septal cartilage, Adrenal hypoplasia, Agenesis of corpus callosum, Anterior pituitary agenesis, Aplasia of the nose, Autosomal dominant inheritance, Bifid uvula, Cerebellar hypoplasia, Constipation, Cyclopia, Diabetes insipidus, Generalized hypotonia, Global developmental delay, Heterogeneous, Holoprosencephaly, Hypotelorism, Incomplete penetrance, Intellectual disability, Malar flattening, Median cleft lip and palate, Microcephaly, Microphthalmia, Midface retrusion, Schizencephaly, Scoliosis, Seizures, Single median maxillary incisor, Sporadic, Submucous cleft hard palate, Variable expressivity
LINC01305	LINC01305	3.60782E+00	0			
PLEKHH2	PLEKHH2	2.88516E+00	3.60E-11	Cytoskeletal protein	BrainSpLMD|130271	OMIM|612723
SYNPR	SYNPR	2.82559E+00	0	Membrane transport protein	BrainSpLMD|132204;Eurexp|euxassay_003004|alar plate, basal plate, diencephalon, dorsal grey horn, dorsal root ganglion, facial VII, glossopharyngeal IX, hindbrain, mantle layer, marginal layer, medulla oblongata, metencephalon, midbrain, thymus primordium, trigeminal V, vagus X, ventral grey horn, ventricular layer, vestibulocochlear VIII;BrainSpMouseDev|47844	
GUCY1A3	GUCY1A3	2.70385E+00	5.11E-08			
FOXP1	FOXP1	2.63764E+00	0	Transcription factor	BrainSpLMD|27086;Eurexp|euxassay_012052|Meckel's cartilage, axial skeleton, basioccipital bone, basisphenoid bone, exoccipital bone, femur, fibula, handplate, humerus, mantle layer, mesenchyme, metatarsus, nasal septum, orbito-sphenoid, pelvic girdle, rib, scapula, temporal bone, tibia, turbinate;BrainSpMouseDev|72814	SFARI||Autism, 2 - Strong candidate;OMIM|605515;COSMIC||ALL;HPO|27086|Aggressive behavior, Anemia, Autosomal dominant inheritance, B-cell lymphoma, Broad nasal tip, Constipation, Delayed gross motor development, Delayed speech and language development, Downslanted palpebral fissures, Fatigue, Fever, Generalized hypotonia, Hyperactivity, Hyperhidrosis, Hypertelorism, Intellectual disability, Macrocephaly, Nausea and vomiting, Nystagmus, Open mouth, Prominent forehead, Pulmonary infiltrates, Retrognathia, Short nose, Stereotypy, Strabismus, Weight loss
ZNF521	ZNF521	2.45598E+00	2.50E-05	Transcription regulatory protein	BrainSpLMD|25925;BrainSpMouseDev|86218	OMIM|610974;COSMIC||ALL
PLP1	PLP1	2.44138E+00	6.42E-12	Structural protein	BrainSpLMD|5354;BrainSpMouseDev|18587	OMIM|300401;HPO|5354|Abnormal pyramidal signs, Abnormality of extrapyramidal motor function, Ataxia, Babinski sign, Bowel incontinence, Cerebral dysmyelination, Choreoathetosis, Degeneration of the lateral corticospinal tracts, Delayed speech and language development, Dysarthria, Dysmetria, Dysphagia, Dystonia, Failure to thrive, Flexion contracture, Generalized hypotonia, Global developmental delay, Head titubation, Hyperreflexia, Infantile onset, Intellectual disability, Juvenile onset, Lower limb muscle weakness, Lower limb spasticity, Microcephaly, Muscle weakness, Muscular hypotonia, Nystagmus, Optic atrophy, Pes cavus, Phenotypic variability, Progressive spastic quadriplegia, Psychomotor deterioration, Reduction of oligodendroglia, Rotary nystagmus, Scanning speech, Short stature, Skeletal muscle atrophy, Slow progression, Spastic gait, Spastic paraparesis, Spastic paraplegia, Spastic/hyperactive bladder, Spinocerebellar tract degeneration, Sudanophilic leukodystrophy, Tremor, X-linked recessive inheritance
ZFHX3	ZFHX3	2.43152E+00	0	DNA binding protein	BrainSpLMD|463;Eurexp|euxassay_016590|axial skeleton, cervical, cervico-thoracic, cornea, dorsal root ganglion, exoccipital bone, facial VII, glossopharyngeal IX, head mesenchyme, interdigital region between digits 1 and 2, interdigital region between digits 2 and 3, interdigital region between digits 3 and 4, interdigital region between digits 4 and 5, mantle layer, mesenchyme, metatarsus, neural retina, orbito-sphenoid, penis, thoracic, trigeminal V, turbinate, vagus X, vault of skull, ventral grey horn;BrainSpMouseDev|11693	OMIM|104155;COSMIC||endometrial, gastric, prostate
FAM84A	FAM84A	2.33494E+00	5.69E-06	Unclassified	BrainSpLMD|151354;Eurexp|euxassay_003388|respiratory, submandibular gland primordium, urethra, vibrissa	OMIM|611234
