id	symbol	avg_diff|float	p_val|float	_hprdClass	_expr	_geneLists
BEST3	BEST3	2.76604E+00	2.86E-11	Integral membrane protein	BrainSpLMD|144453	OMIM|607337
MYO1B	MYO1B	2.63238E+00	9.17E-09	Motor protein	BrainSpLMD|4430;Eurexp|euxassay_006192|mantle layer, olfactory, ventricular layer	OMIM|606537
HNRNPRP1	HNRNPRP1	2.57601E+00	1.13E-08			
ST18	ST18	2.52962E+00	8.21E-07	Transcription regulatory protein	BrainSpLMD|9705;BrainSpMouseDev|88752	OMIM|617155
NKX2.1	NKX2.1	2.44157E+00	1.11E-16			
GRIK3	GRIK3	2.35305E+00	0.000164669	Extracellular ligand gated channel	BrainSpLMD|2899;BrainSpMouseDev|14583	SFARI||Autism, No category;OMIM|138243
LMO1	LMO1	2.33432E+00	1.35E-13	Transcription factor	BrainSpLMD|4004;BrainSpMouseDev|73752	OMIM|186921;COSMIC||T-ALL, neuroblastoma, neuroblastoma;HPO|4004|Elevated urinary catecholamines, Neoplasm of the nervous system
E2F2	E2F2	2.29787E+00	0.000610484	Transcription factor	BrainSpLMD|1870;BrainSpMouseDev|88998	OMIM|600426
TOX3	TOX3	2.23288E+00	0	Unclassified	Eurexp|euxassay_006138|cortex, dorsal root ganglion, epithelium, facial VII, glossopharyngeal IX, mantle layer, mesenchyme, midgut, olfactory, pancreas, paraxial mesenchyme, penis, retina, stomach, stroma, tongue, trigeminal V, ventricular layer, vestibulocochlear VIII;BrainSpMouseDev|89252	OMIM|611416
MTAP	MTAP	2.20710E+00	0.000641633	Enzyme: Phosphorylase	BrainSpLMD|4507;Eurexp|euxassay_003372|axial muscle, cranium, incisor, mantle layer, marginal layer, orbito-sphenoid, submandibular gland primordium, ventral grey horn, ventricular layer, vibrissa	OMIM|156540
ZC3H12C	ZC3H12C	2.17366E+00	8.56E-07	Unclassified		OMIM|615001
CDK6	CDK6	2.17188E+00	5.73E-13	Cell cycle control protein	BrainSpLMD|1021	OMIM|603368;COSMIC||ALL;HPO|1021|Abnormal cortical bone morphology, Agenesis of corpus callosum, Autosomal recessive inheritance, Cortical gyral simplification, Global developmental delay, Heterotopia, Hyperreflexia, Hypoplasia of the frontal lobes, Intellectual disability, Intellectual disability, mild, Intellectual disability, severe, Microcephaly, Pachygyria, Short stature, Sloping forehead, Thin upper lip vermilion, Unilateral renal agenesis, Upslanted palpebral fissure, Ventriculomegaly, Vesicoureteral reflux
WDR70	WDR70	2.16632E+00	0.004525173	Unclassified	BrainSpLMD|55100	OMIM|617233
GAD2	GAD2	2.13966E+00	1.51E-09	Enzyme: Decarboxylase	BrainSpLMD|2572;Eurexp|euxassay_001769|dorsal grey horn, lateral ventricle, mantle layer;BrainSpMouseDev|14193	OMIM|138275
DLX1	DLX1	2.13629E+00	0	Transcription factor	BrainSpLMD|1745;Eurexp|euxassay_008426|cochlea, epithelium, footplate, handplate, incisor, inner ear, mantle layer, midgut, naso-lacrimal duct, neural retina, oesophagus, paraxial mesenchyme, retina, skeletal muscle, skeleton, stomach, utricle, vibrissa;BrainSpMouseDev|13169	SFARI||Autism, 5 - Hypothesized but untested;OMIM|600029
DLX2	DLX2	2.03506E+00	0	Transcription factor	BrainSpLMD|1746;BrainSpMouseDev|13171	SFARI||Autism, 4 - Minimal evidence;OMIM|126255
SF3B4	SF3B4	2.00279E+00	0.003071468	RNA binding protein	BrainSpLMD|10262	OMIM|605593;HPO|10262|Abnormal nasal morphology, Abnormality of cardiovascular system morphology, Abnormality of pelvic girdle bone morphology, Abnormality of the cervical spine, Absent radius, Absent thumb, Aganglionic megacolon, Aplasia/Hypoplasia of the eyebrow, Aplasia/Hypoplasia of the radius, Aplasia/Hypoplasia of the thumb, Aplasia/Hypoplasia of the ulna, Aqueductal stenosis, Arrhinencephaly, Atresia of the external auditory canal, Autosomal dominant inheritance, Bicornuate uterus, Broad hallux, Cleft palate, Cleft upper lip, Clinodactyly, Conductive hearing impairment, Delayed speech and language development, Downslanted palpebral fissures, Fibular hypoplasia, Foot oligodactyly, Gastroschisis, Hallux valgus, Hand oligodactyly, Hearing impairment, Hip dislocation, Hydrocephalus, Hypoplasia of first ribs, Hypoplasia of the epiglottis, Hypoplasia of the maxilla, Hypoplasia of the radius, Hypoplasia of the zygomatic bone, Joint stiffness, Laryngeal hypoplasia, Limited elbow extension, Low-set ears, Lower eyelid coloboma, Malar flattening, Microcephaly, Micrognathia, Microretrognathia, Microtia, Midface retrusion, Overlapping toe, Polymicrogyria, Posteriorly rotated ears, Preauricular skin tag, Premature birth, Prominent nasal bridge, Ptosis, Radial deviation of finger, Radioulnar synostosis, Respiratory insufficiency, Retrognathia, Scoliosis, Short stature, Short toe, Skeletal dysplasia, Sparse lower eyelashes, Sprengel anomaly, Talipes equinovarus, Tetralogy of Fallot, Toe syndactyly, Triphalangeal thumb, Trismus, Unilateral renal agenesis, Urticaria, Variable expressivity, Velopharyngeal insufficiency, Wide mouth
KLHL13	KLHL13	1.99013E+00	6.34E-05	Cytoskeletal associated protein	BrainSpLMD|90293;Eurexp|euxassay_010975|diaphragm, footplate, handplate, mantle layer, paraxial mesenchyme, rest of mesenchyme, skeletal muscle, vertebral axis muscle system	OMIM|300655
AC006042.8	AC006042.8	1.93887E+00	0.000134026			
DLEU1	DLEU1	1.92747E+00	0.000535904	Unclassified	BrainSpLMD|10301	OMIM|605765
DLL3	DLL3	1.91321E+00	2.12E-07	Ligand	BrainSpLMD|10683;BrainSpMouseDev|13168	OMIM|602768;HPO|10683|Abnormal form of the vertebral bodies, Abnormality of immune system physiology, Abnormality of the intervertebral disk, Abnormality of the odontoid process, Autosomal recessive inheritance, Block vertebrae, Death in infancy, Disproportionate short-trunk short stature, Hemivertebrae, Intrauterine growth retardation, Kyphosis, Recurrent respiratory infections, Respiratory insufficiency, Rib fusion, Rib segmentation abnormalities, Scoliosis, Severe short stature, Short neck, Short stature, Short thorax, Vertebral segmentation defect
PPCS	PPCS	1.90445E+00	0.004266307	Enzyme: Synthase	BrainSpLMD|79717	OMIM|609853
PTPRN2	PTPRN2	1.88871E+00	0.000118141	Receptor tyrosine phosphatase	BrainSpLMD|5799	OMIM|601698
DLL1	DLL1	1.85163E+00	2.22E-08	Calcium binding protein	BrainSpLMD|28514;Eurexp|euxassay_014876|anterior, calyces, diaphragm, extrinsic, interdigital region between digits 1 and 2, interdigital region between digits 2 and 3, interdigital region between digits 3 and 4, interdigital region between digits 4 and 5, intrinsic, marginal layer, midgut, olfactory, olfactory lobe, paraxial mesenchyme, rectum, rest of mesenchyme, retina, stomach, ventricular layer, vertebral axis muscle system, vibrissa;BrainSpMouseDev|13167	OMIM|606582
METAP1D	METAP1D	1.83036E+00	6.50E-10		BrainSpLMD|254042	OMIM|610267
