id	symbol	avg_diff|float	p_val|float	_hprdClass	_expr	_geneLists
IL33	IL33	3.65116E+00	0	Unclassified	Eurexp|euxassay_011591|capsule, cortex, endolymphatic duct, lip, mesentery, midgut, olfactory, skeletal muscle, utricle	OMIM|608678
GHR	GHR	3.49411E+00	3.27E-13	Cell surface receptor	BrainSpLMD|2690	OMIM|600946;HPO|2690|Abnormal facial shape, Abnormal joint morphology, Abnormality of metabolism/homeostasis, Abnormality of the elbow, Aplasia/Hypoplasia involving the nose, Autosomal recessive inheritance, Brachydactyly, Decreased serum insulin-like growth factor 1, Delayed eruption of teeth, Delayed menarche, Delayed puberty, Delayed skeletal maturation, High forehead, High pitched voice, Hypoglycemia, Hypoplasia of penis, Hypoplastic nasal bridge, Microdontia, Micrognathia, Motor delay, Reduced number of teeth, Severe short stature, Short long bone, Short stature, Short toe, Small face, Truncal obesity, Underdeveloped supraorbital ridges
DNAH7	DNAH7	3.28716E+00	3.88E-12	Motor protein	BrainSpLMD|56171;Eurexp|euxassay_014217|dorsal root ganglion, facial VII, forebrain, glossopharyngeal IX, hindbrain, midbrain, neural retina, spinal cord, trigeminal V, vagus X, vestibulocochlear VIII	OMIM|610061
SPON1	SPON1	3.23766E+00	3.89E-11	Extracellular matrix protein	BrainSpLMD|10418;Eurexp|euxassay_009887|aorta, mandible, mantle layer, marginal layer, maxilla, pharyngo-tympanic tube, ventral grey horn, ventricular layer	OMIM|604989
SLC7A11	SLC7A11	3.13837E+00	1.11E-16	Membrane transport protein	BrainSpLMD|23657;Eurexp|euxassay_012149|choroid invagination, lens, meninges, olfactory, ventricular layer	OMIM|607933
ANGPT1	ANGPT1	2.88482E+00	6.25E-13	Growth factor	BrainSpLMD|284;BrainSpMouseDev|11387	OMIM|601667
LRP2	LRP2	2.83217E+00	8.66E-15	Cell surface receptor	BrainSpLMD|4036;Eurexp|euxassay_013970|calyces, cochlea, olfactory, utricle, ventricular layer	SFARI||Autism, 4 - Minimal evidence;OMIM|600073;HPO|4036|Aplasia/Hypoplasia of the corpus callosum, Autosomal recessive inheritance, Broad forehead, Broad nasal tip, Congenital diaphragmatic hernia, Depressed nasal bridge, Downslanted palpebral fissures, Global developmental delay, Hypertelorism, Infra-orbital crease, Intellectual disability, Low-set ears, Macrocephaly, Malar flattening, Midface retrusion, Myopia, Omphalocele, Partial agenesis of the corpus callosum, Posteriorly rotated ears, Progressive visual loss, Proptosis, Proteinuria, Retinal detachment, Retinal dystrophy, Sensorineural hearing impairment, Short nose, Umbilical hernia, Wide anterior fontanel, Widow's peak
BAG2	BAG2	2.79857E+00	1.90E-06	Adapter molecule	BrainSpLMD|9532	OMIM|603882
TC2N	TC2N	2.75665E+00	1.37E-12	Transport/cargo protein	BrainSpLMD|123036	
VEPH1	VEPH1	2.69952E+00	2.11E-15	Unclassified	BrainSpLMD|79674	OMIM|609594
