id	symbol	avg_diff|float	p_val|float	_hprdClass	_expr	_geneLists
E2F8	E2F8	2.94225E+00	1.18E-14	Transcription factor	BrainSpLMD|79733;BrainSpMouseDev|73120	OMIM|612047
E2F2	E2F2	2.80656E+00	0	Transcription factor	BrainSpLMD|1870;BrainSpMouseDev|88998	OMIM|600426
ZNF833P	ZNF833P	2.73680E+00	5.05E-12			
BRCA1	BRCA1	2.67634E+00	0	Transcription regulatory protein	BrainSpLMD|672;Eurexp|euxassay_019531|incisor, liver, lung, marginal layer, metanephros, molar, olfactory, pancreas, submandibular gland primordium, testis, thymus primordium, thyroid, ventricular layer, vibrissa, vomeronasal organ;BrainSpMouseDev|11975	OMIM|113705;COSMIC||ovarian, breast, ovarian;HPO|672|Abdominal distention, Abdominal pain, Abnormality of the fallopian tube, Autosomal dominant inheritance, Breast carcinoma, Constipation, Heterogeneous, Nausea and vomiting, Neoplasm, Ovarian neoplasm, Peritonitis, Primary peritoneal carcinoma
HIST1H2BH	HIST1H2BH	2.65480E+00	2.22E-16	DNA binding protein		OMIM|602806
MCM10	MCM10	2.61749E+00	0	DNA binding protein	BrainSpLMD|55388	OMIM|609357
NCAPH	NCAPH	2.60188E+00	1.52E-14	Cell cycle control protein	BrainSpLMD|23397;Eurexp|euxassay_002558|ventricular layer	OMIM|602332
CASC5	CASC5	2.58416E+00	0			
EXO1	EXO1	2.53491E+00	3.77E-15	DNA exonuclease	BrainSpLMD|9156;Eurexp|euxassay_008408|anterior, bladder, cornea, epithelium, external, footplate, handplate, incisor, left lung, liver, mantle layer, marginal layer, metanephros, midgut, molar, nasal septum, naso-lacrimal duct, olfactory, pancreas, rest of mesenchyme, retina, right lung, skeletal muscle, stomach, submandibular gland primordium, thymus primordium, thyroid, trachea, urethra, ventricular layer, vertebral axis muscle system, vibrissa, vomeronasal organ	OMIM|606063
KIF15	KIF15	2.41062E+00	0	Cell cycle control protein	BrainSpLMD|56992	OMIM|617569
STIL	STIL	2.35399E+00	1.86E-10	Unclassified	BrainSpLMD|6491	OMIM|181590;COSMIC||T-ALL;HPO|6491|Abnormal cortical bone morphology, Agenesis of corpus callosum, Autosomal recessive inheritance, Congenital onset, Global developmental delay, Heterotopia, Hyperreflexia, Hypoplasia of the frontal lobes, Intellectual disability, Intellectual disability, severe, Microcephaly, Pachygyria, Short stature, Sloping forehead, Thin upper lip vermilion, Unilateral renal agenesis, Upslanted palpebral fissure, Ventriculomegaly, Vesicoureteral reflux
NCAPG2	NCAPG2	2.33286E+00	0	Unclassified	BrainSpLMD|54892;Eurexp|euxassay_002384|axial muscle, epithelium, lobe, olfactory, ventricular layer	OMIM|608532
SPAG5	SPAG5	2.31531E+00	0	Cytoskeletal associated protein	BrainSpLMD|10615	OMIM|615562
TYMS	TYMS	2.30340E+00	0	Enzyme: Ligase	BrainSpLMD|7298;Eurexp|euxassay_008886|cardiovascular system, cavities and their linings, gland, integumental system, limb, marginal layer, mesenchyme, sensory organ, tail, ventricular layer, vertebral axis muscle system, visceral organ	OMIM|188350
FBXO5	FBXO5	2.29275E+00	0	Cell cycle control protein	BrainSpLMD|26271;Eurexp|euxassay_012335|marginal layer, ventricular layer	OMIM|606013
SPC25	SPC25	2.29216E+00	0	Cell cycle control protein	BrainSpLMD|57405;Eurexp|euxassay_000451|mantle layer, medulla oblongata, ventral grey horn, ventricular layer	OMIM|609395
