id	symbol	avg_diff|float	p_val|float	_hprdClass	_expr	_geneLists
LRP2	LRP2	3.29681E+00	2.68E-11	Cell surface receptor	BrainSpLMD|4036;Eurexp|euxassay_013970|calyces, cochlea, olfactory, utricle, ventricular layer	SFARI||Autism, 4 - Minimal evidence;OMIM|600073;HPO|4036|Aplasia/Hypoplasia of the corpus callosum, Autosomal recessive inheritance, Broad forehead, Broad nasal tip, Congenital diaphragmatic hernia, Depressed nasal bridge, Downslanted palpebral fissures, Global developmental delay, Hypertelorism, Infra-orbital crease, Intellectual disability, Low-set ears, Macrocephaly, Malar flattening, Midface retrusion, Myopia, Omphalocele, Partial agenesis of the corpus callosum, Posteriorly rotated ears, Progressive visual loss, Proptosis, Proteinuria, Retinal detachment, Retinal dystrophy, Sensorineural hearing impairment, Short nose, Umbilical hernia, Wide anterior fontanel, Widow's peak
VEPH1	VEPH1	2.62734E+00	0	Unclassified	BrainSpLMD|79674	OMIM|609594
ILDR2	ILDR2	2.54086E+00	0	Immunoglobulin	BrainSpLMD|387597	
MCM4	MCM4	2.24763E+00	0	DNA binding protein	BrainSpLMD|4173	SFARI||Autism, 4 - Minimal evidence;OMIM|602638;HPO|4173|Adrenal insufficiency, Autosomal recessive inheritance, Global developmental delay, Hepatomegaly, Intrauterine growth retardation, Lymphadenopathy, Lymphoproliferative disorder, Microcephaly, Postnatal growth retardation, Recurrent respiratory infections, Recurrent viral infections, Splenomegaly
FZD5	FZD5	2.16599E+00	5.07E-13	G protein coupled receptor	BrainSpLMD|7855;BrainSpMouseDev|14143	OMIM|601723
RP11.714G18.1	RP11.714G18.1	2.15711E+00	0			
MCM3	MCM3	2.12678E+00	0	DNA binding protein	BrainSpLMD|4172;Eurexp|euxassay_001694|marginal layer, ventricular layer	OMIM|602693
LMO1	LMO1	2.08382E+00	1.78E-15	Transcription factor	BrainSpLMD|4004;BrainSpMouseDev|73752	OMIM|186921;COSMIC||T-ALL, neuroblastoma, neuroblastoma;HPO|4004|Elevated urinary catecholamines, Neoplasm of the nervous system
LIMD1	LIMD1	2.07379E+00	1.28E-09	Transcription regulatory protein	BrainSpLMD|8994	OMIM|604543
LRR1	LRR1	2.04387E+00	3.40E-06	Unclassified	BrainSpLMD|122769	OMIM|609193
