id	symbol	avg_diff|float	p_val|float	_hprdClass	_expr	_geneLists
BCAS1	BCAS1	6.82209E+00	0	Unclassified	BrainSpLMD|8537	SFARI||Autism, No category;OMIM|602968
LIMS2	LIMS2	5.22002E+00	0	Adapter molecule	BrainSpLMD|55679	OMIM|607908;HPO|55679|Autosomal recessive inheritance, Calf muscle hypertrophy, Childhood onset, Dilated cardiomyopathy, Elevated serum creatine phosphokinase, Increased connective tissue, Muscular dystrophy, Progressive, Reduced systolic function, Skeletal muscle atrophy, Talipes equinovarus, Tetraparesis, Triangular tongue
PCDH15	PCDH15	5.20873E+00	0	Adhesion molecule	BrainSpLMD|65217	SFARI||Autism, 4 - Minimal evidence;OMIM|605514;HPO|65217|Abnormal electroretinogram, Abnormality of cochlea, Aplasia/Hypoplasia of the cerebellum, Ataxia, Autosomal recessive inheritance, Cataract, Congenital sensorineural hearing impairment, Global developmental delay, Hearing impairment, Hemianopia, High-grade hypermetropia, Infantile onset, Intellectual disability, Iris hypopigmentation, Motor delay, Nyctalopia, Rod-cone dystrophy, Schizophrenia, Scotoma, Sensorineural hearing impairment, Vestibular dysfunction, Vestibular hypofunction, Visual loss
CLDN11	CLDN11	5.20572E+00	0	Cell junction protein	BrainSpLMD|5010;Eurexp|euxassay_006682|Meckel's cartilage, calyces, cortex, epithelium, mandible, maxilla, meninges, mesenchyme, metatarsus, pectoralis major, pectoralis minor, petrous part, posterior, trachea, turbinate bones, ureter;BrainSpMouseDev|18184	OMIM|601326
MBP	MBP	5.20134E+00	8.44E-15	Structural protein	BrainSpLMD|4155;Eurexp|euxassay_015084|basal columns, brachial plexus, dorsal root ganglion, glossopharyngeal IX, left lung, mantle layer, mesenchyme, oesophagus, right lung, trigeminal V, vagus X;BrainSpMouseDev|16965	OMIM|159430
TF	TF	5.18972E+00	0	Transport/cargo protein	BrainSpLMD|7018;Eurexp|euxassay_000652|lobe;BrainSpMouseDev|21798	OMIM|190000;HPO|7018|Abnormality of the liver, Anemia, Atransferrinemia, Autosomal recessive inheritance, Congestive heart failure, Hypochromic anemia, Recurrent infections
APOD	APOD	5.18161E+00	0	Transport/cargo protein	BrainSpLMD|347;Eurexp|euxassay_001865|Meckel's cartilage, body-wall mesenchyme, clavicle, cochlea, cochlear duct, intervertebral disc, lateral wall, lip, meninges, oral epithelium, penis, sacral region, turbinate bones, vibrissa;BrainSpMouseDev|11602	OMIM|107740
GPR17	GPR17	5.10344E+00	0	G protein coupled receptor	BrainSpLMD|2840;Eurexp|euxassay_016541|mantle layer, stomach, ventral grey horn, ventricular layer	OMIM|603071
PDGFRA	PDGFRA	5.06979E+00	0	Receptor tyrosine kinase	BrainSpLMD|5156;BrainSpMouseDev|18361	OMIM|173490;COSMIC||GIST, idiopathic hypereosinophilic syndrome, paediatric glioblastoma, GIST;HPO|5156|Abnormality of the nervous system, Autosomal dominant inheritance, Constipation, Dysphagia, Endocardial fibrosis, Eosinophilia, Fatigue, Gastrointestinal hemorrhage, Gastrointestinal stroma tumor, Hepatomegaly, Hyperpigmentation of the skin, Intestinal obstruction, Large hands, Myalgia, Myeloproliferative disorder, Nausea and vomiting, Neoplasm of the stomach, Neurofibromas, Pruritus, Pulmonary infiltrates, Restrictive cardiomyopathy, Sarcoma, Somatic mutation, Splenomegaly, Sporadic, Urticaria, Venous thrombosis
ERBB3	ERBB3	4.47107E+00	0	Receptor tyrosine kinase	BrainSpLMD|2065;Eurexp|euxassay_013512|bladder, diaphragm, epithelium, extraembryonic component, footplate, glossopharyngeal IX, left lung, midgut, oesophagus, olfactory, paraxial mesenchyme, rest of mesenchyme, right lung, skeletal muscle, stomach, trigeminal V, vagus X, vertebral axis muscle system, vestibulocochlear VIII, vibrissa;BrainSpMouseDev|13645	OMIM|190151;COSMIC||colon, gastric, head and neck, bladder, skin;HPO|2065|Akinesia, Arthrogryposis multiplex congenita, Autosomal recessive inheritance, Decreased fetal movement, Degenerative vitreoretinopathy, Edema, Hydronephrosis, Micrognathia, Polyhydramnios, Respiratory failure, Severe Myopia, Skeletal muscle atrophy
UGT8	UGT8	4.36081E+00	0	Enzyme: Glycosyltransferase	BrainSpLMD|7368	OMIM|601291
PMP2	PMP2	4.33339E+00	0	Transport/cargo protein	BrainSpLMD|5375	OMIM|170715
S100B	S100B	4.08317E+00	0	Calcium binding protein	BrainSpLMD|6285;BrainSpMouseDev|19966	OMIM|176990
LHFPL3	LHFPL3	4.05569E+00	0	Unclassified	BrainSpLMD|375612;Eurexp|euxassay_011531|mantle layer	OMIM|609719
B3GNT7	B3GNT7	3.86897E+00	0	Enzyme: Galactosyltransferase	BrainSpLMD|93010	OMIM|615313
