id	symbol	avg_diff|float	p_val|float	_hprdClass	_expr	_geneLists
KIAA1324	KIAA1324	1.86659E+00	0	Unclassified	BrainSpLMD|57535	OMIM|611298
HS3ST1	HS3ST1	1.69553E+00	0	Enzyme: Sulphotransferase	BrainSpLMD|9957;Eurexp|euxassay_011898|Meckel's cartilage, femur, fibula, hip, humerus, mantle layer, mesenchyme, metatarsus, rib, scapula, submandibular gland primordium, tibia, ventricular layer	OMIM|603244
NRP1	NRP1	1.62256E+00	0	Cell surface receptor	BrainSpLMD|8829;BrainSpMouseDev|17953	OMIM|602069
EML6	EML6	1.60462E+00	0	Unclassified	Eurexp|euxassay_002686|cervical, cervico-thoracic, diencephalon, glossopharyngeal IX, hindbrain, mantle layer, marginal layer, midbrain, neural retina, olfactory, stroma, thoracic, trigeminal V, ventral grey horn	
PRSS12	PRSS12	1.55553E+00	0	Serine protease	BrainSpLMD|8492;Eurexp|euxassay_015396|head mesenchyme, lower jaw, molar, nasal capsule, upper jaw;BrainSpMouseDev|18905	OMIM|606709;HPO|8492|Autosomal recessive inheritance, Babinski sign, Hyperactive deep tendon reflexes, Intellectual disability, Nystagmus, Strabismus
ADRA2A	ADRA2A	1.51135E+00	0	G protein coupled receptor	BrainSpLMD|150;Eurexp|euxassay_010849|basisphenoid bone, mantle layer, marginal layer, naris, nasal capsule, olfactory, ventral grey horn;BrainSpMouseDev|11338	OMIM|104210
SLA	SLA	1.48770E+00	0	Adapter molecule	BrainSpLMD|6503	OMIM|601099
DPY19L1	DPY19L1	1.46661E+00	0	Unclassified		OMIM|613892
SLC17A6	SLC17A6	1.44971E+00	0	Membrane transport protein	BrainSpLMD|57084;Eurexp|euxassay_004371|dorsal root ganglion, facial VII, glossopharyngeal IX, mantle layer, marginal layer, mesenchyme, neural retina, olfactory, spinal cord, stroma, trigeminal V, vagus X, vestibulocochlear VIII;BrainSpMouseDev|80230	OMIM|607563
UNC5D	UNC5D	1.42173E+00	0	Unclassified	BrainSpLMD|137970;Eurexp|euxassay_012466|basal plate, clavicle, incisor, lip, mantle layer, molar, palatal shelf, respiratory, ventral grey horn, ventricular layer, vibrissa;BrainSpMouseDev|84240	OMIM|616466
CNTN2	CNTN2	1.42088E+00	0	Adhesion molecule	BrainSpLMD|6900;Eurexp|euxassay_000546|alar columns, dorsal root ganglion, epithalamic recess, glossopharyngeal IX, hypothalamus, lateral wall, mantle layer, marginal layer, neural retina, spinal cord, thalamus, trigeminal V, vagus X, vestibulocochlear VIII;BrainSpMouseDev|21128	OMIM|190197;HPO|6900|Autosomal recessive inheritance, EEG abnormality, Focal seizures, Generalized seizures, Generalized tonic-clonic seizures, Hand tremor, Myoclonus, Seizures, Tremor
SEMA3C	SEMA3C	1.37116E+00	0	Ligand	BrainSpLMD|10512;BrainSpMouseDev|20111	OMIM|602645;HPO|10512|Abdominal pain, Aganglionic megacolon, Constipation, Intestinal obstruction, Nausea and vomiting, Weight loss
PALMD	PALMD	1.35796E+00	0	Unclassified	BrainSpLMD|54873	OMIM|610182
RBFOX1	RBFOX1	1.29254E+00	0		BrainSpLMD|54715;Eurexp|euxassay_013824|cervical, cervico-thoracic, dorsal root ganglion, facial VII, glossopharyngeal IX, mantle layer, neural retina, thoracic, trigeminal V	SFARI||Autism, 3 - Suggestive evidence;OMIM|605104
KCNQ3	KCNQ3	1.28709E+00	0	Voltage gated channel	BrainSpLMD|3786;Eurexp|euxassay_008387|mantle layer, marginal layer, midgut, rib, ventral grey horn;BrainSpMouseDev|75016	SFARI||Autism, 3 - Suggestive evidence;OMIM|602232;HPO|3786|Abnormality of vision, Autosomal dominant inheritance, Choreoathetosis, Deeply set eye, Dysesthesia, Dyskinesia, Focal clonic seizures, Generalized tonic-clonic seizures, Hypertonia, Muscular hypotonia, Myoclonus, Reduced consciousness/confusion, Seizures
SCRT2	SCRT2	1.26569E+00	0	Transcription regulatory protein	BrainSpLMD|85508;Eurexp|euxassay_016519|dorsal root ganglion, facial VII, glossopharyngeal IX, mantle layer, neural retina, trigeminal V, ventricular layer, vestibulocochlear VIII	
SYP	SYP	1.25523E+00	2.41E-09	Transport/cargo protein	BrainSpLMD|6855	OMIM|313475;HPO|6855|Intellectual disability, X-linked dominant inheritance
RNU6.457P	RNU6.457P	1.24025E+00	0			
TTC28	TTC28	1.23461E+00	0	Unclassified	BrainSpLMD|23331	OMIM|615098
RBFOX3	RBFOX3	1.22933E+00	0			OMIM|616999
CLMP	CLMP	1.22815E+00	0		BrainSpLMD|79827;Eurexp|euxassay_001798|mantle layer, marginal layer	OMIM|611693;HPO|79827|Abnormal peristalsis, Autosomal recessive inheritance, Chronic diarrhea, Cognitive impairment, Congenital shortened small intestine, Decreased intestinal transit time, Failure to thrive, Hypotrichosis, Intestinal hypoplasia, Intestinal malrotation, Lipoatrophy, Short stature, Steatorrhea
