id	symbol	avg_diff|float	p_val|float	_hprdClass	_expr	_geneLists
NRP1	NRP1	1.81177E+00	0	Cell surface receptor	BrainSpLMD|8829;BrainSpMouseDev|17953	OMIM|602069
PALMD	PALMD	1.66015E+00	0	Unclassified	BrainSpLMD|54873	OMIM|610182
SLC24A2	SLC24A2	1.60480E+00	0	Membrane transport protein	BrainSpLMD|25769	SFARI||Autism, No category;OMIM|609838
SETD7	SETD7	1.59795E+00	7.47E-11	Enzyme: Methyltransferase	BrainSpLMD|80854;BrainSpMouseDev|49092	OMIM|606594
PRSS12	PRSS12	1.55751E+00	0	Serine protease	BrainSpLMD|8492;Eurexp|euxassay_015396|head mesenchyme, lower jaw, molar, nasal capsule, upper jaw;BrainSpMouseDev|18905	OMIM|606709;HPO|8492|Autosomal recessive inheritance, Babinski sign, Hyperactive deep tendon reflexes, Intellectual disability, Nystagmus, Strabismus
LINC01105	LINC01105	1.50054E+00	0		BrainSpLMD|150622	
RP11.436D23.1	RP11.436D23.1	1.49876E+00	0			
SLC17A6	SLC17A6	1.48999E+00	0	Membrane transport protein	BrainSpLMD|57084;Eurexp|euxassay_004371|dorsal root ganglion, facial VII, glossopharyngeal IX, mantle layer, marginal layer, mesenchyme, neural retina, olfactory, spinal cord, stroma, trigeminal V, vagus X, vestibulocochlear VIII;BrainSpMouseDev|80230	OMIM|607563
SEMA3C	SEMA3C	1.42291E+00	0	Ligand	BrainSpLMD|10512;BrainSpMouseDev|20111	OMIM|602645;HPO|10512|Abdominal pain, Aganglionic megacolon, Constipation, Intestinal obstruction, Nausea and vomiting, Weight loss
PTCHD2	PTCHD2	1.41932E+00	0			
DPY19L1	DPY19L1	1.41116E+00	0	Unclassified		OMIM|613892
LRP8	LRP8	1.35162E+00	0	Cell surface receptor	BrainSpLMD|7804;BrainSpMouseDev|16745	OMIM|602600
NEUROD1	NEUROD1	1.32213E+00	4.44E-16	Transcription factor	BrainSpLMD|4760;Eurexp|euxassay_019467|dorsal grey horn, dorsal root ganglion, glossopharyngeal IX, mantle layer, marginal layer, neural retina, olfactory, pancreas, pineal primordium, pituitary, trigeminal V, vagus X, ventral grey horn, ventricular layer, vestibulocochlear VIII, vomeronasal organ;BrainSpMouseDev|17779	OMIM|601724;HPO|4760|Autosomal dominant inheritance, Maturity-onset diabetes of the young
HS3ST1	HS3ST1	1.30827E+00	0	Enzyme: Sulphotransferase	BrainSpLMD|9957;Eurexp|euxassay_011898|Meckel's cartilage, femur, fibula, hip, humerus, mantle layer, mesenchyme, metatarsus, rib, scapula, submandibular gland primordium, tibia, ventricular layer	OMIM|603244
UNC5D	UNC5D	1.25131E+00	0	Unclassified	BrainSpLMD|137970;Eurexp|euxassay_012466|basal plate, clavicle, incisor, lip, mantle layer, molar, palatal shelf, respiratory, ventral grey horn, ventricular layer, vibrissa;BrainSpMouseDev|84240	OMIM|616466
LINC00478	LINC00478	1.22172E+00	0			
LINC01102	LINC01102	1.19365E+00	0			
FAM126A	FAM126A	1.14009E+00	6.56E-14	Unclassified	BrainSpLMD|84668;Eurexp|euxassay_013806|olfactory, ventricular layer	OMIM|610531;HPO|84668|Abnormal pyramidal signs, Abnormality of the cerebellum, Autosomal recessive inheritance, Babinski sign, Cerebral hypomyelination, Cerebral white matter atrophy, Congenital cataract, Decreased motor nerve conduction velocity, Dysarthria, Global developmental delay, Hyperreflexia, Infantile onset, Intellectual disability, Intellectual disability, moderate, Intention tremor, Leukodystrophy, Loss of ability to walk, Lower limb amyotrophy, Lower limb muscle weakness, Motor delay, Muscular hypotonia of the trunk, Polyneuropathy, Scoliosis, Seizures, Truncal titubation, Variable expressivity
APP	APP	1.13613E+00	1.05E-11	Cell surface receptor	BrainSpLMD|351;BrainSpMouseDev|11607	SFARI||Autism, No category;OMIM|104760;HPO|351|Alzheimer disease, Autosomal dominant inheritance, Behavioral abnormality, Cerebellar hemorrhage, Cerebral amyloid angiopathy, Cerebral calcification, Cerebral hemorrhage, Cerebral ischemia, Coma, Dementia, Dysphagia, Febrile seizures, Gait disturbance, Global developmental delay, Headache, Heterogeneous, Intellectual disability, Long-tract signs, Memory impairment, Migraine, Myoclonus, Neurofibrillary tangles, Paresthesia, Parkinsonism, Recurrent cerebral hemorrhage, Seizures, Sensory impairment, Stroke, Tortuous cerebral arteries
