id	symbol	avg_diff|float	p_val|float	_hprdClass	_expr	_geneLists
TAC3	TAC3	2.71991E+00	1.14E-06	Unclassified	BrainSpLMD|6866;BrainSpMouseDev|21095	OMIM|162330;HPO|6866|Abnormality of body height, Abnormality of the voice, Absence of pubertal development, Absence of secondary sex characteristics, Anxiety, Autosomal recessive inheritance, Breast hypoplasia, Cryptorchidism, Decreased testicular size, Decreased testosterone in males, Delayed puberty, Delayed skeletal maturation, Depressivity, Eunuchoid habitus, Female hypogonadism, Gynecomastia, Hypogonadotrophic hypogonadism, Hypoplasia of the ovary, Hypoplasia of the uterus, Impotence, Increased female libido, Male hypogonadism, Micropenis, Non-obstructive azoospermia, Osteopenia, Osteoporosis, Primary amenorrhea, Secondary amenorrhea, Sparse body hair, Wide intermamillary distance
NKX2.1	NKX2.1	2.69478E+00	1.11E-16			
TOX3	TOX3	2.39732E+00	1.33E-11	Unclassified	Eurexp|euxassay_006138|cortex, dorsal root ganglion, epithelium, facial VII, glossopharyngeal IX, mantle layer, mesenchyme, midgut, olfactory, pancreas, paraxial mesenchyme, penis, retina, stomach, stroma, tongue, trigeminal V, ventricular layer, vestibulocochlear VIII;BrainSpMouseDev|89252	OMIM|611416
BEST3	BEST3	2.34324E+00	1.51E-07	Integral membrane protein	BrainSpLMD|144453	OMIM|607337
DACH2	DACH2	2.34069E+00	1.59E-05	Transcription factor;Cell cycle control protein	BrainSpLMD|117154;Eurexp|euxassay_009795|basal columns, bladder, ear, mantle layer, marginal layer, medullary stroma, renal/urinary system, tegmentum, urachus;BrainSpMouseDev|60489	OMIM|300608
SOX6	SOX6	2.32163E+00	1.44E-15	Transcription factor	BrainSpLMD|55553;BrainSpMouseDev|20441	OMIM|607257
RP11.588P7.1	RP11.588P7.1	2.23491E+00	7.84E-06			
GLCCI1	GLCCI1	2.21050E+00	2.54E-07	Unclassified	BrainSpLMD|113263;Eurexp|euxassay_014439|axial skeleton, nasal septum, olfactory, ventricular layer, vestibulocochlear VIII, vomeronasal organ;BrainSpMouseDev|82074	OMIM|614283
TIAM1	TIAM1	2.19744E+00	2.54E-07	Guanine nucleotide exchange factor	BrainSpLMD|7074;Eurexp|euxassay_006321|epidermis, incisor, molar, naris, olfactory, submandibular gland primordium, thymus primordium, vibrissa;BrainSpMouseDev|21603	OMIM|600687
GAD2	GAD2	2.12460E+00	0.000695808	Enzyme: Decarboxylase	BrainSpLMD|2572;Eurexp|euxassay_001769|dorsal grey horn, lateral ventricle, mantle layer;BrainSpMouseDev|14193	OMIM|138275
ZSWIM5	ZSWIM5	2.10554E+00	8.06E-06	Unclassified		SFARI||Autism, 6 - Evidence does not support role
RP11.384F7.2	RP11.384F7.2	2.03595E+00	1.19E-07			
SACS	SACS	2.03538E+00	2.89E-15	Unclassified	BrainSpLMD|26278;Eurexp|euxassay_014163|dorsal root ganglion, facial VII, glossopharyngeal IX, trigeminal V, vagus X	OMIM|604490;HPO|26278|Absent Achilles reflex, Autosomal recessive inheritance, Babinski sign, Cerebellar vermis atrophy, Decreased motor nerve conduction velocity, Decreased nerve conduction velocity, Decreased number of large peripheral myelinated nerve fibers, Decreased sensory nerve conduction velocity, Distal amyotrophy, Distal muscle weakness, Distal sensory impairment, Dysarthria, Dysmetria, Falls, Hammertoe, Hypermyelinated retinal nerve fibers, Hyperreflexia, Impaired smooth pursuit, Impaired vibration sensation in the lower limbs, Infantile onset, Intellectual disability, Loss of Purkinje cells in the cerebellar vermis, Nystagmus, Pes cavus, Progressive gait ataxia, Progressive truncal ataxia, Scanning speech, Spastic ataxia, Spasticity, Swan neck-like deformities of the fingers, Urinary urgency
PDZRN4	PDZRN4	1.98345E+00	4.08E-07	Unclassified	BrainSpLMD|29951;Eurexp|euxassay_013149|axial skeleton, basioccipital bone, femur, fibula, humerus, mantle layer, phalanx, rib, scapula, tibia	OMIM|609730
TMEM123	TMEM123	1.98308E+00	2.72E-12	Cell surface receptor	BrainSpLMD|114908	OMIM|606356
OAZ2	OAZ2	1.95594E+00	0.001536605	Regulatory/other subunit	BrainSpLMD|4947	OMIM|604152
MYO1B	MYO1B	1.95544E+00	0.002578022	Motor protein	BrainSpLMD|4430;Eurexp|euxassay_006192|mantle layer, olfactory, ventricular layer	OMIM|606537
DLX6	DLX6	1.94085E+00	3.27E-07	Transcription factor	BrainSpLMD|1750;BrainSpMouseDev|13175	SFARI||Autism, 4 - Minimal evidence;OMIM|600030;HPO|1750|Finger syndactyly, Oligodactyly
PCDH17	PCDH17	1.86999E+00	1.41E-05	Adhesion molecule	BrainSpLMD|27253	OMIM|611760
ARX	ARX	1.81863E+00	6.79E-07	Transcription factor	BrainSpLMD|170302;Eurexp|euxassay_018148|floor plate, floorplate, mantle layer, mesenchyme, ovary, pancreas, paramesonephric duct, skeletal muscle, tarsus, ventricle, ventricular layer;BrainSpMouseDev|11665	SFARI||Autism, No category;OMIM|300382;HPO|170302|Abnormal hair pattern, Abnormality of skin morphology, Abnormality of the hip bone, Agenesis of corpus callosum, Ambiguous genitalia, Broad alveolar ridges, Choreoathetosis, Coarse facial features, Cryptorchidism, Death in infancy, Decreased testicular size, Delayed speech and language development, Developmental regression, Diarrhea, Duane anomaly, Dysarthria, Dysphagia, Dyspnea, Dystonia, EEG abnormality, Epileptic encephalopathy, Feeding difficulties in infancy, Flexion contracture, Focal dystonia, Generalized hirsutism, Generalized hypotonia, Generalized myoclonic seizures, Gliosis, Global developmental delay, Hemiplegia, High forehead, High palate, Hirsutism, Hyperconvex nail, Hyperreflexia, Hypohidrosis, Hypoplasia of penis, Hypospadias, Hypsarrhythmia, Infantile spasms, Intellectual disability, Intellectual disability, progressive, Intellectual disability, severe, Large eyes, Limb dystonia, Limb joint contracture, Lissencephaly, Long philtrum, Long upper lip, Low anterior hairline, Low-set ears, Lower limb spasticity, Malabsorption, Microcephaly, Micrognathia, Micropenis, Muscle stiffness, Muscular hypotonia, Muscular hypotonia of the trunk, Myoclonus, Neonatal hypotonia, Nystagmus, Optic atrophy, Overlapping toe, Pachygyria, Profound global developmental delay, Prominent nasal bridge, Prominent supraorbital ridges, Protruding ear, Renal dysplasia, Rigidity, Scoliosis, Seizures, Severe global developmental delay, Short stature, Spastic tetraplegia, Spasticity, Specific learning disability, Status epilepticus, Strabismus, Synophrys, Tapered finger, Tetraplegia, Thin upper lip vermilion, Triangular face, Ventriculomegaly, Visual impairment, Wide anterior fontanel, Wide nasal bridge, X-linked inheritance, X-linked recessive inheritance
FGD3	FGD3	1.76526E+00	7.34E-10	Guanine nucleotide exchange factor	BrainSpLMD|89846;Eurexp|euxassay_010184|dorsal root ganglion, facial VII, glossopharyngeal IX, mantle layer, trigeminal V, vestibulocochlear VIII	OMIM|617554
RND3	RND3	1.73871E+00	8.10E-11	G protein	BrainSpLMD|390	OMIM|602924
BIRC2	BIRC2	1.70115E+00	0.002131615	Adapter molecule	BrainSpLMD|329;Eurexp|euxassay_013954|thymus primordium, ventricular layer	OMIM|601712
SP9	SP9	1.68588E+00	5.64E-08		BrainSpLMD|100131390;BrainSpMouseDev|120188	
DLX1	DLX1	1.57044E+00	1.24E-07	Transcription factor	BrainSpLMD|1745;Eurexp|euxassay_008426|cochlea, epithelium, footplate, handplate, incisor, inner ear, mantle layer, midgut, naso-lacrimal duct, neural retina, oesophagus, paraxial mesenchyme, retina, skeletal muscle, skeleton, stomach, utricle, vibrissa;BrainSpMouseDev|13169	SFARI||Autism, 5 - Hypothesized but untested;OMIM|600029
AC018643.4	AC018643.4	1.56695E+00	0.000816967			
WLS	WLS	1.56590E+00	0.000717368	Integral membrane protein	BrainSpLMD|79971	OMIM|611514
PFN2	PFN2	1.55356E+00	0	Structural protein	BrainSpLMD|5217;Eurexp|euxassay_002518|brain, cervical, cervico-thoracic, dorsal root ganglion, glossopharyngeal IX, spinal cord, stroma, thoracic, trigeminal V, vagus X, vestibulocochlear VIII, vibrissa	OMIM|176590
DLX2	DLX2	1.52409E+00	2.08E-07	Transcription factor	BrainSpLMD|1746;BrainSpMouseDev|13171	SFARI||Autism, 4 - Minimal evidence;OMIM|126255
RAB13	RAB13	1.50839E+00	0.006715445	GTPase	Eurexp|euxassay_003494|meninges, metencephalon, olfactory lobe	OMIM|602672
NFE2L2	NFE2L2	1.50660E+00	0.000639818	Transcription factor	BrainSpLMD|4780;Eurexp|euxassay_018087|larynx, midgut, rectum, stomach, submandibular gland primordium, thyroid, trachea;BrainSpMouseDev|17791	OMIM|600492;COSMIC||NSCLC, HNSCC
H1F0	H1F0	1.47260E+00	2.15E-06	DNA binding protein	BrainSpLMD|3005;Eurexp|euxassay_006503|embryo	OMIM|142708
PLS3	PLS3	1.45538E+00	0.000339961	Structural protein	BrainSpLMD|5358	OMIM|300131;HPO|5358|Osteopenia, Osteoporosis, Vertebral compression fractures, X-linked dominant inheritance
LHX6	LHX6	1.45154E+00	1.29E-09	Transcription factor	BrainSpLMD|26468;BrainSpMouseDev|16645	OMIM|608215
EFNA5	EFNA5	1.44760E+00	3.12E-05	Ligand	BrainSpLMD|1946;BrainSpMouseDev|13418	OMIM|601535
TMEM2	TMEM2	1.43533E+00	2.84E-05	Integral membrane protein	BrainSpLMD|23670	OMIM|605835
NUP43	NUP43	1.42087E+00	0.001184453	Transport/cargo protein	BrainSpLMD|348995;Eurexp|euxassay_007275|bladder, cortex, incisor, left lung, liver, mesenchyme, midgut, molar, olfactory, pectoral girdle and thoracic body wall, right lung, thymus primordium	OMIM|608141
EXOC1	EXOC1	1.41766E+00	0.003328387	Transport/cargo protein	BrainSpLMD|55763	OMIM|607879
FAM92A1	FAM92A1	1.41506E+00	1.09E-06			
MOB3B	MOB3B	1.40401E+00	0.002318108	Unclassified	BrainSpLMD|79817;Eurexp|euxassay_011555|incisor, molar	OMIM|617652
NRXN3	NRXN3	1.38627E+00	5.78E-09	Adhesion molecule	BrainSpLMD|9369;Eurexp|euxassay_009777|bladder, collecting ducts, inner ear, mantle layer, marginal layer, neural retina, vibrissa	SFARI||Autism, 3 - Suggestive evidence;OMIM|600567
HIPK2	HIPK2	1.38220E+00	0.000745476	Serine/threonine kinase	BrainSpLMD|28996	OMIM|606868
DCLK2	DCLK2	1.34051E+00	2.48E-08	Serine/threonine kinase	BrainSpLMD|166614;Eurexp|euxassay_009796|associated mesenchyme, brain, cervical, cervico-thoracic, dorsal root ganglion, facial VII, glossopharyngeal IX, nasal cavity, neural retina, spinal cord, thoracic, trigeminal V, vagus X, vestibulocochlear VIII	OMIM|613166
KIAA1715	KIAA1715	1.32323E+00	0.009576819			
MFN1	MFN1	1.30755E+00	6.72E-10	GTPase	BrainSpLMD|55669	OMIM|608506
EPHA4	EPHA4	1.30556E+00	0.008553583	Receptor tyrosine kinase	BrainSpLMD|2043;BrainSpMouseDev|13616	OMIM|602188;HPO|2043|Amyotrophic lateral sclerosis, Anxiety, Depressivity, Dyspnea, Emotional lability, Fatigable weakness of respiratory muscles, Fatigable weakness of swallowing muscles, Fatigue, Generalized muscle weakness, Muscle cramps, Neurodegeneration, Pain, Paralysis, Respiratory failure, Skeletal muscle atrophy, Spasticity, Xerostomia
DLX5	DLX5	1.28979E+00	3.13E-05	Transcription regulatory protein	BrainSpLMD|1749;BrainSpMouseDev|13174	OMIM|600028;HPO|1749|Autosomal recessive inheritance, Finger syndactyly, Oligodactyly, Sensorineural hearing impairment, Split foot, Split hand
SOX1	SOX1	1.28120E+00	4.61E-06	Transcription factor	BrainSpLMD|6656;Eurexp|euxassay_019565|ventral grey horn, ventricular layer	OMIM|602148
PLXNA4	PLXNA4	1.24933E+00	3.67E-05	Unclassified	BrainSpLMD|91584;Eurexp|euxassay_009720|cervical, cervico-thoracic, dorsal root ganglion, facial VII, glossopharyngeal IX, mantle layer, thoracic, trigeminal V, vagus X;BrainSpMouseDev|89119	SFARI||Autism, 3 - Suggestive evidence;OMIM|604280
GAD1	GAD1	1.24108E+00	2.68E-07	Enzyme: Decarboxylase	BrainSpLMD|2571;Eurexp|euxassay_005634|cerebral cortex, corpus striatum, hindbrain, incisor, mantle layer, marginal layer, molar, olfactory lobe, oral region, spinal cord, telencephalon;BrainSpMouseDev|14191	SFARI||Autism, 5 - Hypothesized but untested;OMIM|605363;HPO|2571|Autosomal recessive inheritance, Babinski sign, Cerebral palsy, Flexion contracture, Global developmental delay, Heterogeneous, Hyperreflexia, Infantile onset, Intellectual disability, Microcephaly, Scoliosis, Seizures, Spastic diplegia, Spastic tetraplegia
FRG1	FRG1	1.19118E+00	0.008303472	Unclassified	BrainSpLMD|2483	OMIM|601278;HPO|2483|Abdominal wall muscle weakness, Abnormality of the eyelashes, Abnormality of the retinal vasculature, Autosomal dominant inheritance, Beevor's sign, Calf muscle hypertrophy, Childhood onset, EMG abnormality, Elevated serum creatine phosphokinase, External ophthalmoplegia, Exudative retinal detachment, Facial palsy, Hyperlordosis, Intellectual disability, Mask-like facies, Palpebral edema, Restrictive deficit on pulmonary function testing, Retinal telangiectasia, Scapular winging, Scapulohumeral muscular dystrophy, Seizures, Sensorineural hearing impairment, Shoulder girdle muscle atrophy, Shoulder girdle muscle weakness, Skeletal muscle atrophy, Slow progression, Tongue atrophy
KIAA0922	KIAA0922	1.17621E+00	0.004223363			
RP11.110G21.2	RP11.110G21.2	1.15799E+00	1.53E-05			
CORO1C	CORO1C	1.15340E+00	0.005906069	Cytoskeletal associated protein	BrainSpLMD|23603	OMIM|605269
SUV420H1	SUV420H1	1.13113E+00	0.003494106			
AC026271.5	AC026271.5	1.12576E+00	0.001101882			
C7orf55.LUC7L2	C7orf55.LUC7L2	1.10615E+00	0.002505137			
MEG3	MEG3	1.06963E+00	0.009985618			OMIM|605636
SOX4	SOX4	1.06764E+00	3.22E-15	Transcription factor	BrainSpLMD|6659;Eurexp|euxassay_019583|cervical, cervico-thoracic, dorsal grey horn, dorsal root ganglion, incisor, lung, mantle layer, mesenchyme, metanephros, molar, neural retina, oesophagus, phalanx, submandibular gland primordium, testis, trachea, valve, vibrissa;BrainSpMouseDev|20439	OMIM|184430
FBXW7	FBXW7	1.06325E+00	0.000280425	Ubiquitin proteasome system protein	BrainSpLMD|55294;BrainSpMouseDev|30242	OMIM|606278;COSMIC||colorectal, endometrial, T-ALL
ASAP1	ASAP1	1.06315E+00	0.002076699	GTPase activating protein	BrainSpLMD|50807	OMIM|605953
TRAM1	TRAM1	1.04478E+00	0.008296393	Membrane transport protein	BrainSpLMD|23471	OMIM|605190
PGM3	PGM3	1.03476E+00	0.004277728	Enzyme: Mutase	BrainSpLMD|5238	OMIM|172100;HPO|5238|Allergic rhinitis, Asthma, Ataxia, Autosomal recessive inheritance, Bronchiectasis, Cognitive impairment, Conductive hearing impairment, Cortical myoclonus, Dysarthria, Eczema, Generalized hypotonia, Global developmental delay, High palate, Immunodeficiency, Intellectual disability, Lymphopenia, Neutropenia, Recurrent respiratory infections, Scoliosis, Sensorineural hearing impairment, Sensory impairment, Vasculitis in the skin
GFPT1	GFPT1	1.03215E+00	0.001118767	Enzyme: Aminotransferase	BrainSpLMD|2673	OMIM|138292;HPO|2673|Abnormality of the immune system, Arthrogryposis multiplex congenita, Autosomal recessive inheritance, Decreased fetal movement, Decreased muscle mass, Decreased size of nerve terminals, Dental malocclusion, Dysarthria, Dysphagia, EMG: decremental response of compound muscle action potential to repetitive nerve stimulation, Easy fatigability, Facial palsy, Fatigable weakness, Feeding difficulties, Generalized hypotonia, Gowers sign, High palate, Infantile onset, Juvenile onset, Long face, Mandibular prognathia, Mildly elevated creatine phosphokinase, Motor delay, Muscle cramps, Muscular hypotonia, Neck muscle weakness, Nonprogressive, Ophthalmoparesis, Proximal amyotrophy, Ptosis, Respiratory insufficiency due to muscle weakness, Skeletal muscle atrophy, Strabismus, Type 2 muscle fiber atrophy, Variable expressivity, Waddling gait, Weak cry
RAB8A	RAB8A	9.92430E-01	0.007320888	GTPase	BrainSpLMD|4218	OMIM|165040
SH3BGRL3	SH3BGRL3	9.87079E-01	0.000895496	Unclassified	BrainSpLMD|83442;Eurexp|euxassay_003517|basal plate, dorsal root ganglion, facial VII, glossopharyngeal IX, thymus primordium, trigeminal V, vagus X, ventral grey horn	OMIM|615679
