id	symbol	avg_diff|float	p_val|float	_hprdClass	_expr	_geneLists
CCNB1	CCNB1	3.03458E+00	0	Cell cycle control protein	BrainSpLMD|891	OMIM|123836
CCNB2	CCNB2	3.01198E+00	0	Cell cycle control protein	BrainSpLMD|9133;Eurexp|euxassay_004323|axial muscle, ventricular layer	OMIM|602755
KIF20A	KIF20A	3.00780E+00	0	Motor protein	BrainSpLMD|10112;Eurexp|euxassay_004675|ventricular layer	OMIM|605664
CDCA8	CDCA8	3.00504E+00	0	Cell cycle control protein	BrainSpLMD|55143	OMIM|609977
TTK	TTK	2.95175E+00	0	Dual specificity kinase	BrainSpLMD|7272	OMIM|604092
UBE2C	UBE2C	2.93472E+00	0	Ubiquitin proteasome system protein	BrainSpLMD|11065	OMIM|605574
KIF4A	KIF4A	2.93295E+00	0	DNA binding protein	BrainSpLMD|24137;Eurexp|euxassay_017959|Meckel's cartilage, chondrocranium, incisor, nasal capsule	OMIM|300521;HPO|24137|Abnormal facial shape, Intellectual disability, Poor speech, Seizures, X-linked recessive inheritance
FAM72D	FAM72D	2.92072E+00	1.58E-10		BrainSpLMD|728833	OMIM|614712
ECT2	ECT2	2.91813E+00	0	Guanine nucleotide exchange factor	BrainSpLMD|1894;Eurexp|euxassay_018792|marginal layer, ventricular layer	OMIM|600586
RP11.480I12.5	RP11.480I12.5	2.90393E+00	2.49E-08			
AURKA	AURKA	2.89211E+00	0	Serine/threonine kinase	BrainSpLMD|6790;Eurexp|euxassay_018753|orbito-sphenoid, submandibular gland primordium, thymus primordium, ventricular layer	OMIM|603072
PLK1	PLK1	2.89143E+00	0	Serine/threonine kinase	BrainSpLMD|5347	OMIM|602098
NEIL3	NEIL3	2.88279E+00	5.59E-12	Enzyme: Glycosylase	BrainSpLMD|55247	OMIM|608934
PIF1	PIF1	2.88100E+00	8.55E-15	DNA helicase	BrainSpLMD|80119;Eurexp|euxassay_007343|cardiovascular system, cavities and their linings, gland, integumental system, limb, mesenchyme, sensory organ, skeleton, tail, ventricular layer, vertebral axis muscle system, visceral organ	OMIM|610953
INCENP	INCENP	2.86541E+00	1.42E-14	Cell cycle control protein	BrainSpLMD|3619;Eurexp|euxassay_004695|ventricular layer	OMIM|604411
GTSE1	GTSE1	2.86443E+00	0	Unclassified	BrainSpLMD|51512	OMIM|607477
CDC20	CDC20	2.85977E+00	0	Cell cycle control protein	BrainSpLMD|991;Eurexp|euxassay_005724|hypothalamus, submandibular gland primordium, thymus primordium, ventricular layer	OMIM|603618
NEK2	NEK2	2.85747E+00	0	Serine/threonine kinase	BrainSpLMD|4751	OMIM|604043;HPO|4751|Abnormal electroretinogram, Abnormality of retinal pigmentation, Abnormality of the retinal vasculature, Abnormality of the testis, Anteverted nares, Atypical scarring of skin, Autosomal recessive inheritance, Blindness, Cataract, Conductive hearing impairment, Glaucoma, Hyperinsulinemia, Hypogonadism, Hypoplasia of penis, Intellectual disability, Keratoconus, Nystagmus, Obesity, Ophthalmoplegia, Optic atrophy, Photophobia, Progressive night blindness, Rod-cone dystrophy, Sensorineural hearing impairment, Wide nasal bridge
FAM64A	FAM64A	2.82338E+00	0			
ASPM	ASPM	2.81112E+00	0	Unclassified	BrainSpLMD|259266	SFARI||Autism, 3 - Suggestive evidence;OMIM|605481;HPO|259266|Abnormal cortical bone morphology, Agenesis of corpus callosum, Attention deficit hyperactivity disorder, Autosomal recessive inheritance, Congenital onset, Cortical gyral simplification, Delayed speech and language development, Global developmental delay, Heterotopia, Highly arched eyebrow, Hyperreflexia, Hypoplasia of the corpus callosum, Hypoplasia of the frontal lobes, Intellectual disability, Intellectual disability, severe, Microcephaly, Motor delay, Narrow forehead, Pachygyria, Proptosis, Short stature, Sloping forehead, Small cerebral cortex, Thin upper lip vermilion, Unilateral renal agenesis, Upslanted palpebral fissure, Ventriculomegaly, Vesicoureteral reflux
TPX2	TPX2	2.80053E+00	0	Cell cycle control protein	BrainSpLMD|22974	OMIM|605917
CENPF	CENPF	2.76690E+00	0	Cell cycle control protein	BrainSpLMD|1063	OMIM|600236
CEP55	CEP55	2.76105E+00	0	Unclassified	BrainSpLMD|55165	OMIM|610000;HPO|55165|2-3 toe syndactyly, Autosomal recessive inheritance, Hydranencephaly, Renal agenesis, Renal dysplasia, Renal hypoplasia
KIF2C	KIF2C	2.75538E+00	0	Motor protein	BrainSpLMD|11004;Eurexp|euxassay_003601|4th ventricle, bladder, forebrain, hindbrain, hindlimb, incisor, limb, liver, lung, metanephros, midbrain, midgut, molar, oesophagus, olfactory, orbito-sphenoid, pancreas, penis, pharyngo-tympanic tube, respiratory, retina, spinal cord, submandibular gland primordium, testis, thymus primordium, thyroid, tongue, ventricular layer, vertebral axis muscle system, vibrissa	OMIM|604538
TROAP	TROAP	2.72462E+00	0	Adhesion molecule	BrainSpLMD|10024	OMIM|603872
NUF2	NUF2	2.71680E+00	0	Cytoskeletal associated protein;Cell cycle control protein	BrainSpLMD|83540	OMIM|611772
HMMR	HMMR	2.71475E+00	2.89E-08	Cell surface receptor	BrainSpLMD|3161	OMIM|600936
BIRC5	BIRC5	2.70557E+00	0	Adapter molecule	BrainSpLMD|332	OMIM|603352
HJURP	HJURP	2.70346E+00	0	Unclassified	BrainSpLMD|55355	OMIM|612667
ARHGAP19	ARHGAP19	2.67474E+00	5.01E-09	GTPase activating protein	BrainSpLMD|84986	OMIM|611587
CKAP2L	CKAP2L	2.65681E+00	0	Unclassified	BrainSpLMD|150468;Eurexp|euxassay_002011|thymus primordium, ventricular layer	OMIM|616174;HPO|150468|2-4 toe syndactyly, Aphasia, Autosomal recessive inheritance, Bilateral single transverse palmar creases, Broad forehead, Cerebellar atrophy, Clinodactyly of the 5th finger, Cryptorchidism, Decreased body weight, Delayed skeletal maturation, Dysphasia, Dystonia, Echolalia, Finger syndactyly, Frontal bossing, Frontal hirsutism, Global developmental delay, Intellectual disability, Intrauterine growth retardation, Low hanging columella, Microcephaly, Microdontia, Mutism, Optic atrophy, Postnatal growth retardation, Prominent forehead, Prominent nasal bridge, Proptosis, Seizures, Severe short stature, Short philtrum, Single transverse palmar crease, Specific learning disability, Thin vermilion border, Underdeveloped nasal alae, Ventricular septal defect, Visual impairment, Wide nasal bridge, Wide nose
