id	symbol	avg_diff|float	p_val|float	_hprdClass	_expr	_geneLists
CDC6	CDC6	3.04248E+00	0	Cell cycle control protein	BrainSpLMD|990	OMIM|602627;HPO|990|Abnormality of epiphysis morphology, Abnormality of the ribs, Anotia, Aplastic clavicles, Atresia of the external auditory canal, Autosomal recessive inheritance, Birth length less than 3rd percentile, Camptodactyly of finger, Clinodactyly of the 5th finger, Clitoral hypertrophy, Clitoral hypoplasia, Craniosynostosis, Cryptorchidism, Delayed skeletal maturation, Elbow dislocation, Failure to thrive, Feeding difficulties, Gastroesophageal reflux, High, narrow palate, Hypoplasia of the capital femoral epiphysis, Hypoplasia of the maxilla, Hypoplastic labia majora, Hypoplastic labia minora, Intrauterine growth retardation, Irregular femoral epiphysis, Joint hyperflexibility, Long philtrum, Low-set ears, Mandibular aplasia, Microcephaly, Micrognathia, Micropenis, Microtia, Microtia, third degree, Mild global developmental delay, Motor delay, Narrow mouth, Patellar aplasia, Posteriorly rotated ears, Prominent metopic ridge, Respiratory distress, Respiratory failure, Retrognathia, Severe short stature, Slender long bone, Small earlobe, Triangular face
SKA3	SKA3	2.98507E+00	0	Unclassified	BrainSpLMD|221150;Eurexp|euxassay_011780|brain, choroid invagination, left lung, mantle layer, right lung, ventricle, vertebral axis muscle system	
EXO1	EXO1	2.97707E+00	0	DNA exonuclease	BrainSpLMD|9156;Eurexp|euxassay_008408|anterior, bladder, cornea, epithelium, external, footplate, handplate, incisor, left lung, liver, mantle layer, marginal layer, metanephros, midgut, molar, nasal septum, naso-lacrimal duct, olfactory, pancreas, rest of mesenchyme, retina, right lung, skeletal muscle, stomach, submandibular gland primordium, thymus primordium, thyroid, trachea, urethra, ventricular layer, vertebral axis muscle system, vibrissa, vomeronasal organ	OMIM|606063
MYBL2	MYBL2	2.97704E+00	0	Transcription factor	BrainSpLMD|4605;Eurexp|euxassay_002836|incisor, integumental system, lobe, marginal layer, skeleton, thymus primordium, ventricular layer, vibrissa;BrainSpMouseDev|17632	OMIM|601415
CCNE2	CCNE2	2.94305E+00	0	Cell cycle control protein	BrainSpLMD|9134	OMIM|603775
E2F2	E2F2	2.85305E+00	0	Transcription factor	BrainSpLMD|1870;BrainSpMouseDev|88998	OMIM|600426
FAM111B	FAM111B	2.79845E+00	0	Unclassified	BrainSpLMD|374393	OMIM|615584;HPO|374393|Alopecia, Autosomal dominant inheritance, Elevated serum creatine phosphokinase, Hepatomegaly, Hypohidrosis, Poikiloderma, Skeletal muscle atrophy
DTL	DTL	2.79198E+00	0	Unclassified	BrainSpLMD|51514;Eurexp|euxassay_012578|choroid plexus, ventricular layer	OMIM|610617
CENPU	CENPU	2.63471E+00	0	Unclassified	BrainSpLMD|79682	OMIM|611511
CLSPN	CLSPN	2.60979E+00	0	Cell cycle control protein	BrainSpLMD|63967;Eurexp|euxassay_004199|ventricular layer	OMIM|605434
