id	symbol	avg_diff|float	p_val|float	_hprdClass	_expr	_geneLists
CCL3L3	CCL3L3	6.55423E+00	0	Cytokine		OMIM|609468
RGS1	RGS1	6.46660E+00	0	GTPase activating protein	BrainSpLMD|5996	OMIM|600323
CCL4	CCL4	6.43535E+00	0	Chemokine	BrainSpLMD|6351	OMIM|182284
C3	C3	6.39133E+00	0	Complement protein	BrainSpLMD|718;Eurexp|euxassay_001854|lobe	OMIM|120700;HPO|718|Autosomal recessive inheritance, Decreased serum complement C3, Nephrotic syndrome, Recurrent bacterial infections, Renal insufficiency
CCL3	CCL3	6.37281E+00	0	Cytokine		OMIM|182283
PLEK	PLEK	6.27055E+00	0	Calcium binding protein	BrainSpLMD|5341	OMIM|173570
FOLR2	FOLR2	6.12794E+00	0	Cell surface receptor	BrainSpLMD|2350	OMIM|136425
ITGAX	ITGAX	6.05961E+00	0	Cell surface receptor	BrainSpLMD|3687	OMIM|151510
SPP1	SPP1	6.03340E+00	0	Adhesion molecule	BrainSpLMD|6696;Eurexp|euxassay_009250|pancreas, pectoral girdle and thoracic body wall;BrainSpMouseDev|20512	OMIM|166490
CSF3R	CSF3R	6.00257E+00	0	Cytokine receptor	BrainSpLMD|1441	OMIM|138971;COSMIC||aCML, CNL, leukaemia lymphoma and MDS associated with severe congenital neutropenia, CMML, de novo AML, MDS, Kostmann syndrome, severe congenital neutropenia;HPO|1441|Autosomal dominant inheritance, Autosomal recessive inheritance, Elevated leukocyte alkaline phosphatase, Hepatosplenomegaly, Myelodysplasia, Neutropenia, Neutrophilia, Recurrent infections, Thickened calvaria
BIN2	BIN2	5.89751E+00	0	Adapter molecule	BrainSpLMD|51411;Eurexp|euxassay_014160|liver, thymus primordium	OMIM|605936
CCL4L1	CCL4L1	5.87861E+00	0	Chemokine		OMIM|603782
DHRS9	DHRS9	5.84337E+00	0	Enzyme: Dehydrogenase	BrainSpLMD|10170	OMIM|612131
CD74	CD74	5.83690E+00	0	MHC complex protein	BrainSpLMD|972;Eurexp|euxassay_001797|thymus primordium	OMIM|142790;COSMIC||NSCLC
CD69	CD69	5.82862E+00	0	Cell surface receptor	BrainSpLMD|969	OMIM|107273
IL1B	IL1B	5.80741E+00	0	Cytokine	BrainSpLMD|3553	OMIM|147720
CX3CR1	CX3CR1	5.77265E+00	0	G protein coupled receptor	BrainSpLMD|1524;Eurexp|euxassay_006632|embryo	SFARI||Autism, 4 - Minimal evidence;OMIM|601470
OLR1	OLR1	5.76949E+00	0	Cell surface receptor	BrainSpLMD|4973	OMIM|602601
CH25H	CH25H	5.76822E+00	0	Enzyme: Hydroxylase	BrainSpLMD|9023	OMIM|604551
FCGR2A	FCGR2A	5.75980E+00	0	Cell surface receptor	BrainSpLMD|2212	OMIM|146790
ADORA3	ADORA3	5.75675E+00	0	G protein coupled receptor	BrainSpLMD|140	SFARI||Autism, No category;OMIM|600445
LAPTM5	LAPTM5	5.74701E+00	0	Integral membrane protein	BrainSpLMD|7805	OMIM|601476
