ensembl_gene_id,hgnc_symbol
ENSG00000141956,PRDM15
ENSG00000141959,PFKL
ENSG00000142149,HUNK
ENSG00000142156,COL6A1
ENSG00000142166,IFNAR1
ENSG00000142168,SOD1
ENSG00000142173,COL6A2
ENSG00000142178,SIK1
ENSG00000142182,DNMT3L
ENSG00000142185,TRPM2
ENSG00000142188,TMEM50B
ENSG00000142192,APP
ENSG00000142197,DOP1B
ENSG00000142207,URB1
ENSG00000154639,CXADR
ENSG00000154640,BTG3
ENSG00000154642,C21orf91
ENSG00000154645,CHODL
ENSG00000154646,TMPRSS15
ENSG00000154654,NCAM2
ENSG00000154719,MRPL39
ENSG00000154721,JAM2
ENSG00000154723,ATP5PF
ENSG00000154727,GABPA
ENSG00000154734,ADAMTS1
ENSG00000154736,ADAMTS5
ENSG00000155304,HSPA13
ENSG00000155307,SAMSN1
ENSG00000155313,USP25
ENSG00000156239,N6AMT1
ENSG00000156253,RWDD2B
ENSG00000156256,USP16
ENSG00000156261,CCT8
ENSG00000156265,MAP3K7CL
ENSG00000156273,BACH1
ENSG00000156282,CLDN17
ENSG00000156284,CLDN8
ENSG00000156299,TIAM1
ENSG00000156304,SCAF4
ENSG00000157538,VPS26C
ENSG00000157540,DYRK1A
ENSG00000157542,KCNJ6
ENSG00000157551,KCNJ15
ENSG00000157554,ERG
ENSG00000157557,ETS2
ENSG00000157578,LCA5L
ENSG00000157601,MX1
ENSG00000157617,C2CD2
ENSG00000159055,MIS18A
ENSG00000159079,CFAP298
ENSG00000159082,SYNJ1
ENSG00000159086,PAXBP1
ENSG00000159110,IFNAR2
ENSG00000159128,IFNGR2
ENSG00000159131,GART
ENSG00000159140,SON
ENSG00000159147,DONSON
ENSG00000159197,KCNE2
ENSG00000159200,RCAN1
ENSG00000159212,CLIC6
ENSG00000159216,RUNX1
ENSG00000159228,CBR1
ENSG00000159231,CBR3
ENSG00000159256,MORC3
ENSG00000159259,CHAF1B
ENSG00000159261,CLDN14
ENSG00000159263,SIM2
ENSG00000159267,HLCS
ENSG00000160179,ABCG1
ENSG00000160180,TFF3
ENSG00000160181,TFF2
ENSG00000160182,TFF1
ENSG00000160183,TMPRSS3
ENSG00000160185,UBASH3A
ENSG00000160188,RSPH1
ENSG00000160190,SLC37A1
ENSG00000160191,PDE9A
ENSG00000160193,WDR4
ENSG00000160194,NDUFV3
ENSG00000160199,PKNOX1
ENSG00000160200,CBS
ENSG00000160201,U2AF1
ENSG00000160202,CRYAA
ENSG00000160207,HSF2BP
ENSG00000160208,RRP1B
ENSG00000160209,PDXK
ENSG00000160213,CSTB
ENSG00000160214,RRP1
ENSG00000160216,AGPAT3
ENSG00000160218,TRAPPC10
ENSG00000160221,GATD3A
ENSG00000160223,ICOSLG
ENSG00000160224,AIRE
ENSG00000160226,CFAP410
ENSG00000160233,LRRC3
ENSG00000160255,ITGB2
ENSG00000160256,SLX9
ENSG00000160282,FTCD
ENSG00000160284,SPATC1L
ENSG00000160285,LSS
ENSG00000160294,MCM3AP
ENSG00000160298,C21orf58
ENSG00000160299,PCNT
ENSG00000160305,DIP2A
ENSG00000160307,S100B
ENSG00000160310,PRMT2
ENSG00000166265,CYYR1
ENSG00000166351,POTED
ENSG00000166979,EVA1C
ENSG00000170262,MRAP
ENSG00000171189,GRIK1
ENSG00000171587,DSCAM
ENSG00000173276,ZBTB21
ENSG00000173638,SLC19A1
ENSG00000175894,TSPEAR
ENSG00000177398,UMODL1
ENSG00000177692,DNAJC28
ENSG00000180509,KCNE1
ENSG00000180530,NRIP1
ENSG00000182093,GET1
ENSG00000182240,BACE2
ENSG00000182362,YBEY
ENSG00000182591,KRTAP11-1
ENSG00000182670,TTC3
ENSG00000182816,KRTAP13-2
ENSG00000182871,COL18A1
ENSG00000183036,PCP4
ENSG00000183067,IGSF5
ENSG00000183145,RIPPLY3
ENSG00000183255,PTTG1IP
ENSG00000183421,RIPK4
ENSG00000183486,MX2
ENSG00000183527,PSMG1
ENSG00000183570,PCBP3
ENSG00000183640,KRTAP8-1
ENSG00000183778,B3GALT5
ENSG00000183844,FAM3B
ENSG00000184012,TMPRSS2
ENSG00000184032,KRTAP20-2
ENSG00000184221,OLIG1
