	gene	pval	qval	log2fc	mean	zero_mean	grad	coef_mle	coef_sd	ll
0	ISG15	1.8652957358700206e-06	6.176475946589472e-06	0.38944179124331674	0.204	False	8.592921840927526e-09	0.38944179124331674	0.0816868604203766	-2650.86163828148
1	HES5	0.07627097222297641	0.10419531724450329	0.12611265559604584	4.477	False	6.415936416447613e-08	0.12611265559604584	0.07113976133671507	-9967.616223676228
2	AL139246.5	0.0005936806844655251	0.0012317026648662347	-0.33599765833401524	0.3716	False	3.363134823917147e-08	-0.33599765833401524	0.09783057647415598	-3313.9763663095137
3	TP73	1.223876111566824e-09	5.970127373496703e-09	1.9069333868819338	0.034	False	1.6148948680519024e-09	1.9069333868819338	0.313790851818429	-493.9029675549
4	NPPA	0.3317387741474116	0.3839569145224671	0.22785634718267486	0.0254	False	3.118535686546792e-10	0.22785634718267486	0.23475399998456592	-535.6721057870654
5	WNT4	2.0872192862952943e-14	1.76882990364008e-13	1.1182476377990738	0.1098	False	4.850992805239401e-09	1.1182476377990738	0.14628181711541557	-1441.380745424776
6	ID3	0.0	0.0	1.276333356074635	0.797	False	4.6486085532798654e-08	1.276333356074635	0.12204051245585647	-3672.4925381782245
7	HMGN2	1.9102429416051336e-08	8.163431374380913e-08	-0.23337882829388576	4.6684	False	9.760338686677665e-08	-0.23337882829388576	0.0415269286347711	-12765.909887683374
8	IFI6	8.280472685306961e-08	3.260028616262583e-07	0.54431030918691	0.1302	False	4.13120679204071e-09	0.54431030918691	0.10153323259572193	-1924.069398438448
9	MATN1	0.03154759551480857	0.04694582665894132	1.0935370781704112	0.01	False	2.9332025814285575e-09	1.0935370781704112	0.5085991081847283	-189.4621052849543
10	CSMD2	1.1102230246251565e-15	1.0778864316749093e-14	0.6004573657884537	0.62	False	1.4789260457427095e-08	0.6004573657884537	0.07484955658427636	-4731.064026491678
11	RSPO1	0.0	0.0	1.0883797691632673	0.269	False	4.493143206629608e-08	1.0883797691632673	0.12972424537679025	-2360.7525000969
12	CDCA8	0.0002986860733926733	0.0006637468297614962	-0.527093374695967	0.1762	False	1.4138655517859088e-09	-0.527093374695967	0.14574936265553026	-1862.1818408253264
13	POU3F1	1.068741405374496e-06	3.6726508775755877e-06	0.6026213862722528	0.1498	False	3.7331031811996313e-10	0.6026213862722528	0.12352495217426004	-1896.910351944443
14	HIVEP3	1.5462506834929002e-06	5.188760682862081e-06	0.28573088823741655	0.686	False	2.8544731435353876e-09	0.28573088823741655	0.05946330156912023	-5442.306397014854
15	CDC20	0.0005959712042313825	0.0012321021056983233	-0.5184073428544784	0.3492	False	1.2995708277369067e-09	-0.5184073428544784	0.15098768132319207	-2356.6026567241765
16	KIF2C	6.211098941566462e-05	0.0001600798696280016	-0.6161440592715082	0.177	False	5.985659686802425e-09	-0.6161440592715082	0.15385739260892456	-1794.6789763662441
17	AGBL4	1.3322676295501878e-14	1.1584935909132069e-13	-1.0446335747476552	0.2442	False	3.6576191721759966e-10	-1.0446335747476552	0.1356350666788033	-2225.350961500924
18	ELAVL4	0.0013821644966363067	0.002703696959635137	0.16245703802539244	1.5544	False	7.344264028745934e-11	0.16245703802539244	0.05079401612883312	-8159.109165311273
