id,CON_DS2U,CON_H9,CON_IMR,DS_2DS3,DS_DSP
MIR1302-2HG,8.0,1.0,13.0,4.0,2.0
FAM138A,0.0,0.0,0.0,0.0,0.0
OR4F5,0.0,0.0,0.0,0.0,0.0
AL627309.1,34.0,56.0,44.0,67.0,40.0
AL627309.3,0.0,0.0,0.0,0.0,0.0
AL627309.2,0.0,0.0,0.0,0.0,0.0
AL627309.5,108.0,231.0,209.0,160.0,105.0
AL627309.4,0.0,1.0,1.0,0.0,1.0
AP006222.2,7.0,10.0,10.0,1.0,0.0
AL732372.1,0.0,0.0,0.0,0.0,0.0
OR4F29,0.0,0.0,0.0,0.0,0.0
AC114498.1,3.0,3.0,2.0,4.0,2.0
OR4F16,0.0,0.0,0.0,0.0,0.0
AL669831.2,2.0,1.0,0.0,0.0,1.0
LINC01409,1200.0,1538.0,1218.0,1567.0,1045.0
FAM87B,1.0,3.0,2.0,0.0,5.0
LINC01128,1084.0,1122.0,1034.0,1386.0,936.0
LINC00115,174.0,197.0,178.0,149.0,109.0
FAM41C,40.0,40.0,30.0,8.0,38.0
AL645608.6,577.0,290.0,479.0,747.0,409.0
AL645608.2,394.0,262.0,359.0,544.0,299.0
AL645608.4,60.0,42.0,47.0,58.0,31.0
LINC02593,6.0,12.0,7.0,13.0,3.0
SAMD11,75.0,114.0,138.0,59.0,52.0
NOC2L,3377.0,2834.0,3677.0,3192.0,3217.0
KLHL17,439.0,309.0,503.0,358.0,350.0
PLEKHN1,5.0,7.0,4.0,14.0,16.0
PERM1,0.0,1.0,1.0,1.0,1.0
AL645608.7,689.0,348.0,577.0,264.0,341.0
HES4,24303.0,13169.0,23402.0,9429.0,11320.0
ISG15,1655.0,1300.0,1829.0,949.0,1245.0
AL645608.1,24.0,30.0,22.0,29.0,32.0
AGRN,1893.0,1486.0,1712.0,1477.0,1331.0
AL645608.5,0.0,1.0,0.0,0.0,0.0
AL645608.8,0.0,0.0,0.0,0.0,0.0
RNF223,1.0,1.0,2.0,0.0,3.0
C1orf159,2704.0,2086.0,2478.0,2567.0,3025.0
AL390719.3,486.0,316.0,489.0,447.0,504.0
LINC01342,14.0,18.0,1.0,19.0,15.0
AL390719.2,0.0,0.0,0.0,1.0,1.0
TTLL10-AS1,1.0,3.0,2.0,1.0,0.0
TTLL10,14.0,9.0,51.0,4.0,7.0
TNFRSF18,1.0,3.0,6.0,4.0,0.0
TNFRSF4,2.0,4.0,2.0,5.0,0.0
SDF4,3017.0,2704.0,2927.0,2650.0,2307.0
B3GALT6,2463.0,2117.0,2030.0,1637.0,2446.0
C1QTNF12,112.0,297.0,193.0,186.0,49.0
AL162741.1,10.0,7.0,7.0,10.0,6.0
UBE2J2,4762.0,4451.0,4473.0,4030.0,4082.0
LINC01786,229.0,156.0,191.0,231.0,248.0
SCNN1D,101.0,102.0,107.0,109.0,122.0
ACAP3,2976.0,2695.0,3712.0,3013.0,3202.0
