"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"AL162493.1",55.2204439950164,5.45277755365385,0.239704355516463,22.7479285551795,1.50438645942082e-114,1.67370515542863e-110,"AL162493.1"
"NECTIN3-AS1",289.996925122492,4.30962427741302,0.357951593357367,12.0396845757589,2.19794429658746e-33,6.9866369347668e-30,"NECTIN3-AS1"
"NPY",56.4206670602059,2.45096780679735,0.313518583630724,7.81761571647123,5.3833235223358e-15,1.64088125610266e-12,"NPY"
"LEF1",72.41455056584,-2.00935296212446,0.216638848609728,-9.27512759147041,1.77406582172936e-20,1.06688482700811e-17,"LEF1"
"ZIC2",79.4574483426333,-2.01292000720593,0.200984341867455,-10.0153076030839,1.30555143880251e-23,1.3204465938543e-20,"ZIC2"
"RSPO2",224.66909679166,-2.03267178993088,0.350002948804941,-5.8075847557036,6.33804695055512e-09,5.16585650904036e-07,"RSPO2"
"NRN1",165.935451500514,-2.0634934718731,0.284194488841414,-7.26084970994835,3.84666160004321e-13,8.23000646755399e-11,"NRN1"
"FEZF2",72.0745516536253,-2.19923412062542,0.219040675729312,-10.0403001100271,1.0136528623825e-23,1.07403761147014e-20,"FEZF2"
"UNC5C",206.222373601352,-2.20672732315205,0.231407138607027,-9.53612466942727,1.4826960730873e-21,9.99741524917137e-19,"UNC5C"
"CRABP1",65.3425085735932,-2.27991678520624,0.314292023114914,-7.25413506397723,4.0423659607785e-13,8.56635095174117e-11,"CRABP1"
"RSPO3",131.554173860385,-2.63596215424148,0.35465359802523,-7.43249798935906,1.06565722661188e-13,2.54967085476784e-11,"RSPO3"
"EBF2",107.056583546644,-2.72435334378477,0.39933801082308,-6.82217387262879,8.96730366130727e-12,1.37607912943274e-09,"EBF2"
"AC009264.1",61.2160509984429,-2.98554508396958,0.396397037503649,-7.53170382597045,5.00824558444503e-14,1.31104085293513e-11,"AC009264.1"
"LHX1",57.4038105990889,-3.02595821417347,0.36159763374853,-8.36830203451454,5.84544063715419e-17,2.36485272031487e-14,"LHX1"
"LHX5-AS1",75.4911576235712,-3.16034039396744,0.289957645289378,-10.8993173496544,1.1612523169668e-27,1.98761733114064e-24,"LHX5-AS1"
"XIST",251.339997982877,-6.39686582980706,0.682972219425958,-9.36621673306664,7.51790275047133e-21,4.77945297430679e-18,"XIST"
"CHCHD2",448.50259534587,-8.20426030583617,0.282263380218267,-29.0659748334766,9.66818895766126e-186,2.15126872496921e-181,"CHCHD2"
