,GO,term,class,p,p_corr,n_genes,n_study,n_go,study_genes,per
0,GO:0045665,negative regulation of neuron differentiation,biological_process,5.41856894176997e-07,0.0035250200236372356,6,103,60,"['SOX3', 'FEZF2', 'ID4', 'HES1', 'ZNF536', 'GLI3']",0.1
1,GO:0046330,positive regulation of JNK cascade,biological_process,5.639580871349869e-07,0.0035250200236372356,7,103,97,"['FZD7', 'PLCB1', 'RASGRP1', 'TNFRSF19', 'CCN2', 'TRAF3', 'SH3RF1']",0.07216494845360824
2,GO:0001942,hair follicle development,biological_process,1.4236304384107988e-06,0.005932268036857799,5,103,39,"['LRP4', 'APCDD1', 'LHX2', 'TNFRSF19', 'SOX21']",0.1282051282051282
3,GO:0021861,forebrain radial glial cell differentiation,biological_process,4.184451526380367e-06,0.013077457132820243,3,103,7,"['HES1', 'GLI3', 'LEF1']",0.42857142857142855
4,GO:0030182,neuron differentiation,biological_process,1.8580466022400216e-05,0.046124340550373205,7,103,164,"['EMX2', 'FZD7', 'ID1', 'NEUROG2', 'ID3', 'LHX2', 'CCND1']",0.042682926829268296
5,GO:0021557,oculomotor nerve development,biological_process,2.474646882305314e-05,0.046124340550373205,2,103,2,"['HES1', 'ACKR3']",1.0
6,GO:0035988,chondrocyte proliferation,biological_process,2.582756450304875e-05,0.046124340550373205,3,103,12,"['CCN2', 'HMGA2', 'FGFR3']",0.25
7,GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding,molecular_function,5.530624169817074e-06,0.013136918225268376,19,103,1197,"['SOX3', 'MYCN', 'LHX2', 'ZNF536', 'OTX1', 'DMRT3', 'SOX21', 'FEZF2', 'GLI3', 'ZNF423', 'ZNF521', 'PLAGL1', 'DMRTA1', 'HES1', 'EMX2', 'NEUROG2', 'LEF1', 'TCF7L1', 'ZIC2']",0.015873015873015872
8,GO:0140416,transcription regulator inhibitor activity,molecular_function,5.793569228343275e-06,0.013136918225268376,4,103,24,"['ID4', 'LEF1', 'ID1', 'ID3']",0.16666666666666666
9,GO:0140110,transcription regulator activity,molecular_function,9.969764798374823e-06,0.015070961120209942,3,103,9,"['ID4', 'ID1', 'ID3']",0.3333333333333333
10,GO:1990837,sequence-specific double-stranded DNA binding,molecular_function,2.2105040042964207e-05,0.025061589148710667,12,103,557,"['SOX3', 'EMX2', 'MYCN', 'NEUROG2', 'ETV5', 'LEF1', 'DMRTA1', 'HES1', 'GLI3', 'TCF7L1', 'OTX1', 'DMRT3']",0.02154398563734291
