,GO,term,class,p,p_corr,n_genes,n_study,n_go,study_genes,per
0,GO:0002181,cytoplasmic translation,biological_process,3.9097148238800093e-78,4.8875345013324e-74,53,277,88,"['RPL21', 'RPL10A', 'RPL22', 'RPL24', 'RPL26', 'RPL27', 'RPL30', 'RPL28', 'RPL32', 'FAU', 'RPL39', 'RPL36A', 'RPLP0', 'RPLP1', 'RPLP2', 'RPS3', 'RPS3A', 'RPS5', 'RPS7', 'RPS8', 'RPS10', 'RPS11', 'RPS12', 'RPS13', 'RPS14', 'RPS15A', 'RPS16', 'RPS18', 'RPS19', 'RPS20', 'RPSA', 'RPS21', 'RPS23', 'RPS24', 'RPS25', 'RPL14', 'RPS27', 'RPS27A', 'RPS29', 'RPL13A', 'RPL3', 'RPL5', 'RPL6', 'RPL7', 'RPL8', 'RPL9', 'RPL11', 'RPL13', 'RPL15', 'RPL17', 'RPL18', 'RPL18A', 'RPL19']",0.6022727272727273
1,GO:0006412,translation,biological_process,3.4839265558339066e-63,2.1776282937239833e-59,56,277,180,"['RPL21', 'RPL10A', 'RPL22', 'RPL24', 'RPL26', 'RPL27', 'RPL30', 'RPL28', 'RPL32', 'FAU', 'RPL39', 'RPL36A', 'RPL13', 'RPLP0', 'RPLP1', 'RPLP2', 'RPL17', 'RPS3', 'RPS3A', 'RPS5', 'RPS7', 'RPS8', 'RPS10', 'RPS11', 'RPS12', 'RPS13', 'RPS14', 'RPS15A', 'RPS16', 'RPS18', 'RPS19', 'RPS20', 'RPSA', 'RPS21', 'RPS23', 'RPS24', 'RPS25', 'RPL14', 'RPS27', 'RPS27A', 'RPS29', 'RPL13A', 'GCN1', 'RPL3', 'RPL5', 'RPL6', 'RPL7', 'RPL8', 'RPL9', 'RPL11', 'RPS27L', 'RPL15', 'EEF1A1', 'RPL18', 'RPL18A', 'RPL19']",0.3111111111111111
2,GO:0000028,ribosomal small subunit assembly,biological_process,2.3296994324685044e-10,9.707857535096258e-07,7,277,15,"['RPS14', 'RRP7A', 'RPS19', 'RPS5', 'RPSA', 'RPS27', 'RPS27L']",0.4666666666666667
3,GO:0006364,rRNA processing,biological_process,3.7909497287473335e-10,1.1847665639767605e-06,14,277,115,"['RPS16', 'RPL26', 'RPL27', 'RRP7A', 'NOP53', 'RPS19', 'RPL5', 'RPL7', 'RPL11', 'RPS24', 'RPS25', 'RPL14', 'RPS27', 'RPS7']",0.12173913043478261
4,GO:0006413,translational initiation,biological_process,2.795179888079321e-08,6.988508756175918e-05,9,277,52,"['EIF1', 'RPS3', 'RPS3A', 'EIF1B', 'RPS5', 'EIF3D', 'EIF3F', 'EIF3H', 'EIF3E']",0.17307692307692307
5,GO:0006414,translational elongation,biological_process,1.3098301286923365e-07,0.0002729031073130483,6,277,20,"['RPLP1', 'EIF5A', 'EEF1B2', 'EEF1D', 'EEF1G', 'EEF1A1']",0.3
6,GO:0000027,ribosomal large subunit assembly,biological_process,1.8501398328368635e-07,0.00033040854357562334,6,277,21,"['RPL24', 'RPL5', 'NOP53', 'RPL6', 'RPL11', 'RPLP0']",0.2857142857142857
7,GO:0042273,ribosomal large subunit biogenesis,biological_process,5.480817002248794e-06,0.008564461668139022,6,277,34,"['RPL26', 'RPL5', 'RPL7', 'RPL14', 'RPL11', 'NIP7']",0.17647058823529413
8,GO:0042274,ribosomal small subunit biogenesis,biological_process,1.1686101162452679e-05,0.016231994514646773,5,277,23,"['RPS16', 'RPS19', 'RPS24', 'RPS25', 'RPS7']",0.21739130434782608
9,GO:1904667,negative regulation of ubiquitin protein ligase activity,biological_process,1.4532379923151027e-05,0.018166928141931098,4,277,12,"['RPS20', 'RPS7', 'RPL5', 'RPL11']",0.3333333333333333
