,GO,term,class,p,p_corr,n_genes,n_study,n_go,study_genes,per
0,GO:0002181,cytoplasmic translation,biological_process,1.6391517554960415e-72,2.0491036095456016e-68,72,1276,88,"['RPL21', 'RPL22', 'RPL23', 'RPL24', 'RPL26', 'RPL27', 'RPL30', 'RPL27A', 'RPL28', 'RPL29', 'RPL31', 'RPL36', 'RPL32', 'UBA52', 'RPL34', 'FAU', 'RPL35A', 'RPL37', 'RPL37A', 'RPL38', 'RPL39', 'RPL36A', 'RACK1', 'RPLP0', 'RPLP1', 'RPLP2', 'RPS2', 'RPS3', 'RPS3A', 'ZC3H15', 'RPL26L1', 'RPS6', 'RPS7', 'RPS8', 'RPS9', 'RWDD1', 'RPS11', 'RPS12', 'RPS13', 'RPS14', 'RPS15', 'RPS15A', 'RPS17', 'RPS19', 'RPS20', 'RPSA', 'RPS21', 'RPS23', 'RPL14', 'RPS24', 'RPS25', 'RPL35', 'RPS27A', 'RPS28', 'RPS29', 'RPL13A', 'RPL3', 'RPL5', 'RPL6', 'RPL7', 'RPL7A', 'RPL8', 'RPL9', 'RPL10', 'RPL11', 'RPL12', 'RPL13', 'RPL15', 'RPL17', 'RPL18', 'RPL18A', 'RPL19']",0.8181818181818182
1,GO:0006412,translation,biological_process,2.5993351531503015e-52,1.624714437476596e-48,81,1276,180,"['RPL21', 'RPL22', 'RPL24', 'RPL26', 'RPL27', 'RPL30', 'RPL27A', 'RPL28', 'RPL29', 'RPL31', 'RPL32', 'RPL34', 'RPL35A', 'RPL36AL', 'RPL37', 'RPL37A', 'RPL38', 'RPL39', 'RPL36A', 'RPLP0', 'RPLP1', 'RPLP2', 'RPS2', 'RPS3', 'RPS3A', 'PAIP2', 'RPS6', 'RPS7', 'MRPL51', 'RPS8', 'RPS9', 'RPS11', 'RPS12', 'RPS13', 'RPS14', 'RPS15', 'RPS15A', 'RPS17', 'RPS19', 'RPS20', 'RPS21', 'RPS23', 'RPS24', 'RPS25', 'RPS27A', 'RPS28', 'RPS29', 'RPL23', 'FAU', 'RPL36', 'EEF1E1', 'MRPS16', 'RPSA', 'RPL14', 'EEF1A1', 'MRPS7', 'IGF2BP3', 'CPEB4', 'MRPS15', 'MRPS33', 'MRPS5', 'MRPL36', 'RPL35', 'RPL13A', 'RPL3', 'RPL5', 'RPL6', 'RPL7', 'RPL7A', 'RSL24D1', 'RPL8', 'RPL9', 'RPL10', 'RPL11', 'RPL12', 'RPL13', 'RPL15', 'RPL17', 'RPL18', 'RPL18A', 'RPL19']",0.45
2,GO:0000398,"mRNA splicing, via spliceosome",biological_process,1.046090876091286e-14,4.359060680672389e-11,44,1276,190,"['RALY', 'NCBP2', 'DDX5', 'SNRNP27', 'MFAP1', 'LSM6', 'UBL5', 'DDX46', 'TXNL4A', 'SRSF3', 'SRSF4', 'SRSF7', 'TRA2B', 'FRG1', 'SF3B6', 'WBP4', 'SNRNP35', 'HNRNPA3', 'ZCRB1', 'HNRNPM', 'BUD31', 'RBM6', 'PPIE', 'RBM8A', 'YTHDC1', 'SNRPA1', 'SRRM2', 'SNRPB2', 'SNRPC', 'LSM7', 'SRSF9', 'LSM8', 'HNRNPA1', 'PLRG1', 'HNRNPC', 'PRPF40A', 'SNRPE', 'SNRPF', 'SF3B5', 'HNRNPH3', 'RSRC1', 'HNRNPU', 'DHX8', 'HNRNPR']",0.23157894736842105
3,GO:0042776,proton motive force-driven mitochondrial ATP synthesis,biological_process,1.0041136102940272e-11,2.0920707070476055e-08,22,1276,64,"['ATP5F1D', 'ATP5PB', 'ATP5MG', 'ATP5ME', 'MT-ND2', 'MT-ND5', 'NDUFA2', 'NDUFA3', 'NDUFA5', 'NDUFA6', 'NDUFA7', 'NDUFB4', 'NDUFB5', 'NDUFB8', 'NDUFB10', 'NDUFC1', 'NDUFS4', 'NDUFS5', 'NDUFS6', 'SDHA', 'STOML2', 'ATP5F1C']",0.34375
4,GO:0009060,aerobic respiration,biological_process,2.793964145385907e-09,4.989620825924175e-06,20,1276,68,"['ATP5F1D', 'MT-ND2', 'MT-ND5', 'UQCRB', 'NDUFA2', 'UQCRC1', 'NDUFA3', 'NDUFA5', 'UQCRC2', 'NDUFA6', 'NDUFA7', 'MDH2', 'NDUFB4', 'NDUFB5', 'NDUFB8', 'NDUFB10', 'NDUFC1', 'NDUFS4', 'NDUFS5', 'NDUFS6']",0.29411764705882354
5,GO:0006120,"mitochondrial electron transport, NADH to ubiquinone",biological_process,7.194841961312062e-09,1.1242839919795261e-05,16,1276,46,"['NDUFB4', 'NDUFB5', 'NDUFB8', 'NDUFA3', 'NDUFB10', 'NDUFC1', 'NDUFS4', 'NDUFS5', 'NDUFS6', 'NDUFA2', 'MT-ND2', 'NDUFA4', 'NDUFA5', 'MT-ND5', 'NDUFA7', 'NDUFA6']",0.34782608695652173
6,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,biological_process,2.5239727026892454e-08,3.505798084035362e-05,35,1276,201,"['PCNP', 'PJA2', 'PPP2CB', 'UBE2D3', 'UBE2G1', 'UBE2H', 'STUB1', 'CSNK1A1', 'PSMA4', 'PSMA5', 'PSMA7', 'MAEA', 'PSMB6', 'TBL1X', 'APC', 'KLHL42', 'BIRC2', 'PELI1', 'SIAH1', 'PSMD7', 'PSMD8', 'PSMD11', 'PSMD12', 'PSMD13', 'UBXN1', 'CTNNB1', 'TRIM13', 'TBL1XR1', 'TRIP12', 'FAF1', 'UBE2W', 'RBX1', 'FBXW11', 'AGAP3', 'RAD23B']",0.17412935323383086
7,GO:0006338,chromatin remodeling,biological_process,3.0102433013293656e-08,3.76310515099184e-05,32,1276,176,"['NPM1', 'BPTF', 'SMARCA5', 'PBRM1', 'RBBP4', 'BAZ1A', 'ARID2', 'KDM5C', 'BRD4', 'CFDP1', 'RSF1', 'BRD7', 'PAK1', 'HLTF', 'SMARCA4', 'SMARCB1', 'SMARCC1', 'SMARCE1', 'CHD8', 'CHD1', 'CHD2', 'CHD3', 'CHD4', 'CHD6', 'CHD7', 'BRD3', 'ARID1A', 'ZNHIT1', 'SKP1', 'TOP1', 'HNRNPC', 'RING1']",0.18181818181818182
8,GO:0008380,RNA splicing,biological_process,2.3747583122376223e-07,0.00026988048782984104,30,1276,173,"['ARL6IP4', 'NCBP2', 'PPIG', 'THOC7', 'LSM6', 'SRSF4', 'SRSF7', 'TCERG1', 'YBX1', 'PPP4R2', 'ZC3H13', 'CELF3', 'WBP4', 'SNRNP35', 'ZCRB1', 'RBM15B', 'ACIN1', 'SRPK1', 'SRSF11', 'RBM8A', 'SNRPA1', 'RBM23', 'SNRPF', 'THRAP3', 'RBM39', 'HNRNPC', 'WTAP', 'HNRNPH3', 'RSRC1', 'DHX8']",0.17341040462427745
9,GO:0045892,negative regulation of DNA-templated transcription,biological_process,2.8769434038432995e-07,0.0002997055790953757,67,1276,563,"['TRERF1', 'CDKN1B', 'HDAC9', 'LHX1', 'TRIM33', 'UIMC1', 'USP47', 'JUN', 'STRN3', 'SET', 'CDK5R1', 'ZEB1', 'ILF3', 'YAF2', 'ZNF148', 'UBE2I', 'TLE5', 'CTCF', 'RBBP4', 'BEND5', 'PA2G4', 'SUMO1', 'BCLAF1', 'CBY1', 'GLI3', 'KDM5C', 'ZNF706', 'ATF7IP', 'ZNF423', 'ZNF253', 'RING1', 'RSF1', 'BRD7', 'ARID5B', 'COMMD7', 'DNAJB6', 'DACH1', 'PLCB1', 'EHMT1', 'SMARCA4', 'ZMYM2', 'SMARCE1', 'CHD8', 'CTBP2', 'CHD3', 'CHD4', 'PFDN5', 'CBX4', 'CTNNB1', 'ZNF91', 'SIX3', 'XRCC5', 'EZH2', 'KAT6B', 'SPEN', 'ENO1', 'L3MBTL3', 'RFX3', 'NIPBL', 'MECP2', 'PDCD4', 'XRCC6', 'NR2F2', 'SMAD2', 'ZIC2', 'FBXW11', 'CCDC85B']",0.11900532859680284
