"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009408","response to heat","6/8","114/18903",1.16787520223644e-12,3.91238192749208e-10,1.20475547178075e-10,"BAG3/HSPA1B/DNAJB1/HSPA1A/HSPA6/CRYAB",6
"GO:0009266","response to temperature stimulus","6/8","186/18903",2.30622418264331e-11,2.75770604283817e-09,8.49191491588816e-10,"BAG3/HSPA1B/DNAJB1/HSPA1A/HSPA6/CRYAB",6
"GO:0034605","cellular response to heat","5/8","66/18903",2.46958750104911e-11,2.75770604283817e-09,8.49191491588816e-10,"BAG3/HSPA1B/DNAJB1/HSPA1A/HSPA6",5
"GO:0006457","protein folding","6/8","223/18903",6.91991322638164e-11,5.79542732709462e-09,1.7846092004879e-09,"BAG3/HSPA1B/DNAJB1/HSPA1A/HSPA6/CRYAB",6
"GO:0070841","inclusion body assembly","4/8","24/18903",1.39387127092408e-10,9.33893751519131e-09,2.87577651685388e-09,"BAG3/HSPA1B/DNAJB1/HSPA1A",4
"GO:0042026","protein refolding","4/8","27/18903",2.30096058884187e-10,1.28470299543671e-08,3.95603750362286e-09,"HSPA1B/HSPA1A/HSPA6/CRYAB",4
"GO:0051085","chaperone cofactor-dependent protein refolding","4/8","32/18903",4.71068098715236e-10,2.25439732956577e-08,6.94205619159295e-09,"HSPA1B/DNAJB1/HSPA1A/HSPA6",4
"GO:0051084","'de novo' post-translational protein folding","4/8","37/18903",8.64441960279406e-10,3.61985070867001e-08,1.11467515930765e-08,"HSPA1B/DNAJB1/HSPA1A/HSPA6",4
"GO:0006986","response to unfolded protein","5/8","141/18903",1.18274104642371e-09,4.40242500613269e-08,1.35565640408799e-08,"BAG3/HSPA1B/DNAJB1/HSPA1A/HSPA6",5
"GO:0006458","'de novo' protein folding","4/8","41/18903",1.32459210705514e-09,4.43738355863471e-08,1.36642133148846e-08,"HSPA1B/DNAJB1/HSPA1A/HSPA6",4
"GO:0035966","response to topologically incorrect protein","5/8","163/18903",2.4586793195333e-09,7.48779610948778e-08,2.30574711305515e-08,"BAG3/HSPA1B/DNAJB1/HSPA1A/HSPA6",5
"GO:0090084","negative regulation of inclusion body assembly","3/8","11/18903",8.19616044483561e-09,2.28809479084994e-07,7.04582213678851e-08,"HSPA1B/DNAJB1/HSPA1A",3
"GO:0061077","chaperone-mediated protein folding","4/8","71/18903",1.26442782562797e-08,3.25833324296437e-07,1.00335163491126e-07,"HSPA1B/DNAJB1/HSPA1A/HSPA6",4
"GO:0090083","regulation of inclusion body assembly","3/8","17/18903",3.37379113970434e-08,8.07300022714966e-07,2.48595136609793e-07,"HSPA1B/DNAJB1/HSPA1A",3
"GO:0034620","cellular response to unfolded protein","4/8","100/18903",5.07777602626494e-08,1.13403664586584e-06,3.49208456543133e-07,"BAG3/HSPA1B/HSPA1A/HSPA6",4
"GO:0035967","cellular response to topologically incorrect protein","4/8","120/18903",1.06013218183877e-07,2.21965175572493e-06,6.83506275132894e-07,"BAG3/HSPA1B/HSPA1A/HSPA6",4
"GO:0050821","protein stabilization","4/8","214/18903",1.07899871434972e-06,2.12626217239503e-05,6.54748445859272e-06,"BAG3/HSPA1B/HSPA1A/CRYAB",4
"GO:0038034","signal transduction in absence of ligand","3/8","68/18903",2.46141934388796e-06,4.33987094843403e-05,1.33639388200011e-05,"BAG3/HSPA1B/HSPA1A",3
"GO:0097192","extrinsic apoptotic signaling pathway in absence of ligand","3/8","68/18903",2.46141934388796e-06,4.33987094843403e-05,1.33639388200011e-05,"BAG3/HSPA1B/HSPA1A",3
"GO:0031647","regulation of protein stability","4/8","325/18903",5.68659299528727e-06,9.52504326710618e-05,2.93308480809554e-05,"BAG3/HSPA1B/HSPA1A/CRYAB",4
