"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","cytoplasmic translation","88/1208","161/18903",3.97986745904402e-62,2.06037738354709e-58,1.81733316182452e-58,"RPLP0/RPS27A/RPL5/FAU/RPS25/DHX9/EIF3A/RPL26/RPS3/RPSA/RPL18/RPS12/EIF3L/RPS21/RPL6/DHX36/RPL22/RPLP1/EIF5/RPL13A/RPL18A/RPL21/HNRNPU/RPS8/RPL15/EIF3E/RWDD1/RPS19/RPL32/RPLP2/RPL19/RPS24/RPS3A/RPL38/RPL14/CSDE1/RPL36/RPL39/RPS2/RPL24/RPL28/RPL31/YTHDF2/RPL30/RPS13/RPS15A/RPL35A/RPS23/RPL17/NCBP2/RPL36A/RPL9/RPL37A/RPL37/RPS29/RPL10/UBA52/RPL27/RPS28/RPL11/RPL8/CNBP/DHX29/RPL34/RPL27A/RPL23/ZC3H15/RPL12/RPS15/RPS20/RPL13/RPL3/RPS17/RPS14/RPS9/RACK1/EIF3J/RPL7/RPL35/RPL7A/RPS11/RPL26L1/RPL29/YBX1/RPS7/CPEB4/RPS6/EIF3G",88
"GO:0008380","RNA splicing","76/1208","469/18903",4.52626016088441e-14,1.03778163286626e-10,9.15363850914232e-11,"SRRM2/SRSF11/RBM39/SRSF9/DDX46/THRAP3/PPIG/DHX9/SF3B6/CELF3/PCBP4/RBM8A/NPM1/UBL5/HNRNPR/DDX5/TXNL4A/ZC3H13/HNRNPU/SNRPE/THOC7/TRRAP/PSIP1/SNRPC/SRPK1/BUD31/WTAP/SRSF4/FXR1/ACIN1/ENY2/SRSF7/TCERG1/RPS13/TRA2B/SNRPA1/NCBP2/RBM23/YTHDC1/HNRNPC/RBM6/PRPF40A/SF3B5/RTRAF/SNRNP27/TMBIM6/RSRC1/SNRPB2/LSM7/PPP4R2/LSM8/SNRPF/FRG1/WBP4/HNRNPA3/NCL/HNRNPA1/HNRNPH3/LSM6/SNRNP35/ZCRB1/HNRNPM/SRSF3/ARL6IP4/YBX1/RALY/RBM15B/MFAP1/PLRG1/TAF9/TAF10/PPIE/COIL/TGS1/DHX8/KHDRBS3",76
"GO:0006119","oxidative phosphorylation","38/1208","147/18903",6.01380123353057e-14,1.03778163286626e-10,9.15363850914232e-11,"COX7A2L/ATP5MG/UQCRFS1/ATP5PB/UQCRC2/NDUFS4/COX7C/COX4I1/PARK7/NDUFB10/NDUFA7/NDUFA2/NDUFA6/ATP5F1C/NDUFA5/GHITM/COX5B/UQCR11/COX7A2/NDUFC1/NDUFA4/NDUFB8/NDUFA3/ATP5ME/SDHA/ATP5F1D/NDUFS5/UQCRB/STOML2/NDUFS6/RHOA/UQCRC1/NDUFB5/UQCR10/NDUFB4/COX7B/ANTKMT/CHCHD2",38
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","60/1208","329/18903",1.2455611558096e-13,1.23970391445249e-10,1.09346717381432e-10,"SRRM2/RBM39/SRSF9/DDX46/THRAP3/DHX9/SF3B6/CELF3/PCBP4/RBM8A/NPM1/UBL5/HNRNPR/DDX5/TXNL4A/HNRNPU/SNRPE/PSIP1/SNRPC/SRPK1/BUD31/WTAP/SRSF4/FXR1/SRSF7/TRA2B/SNRPA1/NCBP2/RBM23/YTHDC1/HNRNPC/RBM6/PRPF40A/SF3B5/SNRNP27/RSRC1/SNRPB2/LSM7/LSM8/SNRPF/FRG1/WBP4/HNRNPA3/NCL/HNRNPA1/HNRNPH3/LSM6/SNRNP35/ZCRB1/HNRNPM/SRSF3/RALY/RBM15B/MFAP1/PLRG1/PPIE/COIL/TGS1/DHX8/KHDRBS3",60
"GO:0000398","mRNA splicing, via spliceosome","60/1208","329/18903",1.2455611558096e-13,1.23970391445249e-10,1.09346717381432e-10,"SRRM2/RBM39/SRSF9/DDX46/THRAP3/DHX9/SF3B6/CELF3/PCBP4/RBM8A/NPM1/UBL5/HNRNPR/DDX5/TXNL4A/HNRNPU/SNRPE/PSIP1/SNRPC/SRPK1/BUD31/WTAP/SRSF4/FXR1/SRSF7/TRA2B/SNRPA1/NCBP2/RBM23/YTHDC1/HNRNPC/RBM6/PRPF40A/SF3B5/SNRNP27/RSRC1/SNRPB2/LSM7/LSM8/SNRPF/FRG1/WBP4/HNRNPA3/NCL/HNRNPA1/HNRNPH3/LSM6/SNRNP35/ZCRB1/HNRNPM/SRSF3/RALY/RBM15B/MFAP1/PLRG1/PPIE/COIL/TGS1/DHX8/KHDRBS3",60
"GO:0022613","ribonucleoprotein complex biogenesis","77/1208","489/18903",1.43678259353196e-13,1.23970391445249e-10,1.09346717381432e-10,"RPLP0/RPL5/SRSF9/RPS25/DDX46/DHX9/SF3B6/EIF3A/CELF3/RPL26/PTEN/RPSA/PTGES3/NPM1/EIF3L/XRCC5/RPS21/RPL6/EIF5/RPL13A/TXNL4A/PA2G4/SNRPE/RPS8/PSIP1/SNRPC/SRPK1/EIF3E/RSL24D1/RPS19/RPS24/RPL38/RPL14/PRKDC/RPL24/RAN/YTHDF2/RPL35A/SNRPA1/YTHDC1/ERI3/SF3B5/RPL10/DHX30/RPL27/RPS28/RPL11/DHX29/RPS15/RPS17/NOP10/RPS14/SNRPB2/EIF3J/DICER1/RPL7/RPL35/RPL7A/MRPS7/SNRPF/FRG1/EIF2A/RPL26L1/LSM6/XRN2/CHD7/RPS7/TAF9/RPL7L1/NGDN/TSR3/RPS6/COIL/EIF3G/TGS1/MRPL36/GTF3A",77
"GO:0000375","RNA splicing, via transesterification reactions","60/1208","333/18903",2.15784743385446e-13,1.59588230929493e-10,1.40763040121212e-10,"SRRM2/RBM39/SRSF9/DDX46/THRAP3/DHX9/SF3B6/CELF3/PCBP4/RBM8A/NPM1/UBL5/HNRNPR/DDX5/TXNL4A/HNRNPU/SNRPE/PSIP1/SNRPC/SRPK1/BUD31/WTAP/SRSF4/FXR1/SRSF7/TRA2B/SNRPA1/NCBP2/RBM23/YTHDC1/HNRNPC/RBM6/PRPF40A/SF3B5/SNRNP27/RSRC1/SNRPB2/LSM7/LSM8/SNRPF/FRG1/WBP4/HNRNPA3/NCL/HNRNPA1/HNRNPH3/LSM6/SNRNP35/ZCRB1/HNRNPM/SRSF3/RALY/RBM15B/MFAP1/PLRG1/PPIE/COIL/TGS1/DHX8/KHDRBS3",60
"GO:0042773","ATP synthesis coupled electron transport","30/1208","101/18903",5.245683443751e-13,3.01743368758877e-10,2.66149412619788e-10,"COX7A2L/UQCRFS1/UQCRC2/NDUFS4/COX7C/COX4I1/PARK7/NDUFB10/NDUFA7/NDUFA2/NDUFA6/NDUFA5/GHITM/COX5B/UQCR11/COX7A2/NDUFC1/NDUFA4/NDUFB8/NDUFA3/SDHA/NDUFS5/UQCRB/NDUFS6/UQCRC1/NDUFB5/UQCR10/NDUFB4/COX7B/CHCHD2",30
"GO:0042775","mitochondrial ATP synthesis coupled electron transport","30/1208","101/18903",5.245683443751e-13,3.01743368758877e-10,2.66149412619788e-10,"COX7A2L/UQCRFS1/UQCRC2/NDUFS4/COX7C/COX4I1/PARK7/NDUFB10/NDUFA7/NDUFA2/NDUFA6/NDUFA5/GHITM/COX5B/UQCR11/COX7A2/NDUFC1/NDUFA4/NDUFB8/NDUFA3/SDHA/NDUFS5/UQCRB/NDUFS6/UQCRC1/NDUFB5/UQCR10/NDUFB4/COX7B/CHCHD2",30
"GO:0022904","respiratory electron transport chain","33/1208","122/18903",6.80865148832679e-13,3.52483887550678e-10,3.10904527961701e-10,"COX7A2L/PUM2/UQCRFS1/UQCRC2/NDUFS4/COX7C/COX4I1/PARK7/NDUFB10/NDUFA7/NDUFA2/NDUFA6/NDUFA5/GHITM/COX5B/UQCR11/COX7A2/NDUFC1/NDUFA4/NDUFB8/NDUFA3/SDHA/NDUFS5/SOD2/UQCRB/NDUFS6/UQCRC1/NDUFB5/UQCR10/NDUFB4/COX7B/ETFB/CHCHD2",33
