"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032874","positive regulation of stress-activated MAPK cascade","8/99","130/18903",4.08186808007204e-07,0.00043956253075655,0.00038711061246168,"SH3RF1/PLCB1/TNFRSF19/FZD7/TRAF3/SASH1/RASGRP1/CCN2",8
"GO:0070304","positive regulation of stress-activated protein kinase signaling cascade","8/99","132/18903",4.58833539411848e-07,0.00043956253075655,0.00038711061246168,"SH3RF1/PLCB1/TNFRSF19/FZD7/TRAF3/SASH1/RASGRP1/CCN2",8
"GO:0046330","positive regulation of JNK cascade","7/99","96/18903",7.10234953648285e-07,0.000453603390396704,0.000399476010771298,"SH3RF1/PLCB1/TNFRSF19/FZD7/TRAF3/RASGRP1/CCN2",7
"GO:0021761","limbic system development","7/99","111/18903",1.89854952690751e-06,0.000870067621581653,0.00076624458707581,"SOX3/GLI3/DAB1/ID4/EMX2/LEF1/FEZF2",7
"GO:0045665","negative regulation of neuron differentiation","6/99","73/18903",2.27053137155964e-06,0.000870067621581653,0.00076624458707581,"SOX3/GLI3/ZNF536/ID4/HES1/FEZF2",6
"GO:0021543","pallium development","8/99","174/18903",3.6839958712664e-06,0.00100242904717296,0.000882811648510192,"GLI3/DAB1/LHX2/PLCB1/ID4/EMX2/LEF1/FEZF2",8
"GO:0021766","hippocampus development","6/99","82/18903",4.4966500395939e-06,0.00100242904717296,0.000882811648510192,"GLI3/DAB1/ID4/EMX2/LEF1/FEZF2",6
"GO:0051403","stress-activated MAPK cascade","9/99","239/18903",4.57608767838275e-06,0.00100242904717296,0.000882811648510192,"SH3RF1/PLCB1/TNFRSF19/FZD7/ZFP36L1/TRAF3/SASH1/RASGRP1/CCN2",9
"GO:0042063","gliogenesis","10/99","310/18903",5.22653220735457e-06,0.00100242904717296,0.000882811648510192,"VIM/GLI3/RRAS2/APCDD1/DAB1/ID4/TENM4/ROR1/HES1/LEF1",10
"GO:0030900","forebrain development","11/99","383/18903",5.23398621496607e-06,0.00100242904717296,0.000882811648510192,"SOX3/GLI3/DAB1/LHX2/PLCB1/ID4/HES1/OTX1/EMX2/LEF1/FEZF2",11
"GO:0031098","stress-activated protein kinase signaling cascade","9/99","246/18903",5.78327156671043e-06,0.00100242904717296,0.000882811648510192,"SH3RF1/PLCB1/TNFRSF19/FZD7/ZFP36L1/TRAF3/SASH1/RASGRP1/CCN2",9
"GO:0021871","forebrain regionalization","4/99","24/18903",6.93954581771795e-06,0.00100242904717296,0.000882811648510192,"GLI3/LHX2/EMX2/FEZF2",4
"GO:0035988","chondrocyte proliferation","4/99","24/18903",6.93954581771795e-06,0.00100242904717296,0.000882811648510192,"FGFR3/HMGA2/CCN2/LEF1",4
