"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"UTY",1666.96813487439,10.3077768292774,2.36338823611507,4.36144035574169,0.0000129209020656879,0.00132635106000993,"UTY"
"ZNF736",529.734734742619,9.38398596994308,2.61744954068665,3.58516404006066,0.000336866399779895,0.0151192519086465,"ZNF736"
"AC109439.2",90.8298213736297,9.33626482361438,2.88312356227692,3.23824651352825,0.00120266842413258,0.0371713022750296,"AC109439.2"
"LINC02506",664.846629746351,6.71188771164185,1.84495138717806,3.63797537338261,0.000274789692253034,0.0129418122187674,"LINC02506"
"AC097654.1",53.0495328729004,6.3122459495717,1.71011683613677,3.6911197037457,0.000223269026008577,0.0111205660790417,"AC097654.1"
"AL162493.1",2185.65535455044,6.18244262168117,0.286871391490358,21.5512693320936,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000515152101582925,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000116867405765102,"AL162493.1"
"AC005863.1",56.3764002294027,4.86694122291663,1.19568004719979,4.0704377682932,0.0000469248754491258,0.00350668755624203,"AC005863.1"
"AL009179.2",65.0273642970352,4.78706181733196,1.43259167636525,3.34153960008871,0.000833151308462853,0.0289890653125587,"AL009179.2"
"MMP20",78.8492604079109,3.81204043716054,1.18317282025076,3.22187965436244,0.00127352614650864,0.0385570573826184,"MMP20"
"LINC02511",168.685149687701,3.4424327900273,0.962874157406945,3.57516375691077,0.000350008749327185,0.0155083954828838,"LINC02511"
"LINC01060",253.398614645441,3.29080342148081,0.992270207306904,3.31643880592999,0.000911725517007004,0.0308103617057885,"LINC01060"
"NPY",1538.96697018617,3.13432920825647,0.752168854591698,4.16705529499475,0.0000308559671356858,0.00259275398902641,"NPY"
"HCG24",187.558742846011,3.10343616782333,0.619903759098118,5.00631932340343,0.000000554806893235109,0.000118739143206903,"HCG24"
"AC090138.1",134.274345684397,3.03217072814703,0.49619492462188,6.11084591495502,0.000000000991044170056181,0.000000499618400930989,"AC090138.1"
"AC012645.1",1384.41316966994,2.90851015900532,0.84511104800737,3.4415715731833,0.000578345446631307,0.0225823490572768,"AC012645.1"
"IL33",201.627902978209,2.89969355415543,0.863346158553466,3.35866850790633,0.000783189550842188,0.0278050675280217,"IL33"
"GATD3A",725.191458764139,2.89621441974919,0.497119783106074,5.82598906374885,0.00000000567753340196404,0.00000234182768649011,"GATD3A"
"BCAN",204.556502380906,2.76045698494846,0.567111578138181,4.86757296335052,0.00000112977126208026,0.000213583257096273,"BCAN"
"AL691447.2",244.828359601604,2.65436232764854,0.663222472104777,4.00222012867683,0.0000627508742951179,0.00436676789650014,"AL691447.2"
"LINC01717",531.925857668276,2.56769883950044,0.704486457663334,3.64478097707808,0.000267619615039639,0.0127439166558053,"LINC01717"
"C8orf34",1861.41851274471,2.29541977898489,0.490569428533631,4.67909259214576,0.00000288147304063178,0.000424474658440081,"C8orf34"
"DEC1",708.446146199529,2.27881324520801,0.619262935426818,3.67987992634723,0.000233343800818212,0.0115329792273681,"DEC1"
"LINC02712",78.6583959296293,2.25117395483185,0.659726303680431,3.4122846736187,0.000644207994890919,0.0241961963114162,"LINC02712"
"AC016590.1",231.432684574295,2.22108218440198,0.709346622877262,3.13116622081429,0.00174113581826815,0.0478861535103905,"AC016590.1"
"TNC",1751.05496324503,2.19882902416422,0.610767109186764,3.60011040393442,0.000318082094401217,0.0144609426725171,"TNC"
"SCGN",706.102789510595,2.18137132648634,0.545961667123609,3.99546608826745,0.0000645670993857227,0.00445218606888907,"SCGN"
"AC023283.1",60.3057445568635,2.05810125941029,0.64831003658051,3.17456331582599,0.00150062147815555,0.0431002032535611,"AC023283.1"
"LHFPL3",3931.49150366342,2.03386134962434,0.47116618090019,4.31665393670347,0.0000158412219041445,0.00153578615434796,"LHFPL3"
"NR3C2",571.977377901624,-2.00171858614993,0.496969300940799,-4.02785158431422,0.0000562888562964666,0.00405386982203696,"NR3C2"
"FAM183A",210.998441800106,-2.01174720377283,0.458176900768282,-4.3907652271415,0.0000112952445691276,0.00118631443655199,"FAM183A"
"GNG12",725.995834915758,-2.02391641069567,0.319570406725026,-6.33324102640437,0.000000000240064095225586,0.000000155602687551076,"GNG12"
"UNC5C",5634.22016777114,-2.02742697981022,0.251817968177951,-8.05116090197944,0.000000000000000820123658349943,0.00000000000116283283208292,"UNC5C"
"BAMBI",382.688595519861,-2.02884882447424,0.569886313236907,-3.56009396497091,0.00037072211671639,0.0161092891171687,"BAMBI"
"BCAM",354.766629727918,-2.02898617071168,0.448074152687688,-4.52823747708094,0.00000594777157490745,0.000733321445371469,"BCAM"
"DLK1",1895.32751523768,-2.0403917904184,0.633494233268802,-3.22085298218118,0.00127809693871679,0.0385570573826184,"DLK1"
"CHRNA3",215.047959155375,-2.07216116744576,0.525893848479249,-3.94026508094347,0.0000813916210587072,0.00532118246495052,"CHRNA3"
"TEX15",283.029227823905,-2.07551396002056,0.582362131618983,-3.56395762590293,0.000365304952482124,0.0159986643861187,"TEX15"
