"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"UTY",55.5871845245816,7.90222381000907,1.31074792006899,6.02878989088394,0.00000000165191878129542,0.00000642069281071981,"UTY"
"AL162493.1",50.4671601281371,3.93927706301966,0.461673993781216,8.53259467954016,0.0000000000000000143101350829373,0.00000000000012272371847127,"AL162493.1"
"GATD3A",33.1920391449944,3.43059757412259,0.631149490131212,5.4354754741375,0.0000000546505024137093,0.000156227569566657,"GATD3A"
"TNIK",200.093922775142,1.19210656822764,0.281374822641884,4.2367208161509,0.0000226807859745876,0.0185248019541013,"TNIK"
"MEIS2",1784.20103667796,0.921405708859071,0.203650205637721,4.52445263177482,0.00000605520121011506,0.00649117569724334,"MEIS2"
"CACHD1",303.111584406752,-0.935987193306462,0.224489831129516,-4.16939684348757,0.0000305406808330012,0.0238106253476198,"CACHD1"
"PWRN1",357.475923617043,-1.00860352277983,0.247850883393236,-4.06939652169645,0.0000471350683681307,0.0337338857106858,"PWRN1"
"EIF5A",402.555049542581,-1.11307768473343,0.213508961789434,-5.21325978733936,0.00000018555075610725,0.000454652366964508,"EIF5A"
"CEMIP2",346.398417986979,-1.23958632424994,0.240646115823145,-5.15107555345264,0.000000258996816638615,0.000504357948419377,"CEMIP2"
"RGS16",418.664532096242,-1.29681000451601,0.258025163716452,-5.02590517078827,0.000000501063456715016,0.000859424040957595,"RGS16"
"GRK3",183.042244152462,-1.34833068188743,0.331361338249971,-4.06906457164983,0.000047202265453385,0.0337338857106858,"GRK3"
"CDH20",379.34417886174,-1.38681259405387,0.295901354974926,-4.68673958647939,0.00000277591812723588,0.00340089626559641,"CDH20"
"CCND1",229.57111812358,-1.63133185505,0.403970448751502,-4.03824552041305,0.000053852472481235,0.0355260618460824,"CCND1"
"AC109927.1",50.5711790079227,-1.95810879433249,0.494619419164869,-3.95881908081696,0.0000753212642527837,0.0465567534170312,"AC109927.1"
"NRN1",327.602098723786,-1.95854132054041,0.405269236497594,-4.83269181116843,0.00000134699226351684,0.00192530094198673,"NRN1"
"SAMD3",116.317892773689,-2.04241785957219,0.418548758639609,-4.87976088188763,0.00000106214539451784,0.00165617434606999,"SAMD3"
"NAV2",150.337522796054,-2.13853693599526,0.540489234592754,-3.95666888278838,0.0000760021627610117,0.0465567534170312,"NAV2"
"SAMD5",80.2406974327573,-2.29178629129808,0.50876255082157,-4.50462851009221,0.000006648915209106,0.0067083643333286,"SAMD5"
"INPP4B",105.969143781227,-2.87183732176659,0.617025999251472,-4.65432141473857,0.00000325049421224829,0.00371683178189885,"INPP4B"
"CDH18",46.5282081488223,-3.46393690237214,0.854484534629676,-4.05383217833588,0.0000503853686632961,0.0345683937325142,"CDH18"
"LHX5-AS1",94.3862921948065,-4.05857208460698,0.675464241799444,-6.00856689881155,0.00000000187170382775181,0.00000642069281071981,"LHX5-AS1"
"ARHGAP25",30.404773372817,-4.09065670875929,0.946520620679666,-4.32178298009178,0.0000154773384337226,0.0132733654407605,"ARHGAP25"
"ADAMTSL1",101.774416102221,-4.31278704118476,0.71509230825553,-6.03109135896849,0.00000000162856082807608,0.00000642069281071981,"ADAMTSL1"
"CCNO",52.3787317639549,-5.42796403492973,1.23952909614249,-4.37905334519533,0.0000119195954577636,0.0107602579627137,"CCNO"
"CDC20B",57.9810025728998,-5.62804262441777,1.0934549713054,-5.14702733272942,0.000000264646777971921,0.000504357948419377,"CDC20B"
"CHCHD2",662.281969299867,-8.59216190972355,0.979187973704739,-8.77478292264484,0.00000000000000000171233851703999,0.0000000000000293700302442699,"CHCHD2"
