"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"NECTIN3-AS1",2282.41011420488,5.25577454019046,1.63919779036207,3.20630894642039,0.00134449552860254,0.0423691025872257,"NECTIN3-AS1"
"AC012645.1",118.52970040287,3.42691710602298,0.887756907565549,3.86019762484354,0.000113295358931408,0.0118704362795791,"AC012645.1"
"LRRC4C",718.613233551954,1.99000514072919,0.430438460374449,4.6232047642723,0.00000377856395432369,0.00133462027670008,"LRRC4C"
"AC004852.2",212.514919756215,1.9435550711443,0.540361525183373,3.5967680535448,0.000322195541205823,0.0208492488763493,"AC004852.2"
"CHSY3",184.049289217793,1.44302924086728,0.27248566413355,5.29579875497605,0.000000118497284437293,0.000143500211453562,"CHSY3"
"SGCD",657.20042624602,1.16321092821478,0.323874730542012,3.59154580003237,0.00032872239146694,0.021110452367161,"SGCD"
"AP001347.1",956.521255523065,0.87784268812292,0.215558455436537,4.07241129254318,0.0000465289231356358,0.00730417928557008,"AP001347.1"
"TMBIM6",1657.21179640543,-0.499182753581975,0.15915338522095,-3.13648844408159,0.00170984174942371,0.0479944652644529,"TMBIM6"
"IGF2BP2",2820.41138400913,-0.515590870699081,0.160295111445547,-3.21651026066524,0.00129759893473603,0.0411975511975931,"IGF2BP2"
"TBCA",1684.25450103702,-0.531114415697933,0.161903096150237,-3.28044631836496,0.0010364298607535,0.0362475236920709,"TBCA"
"MORF4L1",2076.01731976632,-0.546849609671047,0.157046994368964,-3.48207625283351,0.000497541990552619,0.0249989273147509,"MORF4L1"
"VIM",22316.8510479525,-0.555971898882364,0.159488893653754,-3.4859599696601,0.000490374379111304,0.0249989273147509,"VIM"
"GPX4",2402.58430624439,-0.564919697947041,0.179905284741635,-3.14009507146124,0.00168893014510002,0.0479944652644529,"GPX4"
"MBD5",1843.79810928075,-0.568477767183018,0.180549189343675,-3.14860326567803,0.00164052749294804,0.047625861499043,"MBD5"
"KIF5B",1409.44742877766,-0.589441746153744,0.179923677249484,-3.27606546934019,0.00105264156417213,0.0363539780963514,"KIF5B"
"SKP1",2103.83353548104,-0.591612940113943,0.165568203033873,-3.57322800678648,0.000352607478579218,0.0217687279084344,"SKP1"
"PRRC2B",1113.81890959963,-0.598704789646379,0.189812582568683,-3.15418915618905,0.00160944731144435,0.047045809859013,"PRRC2B"
"AGO3",1127.7803030839,-0.602707606463323,0.192499247776122,-3.13096083972378,0.00174235392339794,0.0483848268960365,"AGO3"
"SARAF",1188.77397226487,-0.614225129714811,0.183965008530308,-3.33881499868829,0.000841365776666513,0.0331726471802647,"SARAF"
"SPCS1",977.977198684282,-0.618982928937229,0.193596553424703,-3.19728279242314,0.0013872884756157,0.0429198701014391,"SPCS1"
"BRK1",1336.13021147364,-0.620983437048571,0.195145390162679,-3.18215785948569,0.00146182118362824,0.0445750294014985,"BRK1"
"TTYH1",3898.5995205735,-0.634236780874796,0.152160686701097,-4.16820398636007,0.0000307009128872535,0.00565764431620103,"TTYH1"
"N4BP2L2",1270.57673641736,-0.637917572879006,0.181284344682095,-3.51887844478615,0.000433375222983192,0.0249989273147509,"N4BP2L2"
"C1orf61",3703.97937720596,-0.642999941717369,0.203732552830601,-3.15609819237876,0.00159895022239383,0.047045809859013,"C1orf61"
"SUB1",1498.02157636441,-0.643805328506821,0.186410681623387,-3.45369333398784,0.00055296578683817,0.0262860990572051,"SUB1"
"SLC4A7",873.801560257341,-0.656809619223835,0.208209042107287,-3.15456818097934,0.00160735816011456,0.047045809859013,"SLC4A7"
"GOLM1",1170.0407742743,-0.659754857555012,0.188846628302926,-3.49360146635347,0.00047655184896529,0.0249989273147509,"GOLM1"
"PCBP2",1317.96357188222,-0.661488744417268,0.199935496962152,-3.30851076706249,0.000937935782248432,0.0350033330408564,"PCBP2"
"SNHG29",4860.84642583044,-0.664856689555123,0.165540480748979,-4.0162785957067,0.0000591243572967323,0.00808382543232903,"SNHG29"
"PFDN5",2365.4504601111,-0.671512800682063,0.157311486928889,-4.26868255962523,0.0000196630862256914,0.00438642057724174,"PFDN5"
"SMG6",710.24024497014,-0.671869239804788,0.207591069917629,-3.23650357441378,0.00121003710993528,0.0403837975626824,"SMG6"
"C4orf3",773.310601154642,-0.676352232569881,0.19834023677876,-3.41006062891981,0.000649484395511738,0.0279143203311322,"C4orf3"
"CDC42SE2",645.673990539134,-0.676802584068104,0.217244394105354,-3.11539723202195,0.00183697346090512,0.0499103334233741,"CDC42SE2"
