"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"AP002989.1",37.0564745316086,4.63162161900809,1.10291277963146,4.19944505544288,0.0000267569945966859,0.0134890928760093,"AP002989.1"
"KCNIP4",55.3788946710803,3.7473469486374,0.769608217645815,4.86916181859429,0.00000112072605646692,0.00151716414901585,"KCNIP4"
"KCNH7",65.0049140820328,3.63927436279835,0.850188504953364,4.28054995050536,0.0000186432035546221,0.0117483254400044,"KCNH7"
"RBFOX1",86.5881774974103,3.53493822610028,0.813962724909412,4.34287482451201,0.0000140630269162369,0.0107747137011562,"RBFOX1"
"SNTG1",68.6823666299219,3.32585276913767,0.863253189003059,3.85269676556722,0.00011682403075381,0.0384097095895787,"SNTG1"
"DLX6-AS1",47.882120148483,3.20588115484506,0.821547109946217,3.9022487159074,0.0000953031556466479,0.0347456446298858,"DLX6-AS1"
"BAG3",58.5179296548266,-3.01758945343247,0.793626752376165,-3.80227788994969,0.000143371782910233,0.0433180991385082,"BAG3"
"HSPA1B",272.638322222512,-3.23432311661865,0.666181984795095,-4.85501438111309,0.00000120378007062881,0.00151716414901585,"HSPA1B"
"DNAJB1",228.389547289492,-3.46078238473659,0.801243291204741,-4.31926535014476,0.000015654946154467,0.0107747137011562,"DNAJB1"
"AL008638.1",60.1951497746154,-3.64882570783428,0.891506748674638,-4.09287502675535,0.0000426057375993819,0.0189520345721486,"AL008638.1"
"HSPA1A",402.304721083471,-3.64923162303355,0.878762973862031,-4.15269160351138,0.0000328587429460244,0.0155298633848648,"HSPA1A"
"LINC00324",48.6056074198996,-3.92585905332632,1.01441164314141,-3.8700847726558,0.000108797514925286,0.0373966730847735,"LINC00324"
"AC108134.2",83.702331564783,-4.23355812763102,0.954883498895373,-4.43358601602026,0.00000926785069876117,0.0100119267120046,"AC108134.2"
"HSPA6",160.60131762334,-4.41439820583593,0.804487833499204,-5.48721561970059,0.0000000408318612992943,0.000102923511715088,"HSPA6"
"AL021918.5",73.1207089015854,-4.51691661104933,1.06985278869725,-4.2219982587974,0.0000242145980980382,0.0130793422012403,"AL021918.5"
"CRYAB",53.6022178238636,-4.58302270798834,0.92580107053589,-4.95033204631693,0.000000740869696313086,0.00140061416087989,"CRYAB"
"AC007389.1",220.301088254829,-5.21514097823434,0.802302503741202,-6.50021775317378,0.0000000000802038330317772,0.00000030325069269315,"AC007389.1"
"PIPOX",246.974216587492,-6.11579895376339,1.62622493431532,-3.76073372429151,0.000169415696511968,0.0474489443342038,"PIPOX"
"CHCHD2",86.5805115925634,-8.09304480167779,1.12774904309352,-7.17628168362512,0.000000000000716328913652246,0.00000000541687924503829,"CHCHD2"
