"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"LINC02506",78.8279214605411,9.02673626464071,1.47285682074567,6.12872625328963,0.000000000885853896257774,0.0000012595070696993,"LINC02506"
"UNC13C",91.7212604581561,3.52842120656871,0.71483892773768,4.93596678867986,0.000000797546795840551,0.000269988579601451,"UNC13C"
"NECTIN3-AS1",86.5703253817026,3.16132917482925,0.863683128924042,3.66028821098725,0.000251931715044256,0.00707898245948466,"NECTIN3-AS1"
"ONECUT3",99.4513683472239,3.00094071851412,0.462850622304312,6.48360523655315,0.0000000000895563598410249,0.000000159164040527461,"ONECUT3"
"ZNF385B",60.0879650532983,2.7196258289823,0.686671223818519,3.96059385430294,0.0000747636004490733,0.00407273402188576,"ZNF385B"
"PLCE1",71.2341470859404,2.53816828979514,0.496150702725107,5.11572043706529,0.000000312545691687906,0.000148403128012506,"PLCE1"
"HS6ST3",619.952957012883,1.82396150369797,0.532044346900679,3.42821329523207,0.00060756790276265,0.0110183679100502,"HS6ST3"
"SUSD4",130.432240849626,1.7551714625068,0.606929956645677,2.89188471138765,0.00382938439158632,0.0302478818219857,"SUSD4"
"SLC35F4",56.7935947040021,1.69113261355498,0.527440975754597,3.20629737030863,0.00134454962229556,0.0175383546144938,"SLC35F4"
"AC114316.1",701.901525141357,1.67338739889108,0.565426791490331,2.95951204307179,0.00308126658340815,0.0274839700645528,"AC114316.1"
"ONECUT1",119.168006175421,1.61389625638237,0.347598105248054,4.64299497613965,0.00000343394703774573,0.000726686037058236,"ONECUT1"
"RYR2",220.669892793045,1.52346712521563,0.469584685924492,3.24428621903695,0.00117745365751863,0.0163486680689452,"RYR2"
"CHSY3",86.6137198775839,1.33835667717413,0.403394730225144,3.31773465763213,0.00090750650661123,0.0140861654050202,"CHSY3"
"FLRT2",122.603206400018,1.24587444124589,0.368917568967402,3.37710791256998,0.000732523054026607,0.0121955653186772,"FLRT2"
"BRINP1",242.869056282806,1.19732306272335,0.351202803908593,3.40920701485906,0.00065152019119662,0.0114644976218237,"BRINP1"
"PRICKLE2",114.347073551217,1.13949706486688,0.418958869592898,2.71983038806204,0.00653154093534863,0.0400282107839598,"PRICKLE2"
"SCN1A-AS1",82.5972384131542,1.12748966284598,0.324106871334883,3.47875889888492,0.000503741580998235,0.0102025609667135,"SCN1A-AS1"
"SDK2",73.9713212992196,1.10583329015336,0.412483778845188,2.68091340039919,0.00734215137679585,0.0429238109684554,"SDK2"
"ST6GALNAC5",568.973421472914,1.08260486079635,0.378868155634854,2.857471246118,0.00427031322641206,0.0322610592205774,"ST6GALNAC5"
"EFNA5",480.490456030317,1.01197185486322,0.285635453153469,3.5428790218121,0.000395784222051087,0.00909596540450046,"EFNA5"
"MDGA1",179.426919118379,1.00090007015841,0.355274854742027,2.81725558901485,0.0048435963960559,0.0344916217541432,"MDGA1"
"ABLIM2",79.5112913524069,0.968579973528735,0.324478858487743,2.98503260903613,0.00283548094653808,0.026028227042679,"ABLIM2"
"NTNG1",126.038485546676,0.965641230697496,0.347073372170291,2.78223945749346,0.00539851920026197,0.0361833291993461,"NTNG1"
"MYRIP",72.5024614558042,0.961677765868374,0.344180288185457,2.79411052544121,0.00520426881279418,0.0357552407714432,"MYRIP"
"AP001442.1",78.2115568689142,0.856147585658728,0.321513555115515,2.66286622146032,0.00774782097677866,0.0440368848291639,"AP001442.1"
"MTUS2",107.506587075892,0.829813020022249,0.276868539418072,2.99713727593018,0.00272527961872288,0.0255625677653209,"MTUS2"
"LRP1B",1376.25670962624,0.822974266382872,0.311154875231803,2.64490236821704,0.00817144903058502,0.0457544036609429,"LRP1B"
"MCF2L2",105.864014603106,0.822282232066458,0.298702135504275,2.75285019532339,0.00590789230113678,0.0379054209104525,"MCF2L2"
"SCN9A",141.835630645104,0.783407967008276,0.280717909209621,2.79073027158834,0.00525892771698962,0.0359478049423839,"SCN9A"
"KMT2E",686.052909770396,-0.443103265291337,0.167977983114496,-2.63786513610723,0.00834297541895751,0.0462238543095078,"KMT2E"
"EDIL3",564.361059025407,-0.485558632507667,0.18690853761397,-2.59784084079942,0.00938119653694735,0.0491096658182317,"EDIL3"
"ATCAY",413.767719756782,-0.516775160497746,0.197667595338516,-2.61436458319201,0.00893935892495283,0.0480346958408841,"ATCAY"
"ZMYM2",421.169133566575,-0.520272121504904,0.197824055455775,-2.62997399535778,0.00853913997887712,0.0468762518222683,"ZMYM2"
"AGAP1",980.411354899811,-0.523114985471803,0.192590834494137,-2.71619875808643,0.00660362603807825,0.0403655868484078,"AGAP1"
"SRRM2",552.100601464348,-0.527168599099536,0.203001315418784,-2.59687282327214,0.00940767489730315,0.0491397214143484,"SRRM2"
"SRSF11",457.002976036132,-0.529388600678243,0.1904062079705,-2.78031166273876,0.00543067506442568,0.0362163874606024,"SRSF11"
"USP34",416.933363328826,-0.536363634804361,0.20186559774408,-2.65703339646981,0.00788316332611586,0.0446226865869144,"USP34"
"CLASP2",1569.20454873156,-0.551318047392412,0.206078551304521,-2.67528107074925,0.00746666222320438,0.0432956784215008,"CLASP2"
"RB1CC1",327.571269473462,-0.55586001093895,0.209213905334196,-2.65689802047826,0.00788632952346618,0.0446226865869144,"RB1CC1"
"ANKRD17",464.789331120403,-0.556538763228979,0.212603904097528,-2.61772598011031,0.00885178556367131,0.0477288015558575,"ANKRD17"
"PFDN5",770.034727888811,-0.556848811057979,0.190887821056807,-2.91715211570394,0.00353243452678789,0.0291833789814371,"PFDN5"
"TERF2IP",933.289595787553,-0.559887234255546,0.182973972871801,-3.05992828088084,0.00221389999645445,0.0230193969525193,"TERF2IP"
"SARAF",914.228069178052,-0.559994508943809,0.21533368725807,-2.60058942042206,0.00930637615244285,0.048957461223459,"SARAF"
"RPLP0",1452.65706164087,-0.561976330289078,0.191438406726705,-2.9355464240326,0.00332960784818365,0.0285430773137783,"RPLP0"
"FAF1",492.04768911181,-0.567541500668796,0.217838661665003,-2.60532954219841,0.00917859320145931,0.0486219218101149,"FAF1"
"RPS27A",2452.67578430032,-0.571003167138663,0.197030341163253,-2.8980468884513,0.00375494447975879,0.0299403188437731,"RPS27A"
"CHD2",385.753294157396,-0.571595199380946,0.205785921174432,-2.77762052971759,0.00547585269092585,0.0362456580817429,"CHD2"
"RBM39",404.518678085913,-0.571715213445617,0.196822727426838,-2.90472152743708,0.00367579979314557,0.0296272797386302,"RBM39"
"RAB2A",627.764998404569,-0.576149110444159,0.216304078006176,-2.66360725028823,0.00773077637811373,0.0440368848291639,"RAB2A"
"SKP1",872.853904544169,-0.577760491612543,0.198333586834565,-2.91307438560301,0.00357889337679864,0.0291833789814371,"SKP1"
"C11orf58",446.694485807736,-0.579173057076574,0.213437313285333,-2.71355110388927,0.00665663001150107,0.0405833561933327,"C11orf58"
"CCSER2",362.010894694372,-0.580069244934295,0.204237789022606,-2.84016610104455,0.00450900490124466,0.0334005864955,"CCSER2"
"PTK2",618.391173444383,-0.580775180440203,0.197106509336768,-2.94650431583623,0.00321387934084146,0.0281547576091631,"PTK2"
"ZC2HC1A",416.389713561364,-0.580854219128507,0.218828525863428,-2.65438071584424,0.00794541257084884,0.0447419846614027,"ZC2HC1A"
"PLEKHA5",759.547734796192,-0.582617528562841,0.224171215752158,-2.59898456011845,0.00934999786677476,0.0490729138600443,"PLEKHA5"
"COX7A2L",426.012023149249,-0.586020827803876,0.200704772591367,-2.91981511070994,0.00350239108845436,0.0290870306633436,"COX7A2L"
"DOCK3",838.018847979064,-0.587969755648023,0.217511259819314,-2.70316928023151,0.00686817579889403,0.0413922522049694,"DOCK3"
"ZFR",341.895386142993,-0.588553502060361,0.201010989302428,-2.92796679476495,0.00341186480671454,0.0285888351430136,"ZFR"
"STXBP5L",370.257825454433,-0.588951807025948,0.213600388003673,-2.75726000561301,0.00582879833161102,0.0375762336806661,"STXBP5L"
"GPM6A",1433.89114602048,-0.589850989084499,0.161493627953943,-3.65247221551502,0.000259727705941302,0.0072125166466278,"GPM6A"
"PUM2",428.840575054237,-0.590138700676969,0.220327404744401,-2.67846254242218,0.00739610041257936,0.0431703700912741,"PUM2"
"SLC4A10",547.455837264111,-0.594957013408607,0.21165799384197,-2.81093571099808,0.00493976550413495,0.0349420825561148,"SLC4A10"
"KMT2A",440.869133106748,-0.596145182825933,0.193523203526979,-3.08048426215116,0.00206664276161136,0.0223142298520742,"KMT2A"
"RPL5",2587.60932904945,-0.599353093032713,0.178698891205547,-3.3539832787396,0.000796571763257043,0.0128784892040641,"RPL5"
"EDF1",540.213239375733,-0.601583793458808,0.228044682295423,-2.63800842625867,0.0083394509667315,0.0462238543095078,"EDF1"
"ERH",487.269445896601,-0.602351374458046,0.210960670214882,-2.85527806602292,0.00429991634939513,0.0323472014051323,"ERH"
"GABARAP",865.957295307419,-0.602628673300717,0.223330810984232,-2.69836781877475,0.00696804036560151,0.0417671154798154,"GABARAP"
"MGST3",461.462153233333,-0.602868512199794,0.22682075764102,-2.65790714425674,0.00786275533629699,0.0446226865869144,"MGST3"
"PCNX1",273.855175248777,-0.604397735587045,0.222755420158015,-2.71327959229143,0.00666208702737646,0.0405833561933327,"PCNX1"
"PPM1G",270.085511167821,-0.604708073648145,0.232072833083448,-2.60568230074007,0.00916914653495042,0.0486219218101149,"PPM1G"
"EPB41",497.565157991956,-0.607478322006791,0.234428001994778,-2.59132150100534,0.00956081257720805,0.049722505629093,"EPB41"
"SRSF9",340.047113509325,-0.608893344504597,0.208893266610646,-2.91485385998346,0.00355855134069434,0.0291833789814371,"SRSF9"
"FAU",1553.03764067637,-0.609062730076659,0.189283959687023,-3.21771972164854,0.00129214015728262,0.0172665871769214,"FAU"
"ST13",377.870475266747,-0.610807216959381,0.209943200821033,-2.90939270512535,0.00362131664838738,0.0293880594216734,"ST13"
"MACO1",359.101722017054,-0.611472333998604,0.233164605645904,-2.62249209010401,0.00872892940162865,0.0473359724342287,"MACO1"
"RPS25",1394.24807978433,-0.612031802057687,0.21088366147653,-2.90222484649813,0.00370522494482159,0.0297968825030958,"RPS25"
"RABGEF1",367.817229235454,-0.613730447088905,0.225314889810608,-2.72387877962608,0.00645201829444035,0.0396776799785264,"RABGEF1"
"KPNB1",283.720647124927,-0.6184284437576,0.237284679139565,-2.60627212005481,0.00915337090463009,0.0485969482905268,"KPNB1"
"MARK1",323.078155381925,-0.618628206165449,0.212941919605019,-2.90514994564212,0.00367077199210009,0.029620338356231,"MARK1"
"UPF3A",388.329503824803,-0.619426725685189,0.211382755562647,-2.93035599822905,0.00338573876672734,0.0285453778147238,"UPF3A"
"VAPA",356.547844270553,-0.619444463660206,0.234986381331079,-2.63608665383656,0.00838683109353595,0.0463263265298734,"VAPA"
"LCOR",413.566562169409,-0.620537078327471,0.207207042180279,-2.99476828489052,0.00274653400746279,0.0255899217025596,"LCOR"
"KLC1",600.740833091761,-0.62213530660965,0.237127309107907,-2.62363415226266,0.00869971768987081,0.0473192754837732,"KLC1"
"KMT2C",645.835729773307,-0.622741472814205,0.185537545494171,-3.35641754425263,0.000789592616753125,0.0128784892040641,"KMT2C"
"RAD23B",253.376072513519,-0.623061616356266,0.226706897972937,-2.74831344757161,0.00599027123768794,0.038192680025761,"RAD23B"
"SLC25A3",657.262469217016,-0.623525455314352,0.212451789954341,-2.93490328063772,0.00333651670386127,0.0285430773137783,"SLC25A3"
"PFDN2",451.542970627806,-0.623689406223464,0.236458303672501,-2.6376295377949,0.00834877323581489,0.0462238543095078,"PFDN2"
"BPTF",756.270025307332,-0.623939532292841,0.217957185466465,-2.86267016596634,0.00420087617040919,0.0320133439713423,"BPTF"
"AP2B1",289.385299868276,-0.626319541853814,0.241525422969559,-2.59318267266942,0.00950922476085832,0.0495609082294295,"AP2B1"
"NCOA1",679.181526383517,-0.626565839965668,0.203384248034956,-3.08069993629979,0.00206514652426584,0.0223142298520742,"NCOA1"
"DDX46",277.561100298824,-0.626729104592807,0.224076117258561,-2.79694735994387,0.00515879375498658,0.0356706945523805,"DDX46"
"CASC4",382.118276295952,-0.626902494183488,0.207764554179228,-3.0173698139226,0.00254978536972716,0.0247628745811344,"CASC4"
"CSNK1E",546.479970858059,-0.626992544958752,0.178196535033453,-3.51854509876439,0.000433920055679073,0.00955027144217501,"CSNK1E"
"SLC17A6",330.781705379759,-0.627105476017227,0.234264685208145,-2.67690998948493,0.00743045938907109,0.0431914438241262,"SLC17A6"
"PAFAH1B1",623.709627665956,-0.627238217716914,0.23020574663497,-2.72468531687658,0.00643627991048461,0.0396556855086092,"PAFAH1B1"
"ADAM23",241.809516494139,-0.627545750184611,0.237754958931794,-2.63946440067582,0.00830371438358389,0.0461180512132014,"ADAM23"
"THRAP3",308.091105839809,-0.630274388500817,0.235924547889157,-2.67150830271776,0.00755112044152728,0.0435015520411811,"THRAP3"
"TNKS",482.090552466441,-0.630362036147308,0.219224686825367,-2.87541537988123,0.00403496285168389,0.03138353491534,"TNKS"
"CBX1",332.293652806922,-0.630943821698284,0.215358720968828,-2.92973425389915,0.00339251997645682,0.0285453778147238,"CBX1"
"HDAC8",334.42957796579,-0.631132939564383,0.236230965833866,-2.67167742948755,0.00754731606171812,0.0435015520411811,"HDAC8"
"GAPDH",2866.00378141293,-0.631622783740121,0.208039338815184,-3.03607378939633,0.00239680699912114,0.0240323003621328,"GAPDH"
"MRTFA",342.614072144867,-0.632842445687024,0.222542305464892,-2.84369501953803,0.0044593709851778,0.0331688696335652,"MRTFA"
"ANAPC16",283.395868671042,-0.63561899381086,0.223637066484314,-2.84218982033303,0.00448048060906607,0.0332481593422241,"ANAPC16"
"PPIG",328.032436578263,-0.636152519188874,0.210664540124851,-3.01974180757642,0.002529902529843,0.0246033886246975,"PPIG"
"CTNND1",354.441819524995,-0.638310570736395,0.213118227559975,-2.99510078534584,0.00274354173392578,0.0255899217025596,"CTNND1"
"AP1S1",242.173512801063,-0.638379561202479,0.232767831683609,-2.7425592126931,0.00609624575987378,0.0386383811046612,"AP1S1"
"DHX9",244.89099867012,-0.638769856057277,0.228073801741367,-2.80071560687901,0.00509894330069525,0.0354334192811755,"DHX9"
"NBEA",1131.35400710601,-0.639135992575191,0.185628024307405,-3.44310076541442,0.000575084995809525,0.010764916033329,"NBEA"
"SEZ6L2",396.350310148197,-0.639269475237584,0.23216048096444,-2.75356715571028,0.00589496746976709,0.0378569958164096,"SEZ6L2"
"SF3B6",335.425707978574,-0.640479135922826,0.234183575559735,-2.73494473039786,0.0062390750939394,0.038975030617588,"SF3B6"
"PICALM",330.1967888465,-0.640598989433921,0.213796968644715,-2.99629594140065,0.00273281073310506,0.0255625677653209,"PICALM"
"SERBP1",388.51623424885,-0.641472179843071,0.236454280076484,-2.71288039123496,0.00667011773269578,0.0405974888371013,"SERBP1"
"TTC17",396.030024072561,-0.641952731095616,0.209984683679038,-3.05714073925908,0.0022345932974582,0.0231570317079159,"TTC17"
"PSAP",244.496998357329,-0.642983042396073,0.248229179108403,-2.59027985632293,0.00958979359323059,0.049798278052795,"PSAP"
"EIF3A",264.591150144131,-0.644891189095299,0.244619406452447,-2.63630428365324,0.0083814535003269,0.0463263265298734,"EIF3A"
"UBE2R2",443.638752861073,-0.646072343975282,0.211972170275839,-3.04791116274626,0.00230438040413055,0.0234361091458713,"UBE2R2"
