"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"AL162493.1",60.2608991855841,4.7267341888747,0.599317427486225,7.88686257414622,3.09878327211621e-15,3.55211944330715e-11,"AL162493.1"
"RYR2",200.247502235191,2.41397937851611,0.570736887191973,4.22958360093544,2.34124262606813e-05,0.0133937087769759,"RYR2"
"UNC13C",116.328328877127,2.24112278363333,0.475109023943924,4.71707054736524,2.39264743140793e-06,0.00254201699248296,"UNC13C"
"IQCJ-SCHIP1",1004.400751303,2.22535611549788,0.525803040362731,4.23229982459343,2.31313761264559e-05,0.0133937087769759,"IQCJ-SCHIP1"
"SLIT1",151.112330580681,-1.85519652096898,0.470878834444094,-3.93985965234384,8.15292915488727e-05,0.0367474752272101,"SLIT1"
"NR2F2",628.244067940309,-2.05325500951991,0.499807452002282,-4.10809202882901,3.98941147969563e-05,0.0191414536609654,"NR2F2"
"LINC02649",66.8509048685818,-2.0834247737323,0.531414102508413,-3.92052970347982,8.83545442591726e-05,0.0375481568945981,"LINC02649"
"LINC01833",63.3684758846086,-2.08765742726948,0.50003447390428,-4.17502699557694,2.97950719473427e-05,0.0160149249486785,"LINC01833"
"SOX5",405.27437377794,-2.13057282288043,0.547623691174173,-3.89057825148546,0.000100005619667768,0.0413189885260662,"SOX5"
"NDST3",165.184531754857,-2.2252124295631,0.567556315116237,-3.92069010650928,8.82957489244471e-05,0.0375481568945981,"NDST3"
"KCNJ3",57.7195784141073,-2.29268173883107,0.549494466813632,-4.17234727062077,3.01477678205593e-05,0.0160149249486785,"KCNJ3"
"ESRRG",513.236208082031,-2.37174368836574,0.510878943656539,-4.64247688775416,3.44257157703195e-06,0.00320030060229832,"ESRRG"
"RNF220",293.617039783166,-2.4111227758574,0.567058748318492,-4.25198056287314,2.11888254512077e-05,0.013131774573386,"RNF220"
"NR2F1",905.761501678703,-2.50961197367667,0.507353879693439,-4.94647242116896,7.55704284840332e-07,0.000936695461059592,"NR2F1"
"AC012409.2",140.631937138775,-2.61264947425432,0.539421912148337,-4.84342481351751,1.27620026619619e-06,0.00146016944303093,"AC012409.2"
"TTTY14",510.159738450052,-2.73459805233901,0.551622017504731,-4.95737654691341,7.14514144729148e-07,0.000936695461059592,"TTTY14"
"PROX1",47.9883633200481,-2.74429391325967,0.663776975107198,-4.13436141381144,3.55942962482604e-05,0.0180409480114416,"PROX1"
"NR2F2-AS1",397.735556994353,-2.83505348003041,0.507662891897548,-5.58451981674988,2.34346796633609e-08,3.87297139236479e-05,"NR2F2-AS1"
"ZBTB16",32.0487153899091,-3.0437804381987,0.693240672179188,-4.39065473269282,1.13009863082837e-05,0.00849514909462394,"ZBTB16"
"CHRM2",75.9489037495975,-3.14430613612352,0.675363769692455,-4.65572225995387,3.22846911643713e-06,0.00320030060229832,"CHRM2"
"CNTN5",537.161260166362,-3.491916952437,0.445814552812317,-7.83266703702034,4.77628000982539e-15,3.55211944330715e-11,"CNTN5"
"UNC5C",234.163921422722,-3.62175085606213,0.618729359280473,-5.85352998324485,4.81247445730141e-09,8.94759313473765e-06,"UNC5C"
"KCNMB2",1467.45502127658,-4.10184730516861,0.565852020873213,-7.24897526890283,4.19936548547583e-13,1.04102270384946e-09,"KCNMB2"
"KCNMB2-AS1",790.70115039498,-4.23905827789309,0.566513499150902,-7.48271362332344,7.28034148711246e-14,3.60959330931036e-10,"KCNMB2-AS1"
"AC009264.1",66.6929165695424,-4.37833389095327,0.716306723766262,-6.11237301798937,9.81604081319459e-10,2.08576844364937e-06,"AC009264.1"
"PAUPAR",64.9365626073292,-4.48612116122097,0.617395906116081,-7.26619842596997,3.69745347453844e-13,1.04102270384946e-09,"PAUPAR"
"AC093298.2",104.407146146828,-5.18027078448184,1.20590400640477,-4.29575717218661,1.74098074669203e-05,0.0112588467940423,"AC093298.2"
"CHCHD2",330.165986382259,-8.42596362084053,1.14104900977741,-7.38440115073076,1.53141079307877e-13,5.69455103406339e-10,"CHCHD2"
