"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"UTY",55.5871845245816,7.90222381000907,1.31074792006899,6.02878989088394,1.65191878129542e-09,6.42069281071981e-06,"UTY"
"AL162493.1",50.4671601281371,3.93927706301966,0.461673993781216,8.53259467954016,1.43101350829373e-17,1.2272371847127e-13,"AL162493.1"
"GATD3A",33.1920391449944,3.43059757412259,0.631149490131212,5.4354754741375,5.46505024137093e-08,0.000156227569566657,"GATD3A"
"TNIK",200.093922775142,1.19210656822764,0.281374822641884,4.2367208161509,2.26807859745876e-05,0.0185248019541013,"TNIK"
"MEIS2",1784.20103667796,0.921405708859071,0.203650205637721,4.52445263177482,6.05520121011506e-06,0.00649117569724334,"MEIS2"
"CACHD1",303.111584406752,-0.935987193306462,0.224489831129516,-4.16939684348757,3.05406808330012e-05,0.0238106253476198,"CACHD1"
"PWRN1",357.475923617043,-1.00860352277983,0.247850883393236,-4.06939652169645,4.71350683681307e-05,0.0337338857106858,"PWRN1"
"EIF5A",402.555049542581,-1.11307768473343,0.213508961789434,-5.21325978733936,1.8555075610725e-07,0.000454652366964508,"EIF5A"
"CEMIP2",346.398417986979,-1.23958632424994,0.240646115823145,-5.15107555345264,2.58996816638615e-07,0.000504357948419377,"CEMIP2"
"RGS16",418.664532096242,-1.29681000451601,0.258025163716452,-5.02590517078827,5.01063456715016e-07,0.000859424040957595,"RGS16"
"GRK3",183.042244152462,-1.34833068188743,0.331361338249971,-4.06906457164983,4.7202265453385e-05,0.0337338857106858,"GRK3"
"CDH20",379.34417886174,-1.38681259405387,0.295901354974926,-4.68673958647939,2.77591812723588e-06,0.00340089626559641,"CDH20"
"CCND1",229.57111812358,-1.63133185505,0.403970448751502,-4.03824552041305,5.3852472481235e-05,0.0355260618460824,"CCND1"
"AC109927.1",50.5711790079227,-1.95810879433249,0.494619419164869,-3.95881908081696,7.53212642527837e-05,0.0465567534170312,"AC109927.1"
"NRN1",327.602098723786,-1.95854132054041,0.405269236497594,-4.83269181116843,1.34699226351684e-06,0.00192530094198673,"NRN1"
"SAMD3",116.317892773689,-2.04241785957219,0.418548758639609,-4.87976088188763,1.06214539451784e-06,0.00165617434606999,"SAMD3"
"NAV2",150.337522796054,-2.13853693599526,0.540489234592754,-3.95666888278838,7.60021627610117e-05,0.0465567534170312,"NAV2"
"SAMD5",80.2406974327573,-2.29178629129808,0.50876255082157,-4.50462851009221,6.648915209106e-06,0.0067083643333286,"SAMD5"
"INPP4B",105.969143781227,-2.87183732176659,0.617025999251472,-4.65432141473857,3.25049421224829e-06,0.00371683178189885,"INPP4B"
"CDH18",46.5282081488223,-3.46393690237214,0.854484534629676,-4.05383217833588,5.03853686632961e-05,0.0345683937325142,"CDH18"
"LHX5-AS1",94.3862921948065,-4.05857208460698,0.675464241799444,-6.00856689881155,1.87170382775181e-09,6.42069281071981e-06,"LHX5-AS1"
"ARHGAP25",30.404773372817,-4.09065670875929,0.946520620679666,-4.32178298009178,1.54773384337226e-05,0.0132733654407605,"ARHGAP25"
"ADAMTSL1",101.774416102221,-4.31278704118476,0.71509230825553,-6.03109135896849,1.62856082807608e-09,6.42069281071981e-06,"ADAMTSL1"
"CCNO",52.3787317639549,-5.42796403492973,1.23952909614249,-4.37905334519533,1.19195954577636e-05,0.0107602579627137,"CCNO"
"CDC20B",57.9810025728998,-5.62804262441777,1.0934549713054,-5.14702733272942,2.64646777971921e-07,0.000504357948419377,"CDC20B"
"CHCHD2",662.281969299867,-8.59216190972355,0.979187973704739,-8.77478292264484,1.71233851703999e-18,2.93700302442699e-14,"CHCHD2"
