"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"AL162493.1",62.2610290550683,6.42135054665138,0.805363964047653,7.97322804757555,1.54582549974389e-15,1.08269618002062e-11,"AL162493.1"
"NECTIN3-AS1",223.807092814872,5.92158199862885,1.49589057155537,3.9585662957096,7.54010129029052e-05,0.0211773566279359,"NECTIN3-AS1"
"SCRG1",65.3447090302103,2.71423117087867,0.597859678030259,4.53991341215906,5.62773345269086e-06,0.00342753435675189,"SCRG1"
"LHFPL3",232.275138226456,2.40151758167245,0.461948611131808,5.1986682583341,2.00721384329211e-07,0.000351463143960449,"LHFPL3"
"LEF1",60.8105880478586,-2.1345015898224,0.575275878795563,-3.71039646976219,0.000206934911899511,0.0439203673619448,"LEF1"
"PLXNA2",444.803791636982,-2.13961087569787,0.5133554193641,-4.16789381194852,3.07427081472659e-05,0.0126659957566735,"PLXNA2"
"TENM2",168.336075965691,-2.1443864170504,0.494492751610065,-4.33653761368249,1.44744667310035e-05,0.00676685578972888,"TENM2"
"PARD3B",378.906049984309,-2.2511526196659,0.506528199426026,-4.44427896061226,8.81871205021212e-06,0.00475125070766813,"PARD3B"
"PHLDB2",73.4580850120755,-2.39573820431654,0.589272093874967,-4.06558910428376,4.79112843568602e-05,0.0163692992992902,"PHLDB2"
"TRMT9B",95.3457680491576,-2.72373965788073,0.590159657936601,-4.61525897484055,3.92605438982937e-06,0.00274980849463649,"TRMT9B"
"SORCS2",59.52790527702,-2.73823724978596,0.711654121474861,-3.84770799066142,0.000119228043828297,0.0303662988717596,"SORCS2"
"PRMT8",60.608642793867,-3.07863659203895,0.625889297566744,-4.91881967627134,8.70676316952495e-07,0.000938187219066965,"PRMT8"
"EMX2",76.3746563877362,-3.13644017829561,0.636990502419461,-4.92384135459253,8.48616432277395e-07,0.000938187219066965,"EMX2"
"LINC01088",57.147304221397,-3.17025931276307,0.649081131639589,-4.88422657542817,1.03835620332801e-06,0.000970466561640924,"LINC01088"
"CCND1",87.0408934343683,-3.33224166920651,0.619869563807219,-5.37571428534092,7.62796708183113e-08,0.000178087604803817,"CCND1"
"CSGALNACT1",67.8852963030832,-3.65771278226848,0.664684529198606,-5.50293052055611,3.73529654993659e-08,0.00013081008517878,"CSGALNACT1"
"NEUROD1",74.3366050526219,-4.15867044105294,1.06386964593675,-3.9090037552403,9.26775235260726e-05,0.0249658990298697,"NEUROD1"
"EBF2",152.199495079229,-5.91292697789755,1.21862170431639,-4.8521431687568,1.22134400920763e-06,0.00106928668006128,"EBF2"
"CHCHD2",472.766405736583,-10.566381189203,1.15706705391741,-9.13203876424368,6.7221237731575e-20,9.41635098143902e-16,"CHCHD2"
