"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"UTY",83.8702758813933,7.55118907277111,1.48683081898991,5.07871438789592,3.79997465096913e-07,0.000119071379606672,"UTY"
"ZNF736",45.8779873342757,6.68389953403637,1.41853139980529,4.71184461264222,2.45484537254109e-06,0.000528121510444885,"ZNF736"
"AL162493.1",113.590261144808,6.56091555665682,0.599731556507565,10.939753770609,7.44016995366335e-28,1.07242609712104e-23,"AL162493.1"
"GATD3A",39.8425321524142,4.28613051076585,0.644728592803894,6.64796095381107,2.97181112192394e-11,4.75952061237908e-08,"GATD3A"
"AC114930.1",31.6822899719461,2.94080974624914,0.787035396727345,3.7365660534172,0.000186550460421875,0.0138194367713149,"AC114930.1"
"LHFPL3",354.874555459606,2.91152102871858,0.447540799687651,6.50559911130024,7.73843429520147e-11,1.01401629028213e-07,"LHFPL3"
"EGFR",66.8671483410186,2.78591455955231,0.485210309866223,5.74166398137832,9.37507119940939e-09,6.75661381341434e-06,"EGFR"
"SCRG1",208.502223789047,2.74663940983809,0.476087967944632,5.76918467756261,7.96559737808117e-09,6.04295371619274e-06,"SCRG1"
"PHACTR3",82.7066141328907,2.70986312915062,0.534039054064711,5.07427894743866,3.88968106927549e-07,0.000119289070069227,"PHACTR3"
"ENO4",88.9415620141011,2.55762602059785,0.619748674161023,4.12687614710948,3.67724308216119e-05,0.00401543801411147,"ENO4"
"BACE2",59.0720181514821,2.52824125274363,0.577956418734028,4.37444964843813,1.21739217428668e-05,0.0017641841644323,"BACE2"
"KIRREL3",392.697368022104,2.41951701107539,0.459799880208727,5.26210883303634,1.42412420917626e-07,5.54792604082883e-05,"KIRREL3"
"ENOX1",1576.66886503115,2.37713350871812,0.473575971775368,5.0195399479551,5.17953738120531e-07,0.000149315703625387,"ENOX1"
"GAD1",105.938321903872,2.32873750845779,0.550229909671412,4.2322990217825,2.31314587177229e-05,0.00280182223493494,"GAD1"
"UBE2QL1",102.180625800486,2.24770849901366,0.532530095677971,4.22081027392842,2.43425752424513e-05,0.00292394899620578,"UBE2QL1"
"RYR3",42.1778676151337,2.23470380044936,0.464076471879872,4.81537836080564,1.46921239457884e-06,0.000365124611301025,"RYR3"
"SEZ6",101.90747699676,2.19297914779658,0.616300071282643,3.55829773511556,0.000373266066456259,0.0232911561987036,"SEZ6"
"KCNH7",1065.85423395052,2.18271787431483,0.443683642085139,4.91953650591424,8.67493883654076e-07,0.000227346487981634,"KCNH7"
"SORCS3",83.4626304052157,2.14514024630786,0.454955847230635,4.71505149206359,2.41649629986443e-06,0.000527748146458271,"SORCS3"
"LINC02223",56.6929964532289,2.13432988200321,0.397353802682034,5.37135889375424,7.81455045989546e-08,3.25570956911628e-05,"LINC02223"
"FLRT2",200.30762532434,2.12053282688592,0.465890944991084,4.55156480220174,5.32483915149352e-06,0.000936002823532044,"FLRT2"
"LINC00599",86.8310725666714,2.10847680339972,0.500346253565604,4.21403535726336,2.50847990111269e-05,0.00298820076815193,"LINC00599"
"CHST15",43.6662828757911,2.0413239591086,0.590491768082711,3.45698969815726,0.000546245730910737,0.0297116451522542,"CHST15"
"TNC",118.785963400916,2.03862129756088,0.43149280857883,4.7245776917472,2.30594047146311e-06,0.000511378111000925,"TNC"
"KREMEN1",124.03291880442,2.02245127036928,0.432291126863432,4.67844733488644,2.89055390326659e-06,0.00059520634230978,"KREMEN1"
"CHAF1B",99.8854370319834,2.01667027992046,0.37537440544355,5.37242350750452,7.76853878212949e-08,3.25570956911628e-05,"CHAF1B"
"HSPA12A",47.1109866701121,2.00611833193561,0.518862477700864,3.8663777362066,0.000110463802527565,0.00936603088019017,"HSPA12A"
"ST18",292.666489756681,1.98141619920327,0.526723632248863,3.76177577365108,0.000168711265452576,0.0127319590588138,"ST18"
"FRMPD1",46.8128068438839,1.97670768592708,0.585991164835446,3.37327216611221,0.000742804906603055,0.0374363284048127,"FRMPD1"
"CACNG8",36.3586739247814,1.89132946458003,0.482336424243549,3.92118316079117,8.81152524396811e-05,0.00784008178188619,"CACNG8"
"TIAM1",871.820461364335,1.88249032764733,0.378435668060902,4.97439984262895,6.54500927011747e-07,0.000181422622345141,"TIAM1"
"PID1",378.182296577535,1.86433114941587,0.435026765782012,4.28555504180189,1.82283508118646e-05,0.00234592364823407,"PID1"
"RCAN2",188.075614483502,1.86203874232147,0.573517878921815,3.24669693963509,0.00116752640112471,0.0498642952855266,"RCAN2"
"SERINC5",272.095708567586,1.85908136226651,0.525679672131084,3.53652891832371,0.000405422113062328,0.0242479433098771,"SERINC5"
"RBFOX1",478.195975584681,1.84918526399211,0.403000994394246,4.58853772004121,4.46361661492809e-06,0.000814412277057892,"RBFOX1"
"SRRM4",539.356207939265,1.84355595519806,0.481248310387646,3.83077907060717,0.000127738163026385,0.0105212450392132,"SRRM4"
"ELAVL4",895.507492183944,1.82248601804917,0.358708706776011,5.08068520117407,3.76075885593292e-07,0.000119071379606672,"ELAVL4"
"NEXN",51.2647517914257,1.79818257370188,0.549223846109852,3.27404315460516,0.00106020418631473,0.0468766354034987,"NEXN"
"LHFPL4",54.8630800151037,1.7885733578299,0.465509971217563,3.84218055126039,0.000121946075369476,0.0101019007492852,"LHFPL4"
"PLCL1",166.240029309304,1.73357441626048,0.533297529550311,3.2506702547868,0.00115133308696963,0.04973821175533,"PLCL1"
"DCLK1",1786.07020303559,1.72964947032128,0.391208519789538,4.42129806184127,9.81097281119202e-06,0.00153712350109263,"DCLK1"
"STMN2",2426.97270456771,1.72684304893547,0.379015712235302,4.55612522961425,5.21058784735189e-06,0.000927227323848521,"STMN2"
"BRINP2",68.1133308668872,1.72221490794808,0.518862423482935,3.31921301293603,0.000902715403262708,0.0425167203252515,"BRINP2"
"SYNPR",103.600859537059,1.71852085228528,0.446708999457039,3.84707013821994,0.000119538756881382,0.0100176258237688,"SYNPR"
"DSCAML1",272.901463737784,1.69682984881471,0.245200952658258,6.92016009896839,4.51133506628459e-12,8.12829795567826e-09,"DSCAML1"
"MTSS1",589.740248645063,1.69076362727977,0.483159303672146,3.49939163838819,0.000466321102551424,0.0266728268737152,"MTSS1"
"XKR4",397.06415102568,1.68660857065555,0.470691035728156,3.58326044609364,0.000339331964001151,0.0215908416516196,"XKR4"
"UNC79",375.573469465974,1.68313494654194,0.410563355163556,4.09957422008943,4.13910918489092e-05,0.0043857558355295,"UNC79"
"FAM189A2",61.340046309479,1.66758146331526,0.422887410904828,3.94332254948718,8.03604576907597e-05,0.00742510023817058,"FAM189A2"
"ARHGEF2",192.106161771249,1.64473119804718,0.31855891185354,5.16303621354456,2.42976110623762e-07,8.54209185007536e-05,"ARHGEF2"
"RARB",99.0810622230909,1.63002997623396,0.458581092493414,3.55450759509317,0.000378687573903974,0.0235275978028098,"RARB"
"INA",291.497088439003,1.62561869285501,0.328006546261786,4.95605563785786,7.19386239033163e-07,0.000195645910366491,"INA"
"DLL3",485.298479415436,1.62510645763268,0.477292870314054,3.40484125933701,0.000662025249411492,0.0344692833073079,"DLL3"
"RFTN2",238.913791565575,1.61944528425069,0.35411603603133,4.57320516291843,4.80319399710168e-06,0.000865415478427795,"RFTN2"
"SCG3",223.073513347594,1.61883945504088,0.436696703486785,3.70701093485554,0.000209719890970199,0.0148911453617953,"SCG3"
"RUNX1T1",376.647579561318,1.61799333341749,0.287190268053652,5.63387243022882,1.76207386424461e-08,1.01594130716887e-05,"RUNX1T1"
"GABRB3",524.038552441968,1.61259771386416,0.320498116205126,5.03153570123345,4.86566477003664e-07,0.000146111858323559,"GABRB3"
"DOCK9",31.3988914308298,1.58103587302851,0.474285753927422,3.33350909222218,0.000857578686689525,0.0413416026419492,"DOCK9"
"IGSF9B",37.7001849230864,1.57511847084426,0.437614194090883,3.59933131080556,0.000319036510454801,0.0206214899627601,"IGSF9B"
"SH3BP4",153.751654145039,1.57463733907683,0.333175154102827,4.72615475579809,2.28811295086933e-06,0.000511378111000925,"SH3BP4"
"LZTS1",136.885541791337,1.57328137596979,0.479610417687132,3.2803319484943,0.00103685014244236,0.0464135340160377,"LZTS1"
"KCNH8",532.175330043686,1.56381096749771,0.222341392097351,7.03337760345139,2.0159282148923e-12,4.15108418420824e-09,"KCNH8"
"ADGRA1",64.5429904158597,1.54426370701539,0.4530450720422,3.4086315077974,0.000652896073261746,0.034221250909072,"ADGRA1"
"SVOP",93.2573073338896,1.54260531277756,0.45165310588873,3.41546486156037,0.000636732440758487,0.0339073739980847,"SVOP"
"RIMKLA",155.035435619713,1.54217849559015,0.40559516949743,3.80226050892334,0.000143381844423378,0.0113564859178333,"RIMKLA"
"PCDH7",468.019945501856,1.54137728033144,0.360815166374262,4.27193040641927,1.93788060451413e-05,0.00242892269856232,"PCDH7"
"RASD1",57.1854775045668,1.53738016232453,0.397357307429587,3.86901192850708,0.000109277296458737,0.00932025414885344,"RASD1"
"RND3",1229.69196486045,1.52711326519909,0.375085632934031,4.07137232437714,4.6736976899993e-05,0.00481190560740356,"RND3"
"KITLG",103.146808358782,1.52232265588243,0.443519849347069,3.43236646144141,0.000598338463222492,0.0321807858540634,"KITLG"
"ACTL6B",71.8344760546252,1.48941469998765,0.365527977170728,4.07469412195495,4.60748662878299e-05,0.00479321433901685,"ACTL6B"
"AFAP1",328.404661972162,1.47646761174542,0.45025818531395,3.27915773639057,0.00104117421960034,0.0464628024808647,"AFAP1"
"TNIK",297.755846069596,1.46834544775701,0.393201652080744,3.73433183707856,0.00018821419986313,0.0138360242115711,"TNIK"
"SLC24A3",156.430033601413,1.46666099569653,0.300225163328473,4.8852034234448,1.03322122511224e-06,0.000261278083136278,"SLC24A3"
"SYT14",512.518855943912,1.46449921171244,0.364436281611834,4.01853296613398,5.85616168231884e-05,0.0058214285854444,"SYT14"
"MICAL1",63.2754520323576,1.46173191310853,0.339011009103138,4.3117535238032,1.61964923723852e-05,0.0021219116175516,"MICAL1"
"SLC25A12",648.890575601078,1.45451529431682,0.357028477475539,4.07394755903322,4.62228939311324e-05,0.00479321433901685,"SLC25A12"
"CD24",1154.74756813058,1.45155603287998,0.369392094432212,3.92958066715302,8.50941268406635e-05,0.00771413046717813,"CD24"
"CRB1",1171.07985679191,1.44659804576139,0.319851569550602,4.52271673324564,6.10509206028761e-06,0.0010476047256784,"CRB1"
