"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"MT2A",51.3191611524901,4.78604492541544,0.961463258073655,4.97787605009945,6.42858002807976e-07,0.00162685931910605,"MT2A"
"LINC01572",114.942393360881,-2.00248370627323,0.476990072941699,-4.19816641869186,2.69084861699622e-05,0.0127680766876471,"LINC01572"
"TTC39C",50.0798037416417,-2.06106103268678,0.606501410931641,-3.39827904030891,0.000678112160712115,0.0495021877319844,"TTC39C"
"MCM4",51.032449357504,-2.09951054528392,0.554118965246462,-3.78891659907381,0.000151305694769416,0.0334940794513358,"MCM4"
"PTPRG-AS1",55.7428251763926,-2.12079059146084,0.605846183188457,-3.5005429600951,0.000464311394240538,0.0471058011351553,"PTPRG-AS1"
"GALNT13",62.8895849257752,-2.1211714800361,0.599235014414058,-3.53979895869438,0.000400431946137126,0.0446767463705747,"GALNT13"
"GINS2",71.34860845547,-2.13410435207717,0.501776025205317,-4.25310147331956,2.10829981217978e-05,0.0106708081160459,"GINS2"
"TYMS",133.449027118426,-2.20001419153339,0.577485788095617,-3.80964213645569,0.000139168081922932,0.0334940794513358,"TYMS"
"KIF27",61.4670283020309,-2.22097491647373,0.647197861327357,-3.43167839263044,0.000599858460796817,0.0495021877319844,"KIF27"
"ATAD2",66.8588408399503,-2.23443490036983,0.583400928122271,-3.83001601927778,0.000128134917202045,0.0334940794513358,"ATAD2"
"LIN7A",63.4518333269208,-2.29950394697499,0.601364252997494,-3.8238121662755,0.000131404036506603,0.0334940794513358,"LIN7A"
"ARL4C",115.167118403486,-2.36450151181261,0.486979006166826,-4.85544855500936,1.20114536111125e-06,0.00227977389538915,"ARL4C"
"CENPK",68.866349341093,-2.39700424410939,0.656020471411711,-3.65385586055144,0.0002583313268617,0.037911883619637,"CENPK"
"RBMS1",107.433317375143,-2.45678830716556,0.685023072819186,-3.58643147165065,0.000335234108975392,0.0432415204141328,"RBMS1"
"NR4A3",134.491178788905,-2.47647436109424,0.617054624648544,-4.01337946783036,5.98555729169285e-05,0.0202465633224564,"NR4A3"
"MGMT",70.9417750918791,-2.51526879238585,0.543271171595602,-4.62985875911368,3.65915237453006e-06,0.00555605696548645,"MGMT"
"LRP2",62.7596327656629,-2.55941757571549,0.750304766142999,-3.41117062186927,0.0006468460060898,0.0495021877319844,"LRP2"
"IQCJ-SCHIP1",135.827656994597,-2.66185841068998,0.768210418228841,-3.46501212106322,0.000530207581818168,0.0490395536700002,"IQCJ-SCHIP1"
"CHRM3",61.5917005597051,-2.6970748635801,0.652778056711876,-4.13168738723479,3.60109952182247e-05,0.0143892355629875,"CHRM3"
"SNTG1",583.089718645091,-2.82331544728468,0.748116932049098,-3.77389593302159,0.000160717824546364,0.0334940794513358,"SNTG1"
"TAFA1",76.1464380506068,-3.04326986476608,0.772128621071477,-3.94140274264534,8.10064802339657e-05,0.0246000479174507,"TAFA1"
"DACH2",72.0636525625312,-3.11453951522208,0.777852718055205,-4.00402215345995,6.22745291361037e-05,0.0202465633224564,"DACH2"
"LINC01456",51.1354465548082,-3.1206319043562,0.780637859254746,-3.99754107152244,6.4003888269093e-05,0.0202465633224564,"LINC01456"
"SNTG2",84.5280910325006,-3.26846670157331,0.715209742533451,-4.56994152511903,4.87860318171644e-06,0.00617305922593186,"SNTG2"
"CACNA1A",55.2186179926113,-3.2689513796591,0.882813128688046,-3.7028803417515,0.000213165438711226,0.0375367566311573,"CACNA1A"
"DIAPH3",54.6553072264095,-3.47108740929723,0.802974348755026,-4.3227874149143,1.54070174458156e-05,0.0106708081160459,"DIAPH3"
"CSMD3",145.616240883518,-3.50317239291406,0.990681650238496,-3.53612322593308,0.000406045244938047,0.0446767463705747,"CSMD3"
"HIST1H4C",226.463970080064,-3.97639869707437,0.908049049534886,-4.37905716559158,1.19193865253359e-05,0.0106708081160459,"HIST1H4C"
"CACNA1B",53.7490912076735,-4.81829030827836,1.11682785541266,-4.31426408727782,1.60135431630885e-05,0.0106708081160459,"CACNA1B"
"FSTL5",261.151025391032,-4.87785563526685,1.14536276686356,-4.25878662759773,2.05539546341574e-05,0.0106708081160459,"FSTL5"
"CHCHD2",381.81129050334,-7.06952070627507,1.09828453709268,-6.43687538840266,1.21957976052491e-10,9.25904954190512e-07,"CHCHD2"
