"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"UTY",304.950471550701,9.26591644231133,2.31457936372088,4.00328309650856,6.24694750354996e-05,0.0123024124857955,"UTY"
"ZNF736",83.8886858123208,8.13919384311526,1.53392230300917,5.30613175592286,1.11976033663163e-07,7.51400658484884e-05,"ZNF736"
"AL162493.1",251.644490319502,7.21427607552052,0.455645726332364,15.8330818409963,1.83984623130858e-56,3.33343340188489e-52,"AL162493.1"
"LINC02511",53.7386706845372,5.58391110975577,1.07971029911949,5.17167532282453,2.32004448295689e-07,0.000131358018569416,"LINC02511"
"NPY",349.055935063757,4.87267806824152,0.669985213284974,7.27281434220095,3.52074061185207e-13,1.27577556811071e-09,"NPY"
"BCAN",142.728023682366,3.68543138567731,0.684140096849128,5.38695422567821,7.16616753627175e-08,4.99371628546813e-05,"BCAN"
"RBM20",68.1306482487589,3.65765377169249,0.890606112952693,4.10692641617516,4.00958893357124e-05,0.00896860892573379,"RBM20"
"IL33",148.834969576466,3.64355405717887,0.78281867599196,4.65440359168984,3.24919819793633e-06,0.00136150260140485,"IL33"
"EGFR",326.537720340329,3.5077814628454,0.49051562629413,7.1512124686972,8.60147336144073e-13,2.59735823937638e-09,"EGFR"
"ALK",401.736827593787,3.41123268542233,0.68464952169574,4.98245098743864,6.27838964331741e-07,0.00031597739877118,"ALK"
"GATD3A",196.015049196911,3.36125756817678,0.507177343211442,6.62738115802518,3.41694526380483e-11,5.62801948087418e-08,"GATD3A"
"SNTG1",2472.66097825759,3.22041684434941,0.478693075384417,6.7275191765898,1.72580095905402e-11,3.12680617761407e-08,"SNTG1"
"LINC02223",179.049018610725,3.12691326228078,0.444680429599314,7.03182117795994,2.0385496836355e-12,5.27634902401544e-09,"LINC02223"
"SORCS3",255.23985424491,3.05604707546682,0.536359245961459,5.69776152546538,1.2139068565634e-08,1.09967822136078e-05,"SORCS3"
"TNC",1231.26501996402,2.96813455383092,0.529411561755199,5.60647852870918,2.06484577285663e-08,1.62655981359202e-05,"TNC"
"LINC01563",95.3609078428526,2.91582845146117,0.535436900385618,5.44569948272376,5.16021951255241e-08,3.73971428513698e-05,"LINC01563"
"SMOC1",270.057288910312,2.77648187047321,0.710154988969268,3.90968438383154,9.24167909041703e-05,0.0168235565063115,"SMOC1"
"DEC1",359.658443139174,2.76943541858925,0.595616935871681,4.64969219610286,3.32430774383388e-06,0.00136150260140485,"DEC1"
"LHFPL3",290.84681220762,2.74855138362674,0.751341917284298,3.6581898605648,0.000254002862047965,0.0340890655895188,"LHFPL3"
"SYNDIG1",110.341626054204,2.68323457295131,0.622791596715387,4.30839880804868,1.64440680276834e-05,0.00438137683125835,"SYNDIG1"
"SHISA9",353.851639779501,2.61870257885655,0.439506538375784,5.95827900202368,2.54908060843733e-09,3.24856392418923e-06,"SHISA9"
"U91319.1",203.518294024811,2.60954710761958,0.625272366024842,4.17345663971964,3.00012779683921e-05,0.00696875838758113,"U91319.1"
"FLRT2",973.920781574914,2.57413459017972,0.67737238978939,3.80017643024995,0.000144593105837825,0.0233905168890153,"FLRT2"
"UNC13C",749.603861381133,2.55557398324991,0.49249839544103,5.18899961280362,2.11426836251772e-07,0.000123568755458374,"UNC13C"
"SH3RF3",262.893086748401,2.51773512267253,0.364210636343445,6.91285446232366,4.74997208164131e-12,1.07574992718972e-08,"SH3RF3"
"KCNH7",3443.42019721328,2.4626472840949,0.546253313213392,4.50825143669723,6.5364086749246e-06,0.00219515371750441,"KCNH7"
"GRB14",161.231519711847,2.45064599133884,0.685622218640947,3.57433864409551,0.000351114258514127,0.0441770009427706,"GRB14"
"SCRG1",538.543746616809,2.43078110872951,0.428270449319731,5.67580862184301,1.38035033529043e-08,1.19091368451391e-05,"SCRG1"
"AK5",247.39059874813,2.37862047846575,0.291828326246972,8.150752564207,3.61666450200841e-16,2.18422424824628e-12,"AK5"
"GRIK3",142.94910918493,2.3537068604429,0.657516430988105,3.57969284038391,0.000343998315145273,0.0438912779845216,"GRIK3"
"TNIK",1099.56081725293,2.35359231419823,0.526410310631055,4.47102244516595,7.78465269294915e-06,0.00247442697352373,"TNIK"
"NEXN",276.749478007997,2.17381153171942,0.549395732589644,3.95673173774556,7.59821763006715e-05,0.0144910007391112,"NEXN"
"ATP1A2",363.037220867575,2.13551361920757,0.463709933585425,4.60527899994655,4.11913229602996e-06,0.00152307018243818,"ATP1A2"
"DIPK1C",189.70625937448,2.1047547570076,0.461742728819159,4.55828457199577,5.15731277616093e-06,0.00183216064467615,"DIPK1C"
"AC004852.2",516.974760997236,2.0594645897138,0.556514928436644,3.70064572301632,0.000215051541003901,0.0301675959448022,"AC004852.2"
"NIM1K",473.063572985065,2.00469711082657,0.425069643007709,4.71616156035451,2.40335618995557e-06,0.00103676208213369,"NIM1K"
"DNAJC15",132.414748821382,-2.00332453522836,0.496230927070079,-4.03708117721862,5.41203459016265e-05,0.0112707175522491,"DNAJC15"
"AC132192.1",74.328287145317,-2.00390641228082,0.47368914316902,-4.23042503966741,2.33250162903933e-05,0.0056347019353246,"AC132192.1"
"ZIC2",372.722674729523,-2.12834267064705,0.502392493263582,-4.23641415663114,2.27117693268169e-05,0.00556070049544956,"ZIC2"
"WDR49",84.2085139658976,-2.36042826544675,0.612318067259883,-3.85490546769204,0.000115774356073556,0.0198845506066595,"WDR49"
"AL049637.2",121.958163360802,-2.64808639325678,0.480896566658075,-5.50656123760519,3.65910717229481e-08,2.76232098948489e-05,"AL049637.2"
"WNT7B",90.5637554456161,-2.68987124736598,0.724388846812929,-3.71329743576329,0.000204576217390438,0.0294167611641266,"WNT7B"
"AL137139.2",141.535814235963,-2.78010595279012,0.686781530651546,-4.04802084609445,5.16525470078576e-05,0.0108818703103298,"AL137139.2"
"AL353622.1",60.3105607999915,-2.81166145678895,0.487908212279032,-5.76268524699678,8.27860978021439e-09,7.89430799989075e-06,"AL353622.1"
"UNC5C",124.31678343905,-2.81553736423012,0.734735058462621,-3.83204439722996,0.000127082797936701,0.0209316921183377,"UNC5C"
