"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"RPS10",50.0152741038581,-5.49592275922962,1.64658128919362,-3.3377779738534,0.000844512018096274,0.0153082946246412,"RPS10"
"RPL38",50.1264264913714,-5.49886497692977,1.64757000982456,-3.33756073741311,0.000845172475036719,0.0153082946246412,"RPL38"
"ELAVL4",50.1107031693129,-5.49927920340058,1.67461315177795,-3.28391019595299,0.0010237753920763,0.0171393564850125,"ELAVL4"
"EIF4A1",50.1433440054486,-5.50013357564126,1.65301229048317,-3.32733979493498,0.000876793881886203,0.0156507479113148,"EIF4A1"
"HMGCS1",50.1498764084744,-5.50061990147159,1.65755852191783,-3.31850720727933,0.000904999869872211,0.0160094476980394,"HMGCS1"
"FXYD6",50.5147628001421,-5.51148111753674,1.66894319376326,-3.30237789886008,0.00095868816142632,0.0164831686180859,"FXYD6"
"JUND",50.6865012849859,-5.51472954732494,1.6509862045973,-3.3402638568201,0.000836988272353403,0.0152642500391048,"JUND"
"NPM1",50.6553053856353,-5.51528940589276,1.65711807241073,-3.32824166105995,0.000873960192555867,0.0156507479113148,"NPM1"
"NEDD4L",51.1100261507661,-5.5278426016836,1.64921884069845,-3.35179447704015,0.000802895993218299,0.0148465820070018,"NEDD4L"
"NDUFB8",51.1371736505604,-5.5292676139943,1.66209028497905,-3.32669510433001,0.000878824736682081,0.0156507479113148,"NDUFB8"
"DLG2",51.4097137943467,-5.53726650398398,1.67100428538885,-3.31373566926277,0.000920584908647678,0.0161505766040256,"DLG2"
"SKP1",51.6927498443171,-5.5448718056637,1.65589791025794,-3.34855897293811,0.000812329907368461,0.0149129868610127,"SKP1"
"BCL11A",51.7677627603001,-5.54705450812714,1.66284666537625,-3.33587854107523,0.000850303043318814,0.0153488375880712,"BCL11A"
"LRRTM4",51.9022378105311,-5.5495512751273,1.64851961620667,-3.36638473729364,0.000761604031810269,0.0142820939816859,"LRRTM4"
"RTN3",52.0062330821798,-5.55378475182171,1.6580738765917,-3.34953998746904,0.000809458707203206,0.0149129868610127,"RTN3"
"ERBB4",52.1142767533848,-5.55610018757521,1.65094820759025,-3.36539944865078,0.000764329196631356,0.0142827290370514,"ERBB4"
"ARID1B",52.2097317175745,-5.55924624141339,1.65243177905092,-3.36428184926724,0.000767431271327476,0.0142903780945085,"ARID1B"
"BTG1",52.6695870266746,-5.57202926621473,1.651770086895,-3.37336855196901,0.000742544907472975,0.0141243219496741,"BTG1"
"NRN1",52.8414706891317,-5.57662840828309,1.6497271479596,-3.38033378136521,0.000723978505592895,0.0138705918020993,"NRN1"
"LINC00461",52.9335119143247,-5.57883815581503,1.64807101293086,-3.38507146357357,0.000711597255893733,0.0138705918020993,"LINC00461"
"LDHB",52.9032099040455,-5.57890385942369,1.66227027444457,-3.35619540648275,0.000790227134428271,0.01466341049794,"LDHB"
"OAZ1",53.1125559484122,-5.58407826752515,1.65074120260109,-3.38277027236387,0.000717586306589536,0.0138705918020993,"OAZ1"
"FOXN3",53.2192799650037,-5.58824712084241,1.6991051489386,-3.28893542835373,0.00100567092893636,0.0169971198084881,"FOXN3"
"BTF3",53.2829747786426,-5.58925116862739,1.66017411856269,-3.36666564436406,0.000760828738103175,0.0142820939816859,"BTF3"
"UNC5C",53.2803521090914,-5.58947185696223,1.66965651993021,-3.34767767516392,0.00081491731480944,0.0149129868610127,"UNC5C"
"CDH4",53.3042178440156,-5.59031527745029,1.6779169848713,-3.33169955835394,0.000863173885034075,0.0155283518911045,"CDH4"
"RBFOX2",53.5866928985516,-5.59700333185072,1.64946165906078,-3.39323033130562,0.000690735314572928,0.0137293345110057,"RBFOX2"
"RUFY3",53.6817678913758,-5.59975580601987,1.65168946001294,-3.39031999754723,0.000698110831699586,0.0137919990203376,"RUFY3"
"RPS21",53.7783906406108,-5.60224377977009,1.6549665294563,-3.38511001887789,0.000711497309103153,0.0138705918020993,"RPS21"
"RPL23A",54.0056621390246,-5.60893250714625,1.65917523439983,-3.38055462187222,0.000723396951959443,0.0138705918020993,"RPL23A"
"RPL36A",54.3882048085068,-5.61929002508543,1.66047985991797,-3.38413621310831,0.000714025702576732,0.0138705918020993,"RPL36A"
"PPIA",54.4465873098732,-5.62107647434221,1.66703029803116,-3.37191020522001,0.000746487821643453,0.0141486102480779,"PPIA"
"ATP6V1G1",54.5979798741813,-5.62463199466556,1.65312009442405,-3.40243398748666,0.000667884876942643,0.013486114928324,"ATP6V1G1"
"MACF1",54.6681891676182,-5.6264118525545,1.65204736097368,-3.40572067452014,0.000659896580460277,0.0134695044327027,"MACF1"
"IGF2BP2",54.7164166319446,-5.6279320428237,1.65549928633131,-3.39953758318771,0.000674999025350183,0.0135217272575486,"IGF2BP2"
"CASC15",54.7814064850141,-5.63005734050002,1.67046258703615,-3.37035823740852,0.000750705208377837,0.0141779093980825,"CASC15"
"NCAM1",55.1776518768733,-5.64045232024185,1.66426880874713,-3.38914740851751,0.00070110309898231,0.0137919990203376,"NCAM1"
"CIRBP",55.2504758643543,-5.64161084974635,1.65116594013683,-3.41674371582473,0.000633749096311286,0.0130360715276124,"CIRBP"
"EIF4G2",55.247034254409,-5.64213074185175,1.65835262656424,-3.40225031243268,0.000668333941237837,0.013486114928324,"EIF4G2"
"DSCAML1",55.2613158954483,-5.64247865128049,1.65767928414819,-3.40384216973545,0.000664451342786321,0.013486114928324,"DSCAML1"
"ELAVL2",55.3813494595647,-5.64552247327701,1.65441440510109,-3.41239924886417,0.000643937255452973,0.0131944981262121,"ELAVL2"
"JMJD1C",55.4602230590802,-5.64814597512775,1.67329651820096,-3.37546030466873,0.000736923220568838,0.0140678112646001,"JMJD1C"
"CDH13",55.7284734980262,-5.65465683313563,1.65448904528741,-3.41776625795267,0.000631373044094985,0.0130360715276124,"CDH13"
"SSH2",56.1495534625582,-5.66528316784834,1.64976550617235,-3.43399298061,0.000594759597657222,0.0125752557162027,"SSH2"
"ANK2",56.279706217259,-5.66941585240985,1.66824647077775,-3.39842820094006,0.000677742500566785,0.0135217272575486,"ANK2"
"SPTBN1",56.4331604556838,-5.67203189449031,1.65228836696756,-3.43283412743513,0.000597307399811598,0.0125790094079371,"SPTBN1"
"ATP5MC2",56.5828533940129,-5.67699209880041,1.66137532692086,-3.41704370277484,0.000633051164343893,0.0130360715276124,"ATP5MC2"
"MBD5",56.6986184322827,-5.68034159540553,1.67132222575352,-3.3987112167102,0.000677041626271031,0.0135217272575486,"MBD5"
"LHX1-DT",56.8073650207695,-5.6826776353045,1.65481813043047,-3.43401944346976,0.000594701535923102,0.0125752557162027,"LHX1-DT"
"FYN",57.069388079378,-5.68891860097827,1.64937936760102,-3.44912681262205,0.000562402515562124,0.0121980762522185,"FYN"
"SET",57.0676493511775,-5.689588739207,1.66276338079455,-3.42176692421998,0.000622156222913398,0.0129481689215741,"SET"
"PEBP1",57.5990368640937,-5.70291025081516,1.66023897191802,-3.43499360470184,0.00059256781286564,0.0125752557162027,"PEBP1"
"PTN",57.607489019389,-5.70298331096823,1.65361226168023,-3.44880323103886,0.000563076856202424,0.0121980762522185,"PTN"
"TTC28",57.7716983925097,-5.70720218369578,1.65484767991574,-3.44877794673307,0.000563129580138221,0.0121980762522185,"TTC28"
"LHX5-AS1",57.800452646378,-5.707416258083,1.65363544176118,-3.4514356150981,0.000557612780484982,0.0121980762522185,"LHX5-AS1"
"EIF4A2",58.0762825305415,-5.71524550172521,1.66404061645203,-3.43455889550996,0.000593519082310465,0.0125752557162027,"EIF4A2"
"TERF2IP",58.0914580606523,-5.71527122323292,1.65503880811312,-3.45325511112866,0.000553864936505587,0.0121965195769093,"TERF2IP"
"HSPA8",58.1738123723346,-5.71802938392999,1.68727181674779,-3.38892010592074,0.000701684517710788,0.0137919990203376,"HSPA8"
"H1FX",58.2051223225839,-5.7185150136335,1.66643020347412,-3.4315958758499,0.000600040987940051,0.0125866305256832,"H1FX"
"DOCK4",58.5893108483615,-5.72793236886287,1.67064013305945,-3.42858540000071,0.000606735614878335,0.0126769523943281,"DOCK4"
"NDUFA4",58.7197733454919,-5.73094484409743,1.65342621573378,-3.46610256300677,0.000528061800593833,0.0117748906544179,"NDUFA4"
"RMST",58.8194218868511,-5.73336045975442,1.65218717777581,-3.47016399647449,0.000520140675405337,0.0117748906544179,"RMST"
"MAP4K4",58.8527397415335,-5.73426025670233,1.65404836519524,-3.46680325519108,0.000526687246107872,0.0117748906544179,"MAP4K4"
"RPL12",58.8821299395135,-5.73499952268912,1.65362734431948,-3.46813297590289,0.000524087883923173,0.0117748906544179,"RPL12"
"RPL4",59.5700087142515,-5.75243206105344,1.67318458239328,-3.43801402522207,0.00058599734615259,0.0125752557162027,"RPL4"
"OPCML",59.5543862396051,-5.75246712007258,1.70167494826492,-3.38047353046948,0.000723610444771932,0.0138705918020993,"OPCML"
"COX7C",59.6605639282242,-5.75379729494015,1.64907223111528,-3.48911174803351,0.000484628504032021,0.0112311068598163,"COX7C"
"RPL35",59.7405873895571,-5.7561962632048,1.65593504815431,-3.47610026710926,0.000508762035969307,0.0115879833686228,"RPL35"
"CAMK1D",60.3378765678422,-5.7701577724121,1.64909405428819,-3.49898646314792,0.000467030291266789,0.0109359735897935,"CAMK1D"
"RPL22",60.4279131443678,-5.77317916732238,1.66536597028732,-3.4666129069074,0.000527060323897614,0.0117748906544179,"RPL22"
"HINT1",60.6760265577955,-5.77866720649396,1.65516696534377,-3.49128959645093,0.000480694911279046,0.0111888065533241,"HINT1"
"ATP5F1E",61.075902559176,-5.78825788683685,1.65238730549266,-3.50296680905031,0.000460106791560261,0.0109359735897935,"ATP5F1E"
"LSAMP",61.2011946658813,-5.7914389182913,1.65480517326203,-3.49977085633286,0.000465658257912698,0.0109359735897935,"LSAMP"
"WSB1",61.2479851689297,-5.79215804336346,1.64903698475527,-3.51244883948014,0.000443997476877549,0.0107593361177587,"WSB1"
"GABARAP",61.3510964992279,-5.79513734487965,1.66392394008623,-3.48281385060145,0.000496173243478974,0.0113990969833027,"GABARAP"
"RNF130",61.9965461686692,-5.81042403002298,1.65988931057146,-3.50048885369505,0.000464405659300382,0.0109359735897935,"RNF130"
"RPL27",62.0501250474895,-5.81173411808453,1.66117734141675,-3.49856332203997,0.000467772000166409,0.0109359735897935,"RPL27"
"PRDX2",62.396223222753,-5.81987269730779,1.66280838129819,-3.50002607802836,0.000465212644460027,0.0109359735897935,"PRDX2"
"DYNLL1",62.3960813009056,-5.82022373401035,1.68079649865138,-3.46277716468372,0.000534630965215787,0.0118714917673648,"DYNLL1"
"BEX3",62.4792201705018,-5.82083856730725,1.6495964284185,-3.52864401682041,0.000417694598691058,0.0103548023027749,"BEX3"
"PCSK1N",62.8564684509394,-5.83010849448746,1.65835033339806,-3.5156072737304,0.000438749469452806,0.0106997416644177,"PCSK1N"
"APP",62.9350370277665,-5.83213431530388,1.6623772273039,-3.50830979847013,0.000450963570752998,0.010829247375503,"APP"
"GTF2I",63.0973445718457,-5.83590886201179,1.65440230960107,-3.52750284990777,0.000419499245354553,0.0103548023027749,"GTF2I"
"SNTG1",63.2655697538329,-5.84049314289587,1.69118416179313,-3.45349328289788,0.000553376084687695,0.0121965195769093,"SNTG1"
"DCLK1",63.3395615263592,-5.84127890400629,1.65073601841961,-3.5385905673753,0.000402269260332709,0.010106635359809,"DCLK1"
"RPS29",63.4356623823813,-5.84358255685915,1.65183444853453,-3.53763209263704,0.000403732183206992,0.010106635359809,"RPS29"
"ADCY2",63.5367087827969,-5.84573038737783,1.64957894435711,-3.54377121954359,0.000394447366362873,0.00998291851192144,"ADCY2"
"NBEA",63.6354455118567,-5.84857103843549,1.66243470220268,-3.5180756457299,0.000434688431031355,0.0106800532568676,"NBEA"
"NR2F2-AS1",63.7444533010692,-5.85123842415341,1.70320537383574,-3.4354274088368,0.000591619938916457,0.0125752557162027,"NR2F2-AS1"
"GRIP1",63.8037065402996,-5.85249003147884,1.66493792387676,-3.51514008273142,0.000439522080807058,0.0106997416644177,"GRIP1"
"NREP",64.0171791886655,-5.85693554607774,1.65292173966298,-3.54338345581439,0.000395027866497739,0.00998291851192144,"NREP"
"UBA52",64.4152103864538,-5.8662281154425,1.65892369727507,-3.53616512023929,0.000405980855085696,0.0101152131358676,"UBA52"
"PBX1",64.5601945463555,-5.86892190070651,1.64883056232687,-3.55944512116767,0.000371639180059174,0.00967667265123494,"PBX1"
"SYNDIG1",64.5826265757675,-5.8703453149287,1.67232842620564,-3.51028256348425,0.00044763073993813,0.0107980742584166,"SYNDIG1"
"FAT3",64.6534247355875,-5.87139610074066,1.65254882550715,-3.55293351101975,0.000380960740429719,0.00981436237602193,"FAT3"
"DCX",65.1750829770057,-5.88184046363784,1.65806761657033,-3.5474068758452,0.000389043260028199,0.00992621433158487,"DCX"
"RPL36",65.7056548052936,-5.8950333617307,1.65453386172278,-3.56295721599346,0.000366700462348622,0.00963405620635711,"RPL36"
"KIF1B",65.8070420748533,-5.8966830170279,1.64765037647634,-3.57884360736682,0.000345117904647608,0.00925020565638815,"KIF1B"
"AGAP1",65.880895181298,-5.89902344652848,1.65739596613311,-3.55921190051618,0.00037196932746409,0.00967667265123494,"AGAP1"
"PSD3",65.9586368422238,-5.90087265427622,1.66229396208456,-3.54983702574265,0.000385469705217188,0.009882549398974,"PSD3"
"MARCH1",66.327039792514,-5.9087011566987,1.65348772894529,-3.57347747628444,0.000352271557683042,0.00935267632053129,"MARCH1"
"HNRNPA2B1",66.3342001641444,-5.90914084340729,1.66168314848241,-3.55611769235549,0.000376375521134024,0.00974353605199153,"HNRNPA2B1"
"RPL27A",66.482005940894,-5.9115620227176,1.6483165281639,-3.58642404035263,0.000335243657937273,0.00903115783082796,"RPL27A"
"KIF26B",66.5308792970528,-5.91258953817274,1.64781522836494,-3.58813866773132,0.000333047153051459,0.00903115783082796,"KIF26B"
"NCOA1",67.2216287385809,-5.92781029144891,1.64827818344321,-3.59636519550715,0.000322694689133811,0.00892408018311874,"NCOA1"
"KCNQ1OT1",67.6645877125977,-5.93784507724659,1.65534871681106,-3.58706598612377,0.000334419717644902,0.00903115783082796,"KCNQ1OT1"
"GPHN",67.7754482809093,-5.94047611189871,1.662446688887,-3.57333329941294,0.000352465661222208,0.00935267632053129,"GPHN"
"SRP14",67.9984479977107,-5.94476689501163,1.65029058092867,-3.60225463546324,0.000315469118730479,0.00881155059527711,"SRP14"
"UCHL1",68.5404586711964,-5.95691231343763,1.67155452164293,-3.56369609026137,0.000365669298346491,0.00963405620635711,"UCHL1"
"DACH1",68.8313480623582,-5.96359132784964,1.71546449358399,-3.47637118118974,0.000508248326289957,0.0115879833686228,"DACH1"
"YWHAE",69.1872571497519,-5.97051173079248,1.66083809809738,-3.59487883715588,0.000324542580618413,0.00892408018311874,"YWHAE"
"FNBP1L",69.3462928766817,-5.97309054384131,1.64777483012679,-3.62494342954717,0.000289024710975382,0.00831169575517091,"FNBP1L"
"COX4I1",69.520688413557,-5.97710693184849,1.65034353364727,-3.62173499637318,0.000292633810538035,0.00831169575517091,"COX4I1"
"TENM4",69.604686609321,-5.97987073394113,1.7163753204396,-3.48401113831535,0.000493958930809126,0.0113975654165393,"TENM4"
"SNHG29",69.909763486065,-5.98542403713062,1.65344622269467,-3.61996898053085,0.000294638335311304,0.00831726407179304,"SNHG29"
"DDX5",70.4494612324292,-5.99669974584499,1.65516469889063,-3.62302298367302,0.00029117993793386,0.00831169575517091,"DDX5"
"SDK1",70.6663966697342,-6.00125861298165,1.65889021423864,-3.6176345857438,0.000297307741818182,0.00834821262343435,"SDK1"
"EPHA3",70.9306624265282,-6.00605204099529,1.64834488831158,-3.64368651462702,0.000268760732570555,0.00788018346824273,"EPHA3"
"IGFBP2",71.4363115299795,-6.01714521669059,1.66149625185177,-3.62152199259215,0.000292874902245517,0.00831169575517091,"IGFBP2"
"RPS28",71.6639238975374,-6.02171564964959,1.65881238840133,-3.63013665183257,0.000283271209710412,0.00821486508160194,"RPS28"
