"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"UTY",158.979682999794,8.99210713530081,1.32028850366754,6.81071380256833,9.71156636345251e-12,3.60920652331349e-08,"UTY"
"AL162493.1",221.249067777722,4.65610206931589,0.354052463984452,13.1508816996126,1.68201564114884e-39,3.12552146438278e-35,"AL162493.1"
"GATD3A",67.6739544106982,2.81555667550728,0.528606692237551,5.32637349631206,1.00193003030581e-07,0.000155148865192855,"GATD3A"
"ZIC2",308.874489250629,-2.07159882580045,0.505787103720979,-4.09579210414836,4.20727365760923e-05,0.0190681851477304,"ZIC2"
"CTSC",85.6657371124715,-2.1178243651322,0.548161847232969,-3.86350194896384,0.0001117730011299,0.0399416520576115,"CTSC"
"WNT7B",99.5395397810216,-2.21889104592588,0.56780807814755,-3.90781873545181,9.31331349395697e-05,0.0346119982689417,"WNT7B"
"COL24A1",118.55288109968,-2.36449289149421,0.508277583397011,-4.65197161694878,3.28776340244221e-06,0.00265622693670353,"COL24A1"
"AC139720.1",178.583262581975,-2.41222883699255,0.550428346988886,-4.38245749912523,1.17348063190429e-05,0.00700684483757711,"AC139720.1"
"LHX1-DT",159.750391427113,-2.76189554516911,0.618853818647279,-4.46292074468603,8.08499636782997e-06,0.00533885461844439,"LHX1-DT"
"ADAMTSL1",234.117037632697,-2.80973008183927,0.437988937587022,-6.41507088585088,1.40757351463768e-10,3.94099157236752e-07,"ADAMTSL1"
"UNC5C",476.419389123227,-2.95911254385804,0.770353769279103,-3.84123848271318,0.000122415109936001,0.0429191994873729,"UNC5C"
"THSD7B",166.03860413882,-2.97877147321291,0.399126014333988,-7.46323558534141,8.44232022246282e-14,5.22917314579347e-10,"THSD7B"
"LHX5",78.4269046467791,-3.32999337326986,0.677163230906145,-4.91756377382427,8.76279137850075e-07,0.000857000996817374,"LHX5"
"AC006148.1",57.7323795581222,-3.64097753499027,0.795550910205263,-4.57667446329845,4.72425739639903e-06,0.00365775628916195,"AC006148.1"
"ZNF441",56.4727710259605,-3.66504473483017,0.753142607650823,-4.86633566817054,1.13686367909545e-06,0.00100596194690246,"ZNF441"
"LHX5-AS1",199.695857990015,-3.83839253800053,0.538015684011829,-7.13435063710175,9.72451470430621e-13,4.51752330588545e-09,"LHX5-AS1"
"CDC20B",60.361917975098,-5.3493585882443,0.94422443830709,-5.66534646978129,1.46727751948215e-08,3.1453968607195e-05,"CDC20B"
"CCNO",52.5851717059227,-5.60847815886711,1.23176193963094,-4.55321598956655,5.2831980818255e-06,0.0038937194993422,"CCNO"
"CHCHD2",1489.45654994941,-8.20517376440673,0.918535238557341,-8.93288947443523,4.15024241932447e-19,3.85599023179436e-15,"CHCHD2"
