IN_1_DS_down,IN_1_DS_up,IN_2_DS_down,IN_2_DS_up,IN_DS_down,IN_DS_up,IPC_DS_down,IPC_DS_up,MGE_DS_down,MGE_DS_up,nEN_1_DS_down,nEN_1_DS_up,nEN_DS_down,nEN_DS_up,nIN_1_DS_down,nIN_1_DS_up,nIN_DS_down,nIN_DS_up,RG_DS_down,RG_DS_up,IN_1_DS_down_TFs,IN_1_DS_up_TFs,IN_2_DS_down_TFs,IN_2_DS_up_TFs,IN_DS_down_TFs,IN_DS_up_TFs,IPC_DS_down_TFs,IPC_DS_up_TFs,MGE_DS_down_TFs,MGE_DS_up_TFs,nEN_1_DS_down_TFs,nEN_1_DS_up_TFs,nEN_DS_down_TFs,nEN_DS_up_TFs,nIN_1_DS_down_TFs,nIN_1_DS_up_TFs,nIN_DS_down_TFs,nIN_DS_up_TFs,RG_DS_down_TFs,RG_DS_up_TFs,IN_1_DS_down_HSA21,IN_1_DS_up_HSA21,IN_2_DS_down_HSA21,IN_2_DS_up_HSA21,IN_DS_down_HSA21,IN_DS_up_HSA21,IPC_DS_down_HSA21,IPC_DS_up_HSA21,MGE_DS_down_HSA21,MGE_DS_up_HSA21,nEN_1_DS_down_HSA21,nEN_1_DS_up_HSA21,nEN_DS_down_HSA21,nEN_DS_up_HSA21,nIN_1_DS_down_HSA21,nIN_1_DS_up_HSA21,nIN_DS_down_HSA21,nIN_DS_up_HSA21,RG_DS_down_HSA21,RG_DS_up_HSA21
LIMCH1,TTC3,RNF220,ADGRB3,AL031985.4,LINC02506,CHCHD2,ASTN1,RPS8,ACAP3,CHCHD2,LINC02506,CHCHD2,AL162493.1,CHCHD2,SST,PLEKHA6,AL162493.1,CACHD1,AK5,,,PROX1,,LHX2,,,,DMRTA2,MLLT11,TCF4,,ZNF558,,,THRA,ZNF558,,HMGA1,ZBTB20,,TTC3,,GART,,APP,,CRYZL1,,HSPA13,,APP,,APP,,APP,,,,HSPA13
,,LINC02609,RABGAP1,ARHGAP25,AL162493.1,KHDRBS3,AL162493.1,DMRTA2,PRKCZ,SIPA1L1,AC008438.1,EIF5A,APP,SYNE2,EXOC5,GPR39,RHBDF2,GNG12-AS1,AL445433.2,,,EOMES,,LHX1,,,,HES1,GATAD2B,,,,,,,,,LHX5,DLX6,,,,CRYZL1,,CRYZL1,,ITSN1,,ATP5PF,,CCT8,,CRYZL1,,TTC3,,,,APP
,,PROX1,LRRC4C,PRKG2,APP,ADAMTSL1,LRFN5,AL049637.2,MACO1,TTR,PLCE1,ZNF558,CRYZL1,MYO1E,GNAO1,PKP4,UBE2S,COL24A1,DNM3,,,NR2F1,,ZNF558,,,,LEF1,SP3,,,,,,,,,,RUNX1T1,,,,HLCS,,TTC3,,GATD3A,,CCT8,,RRP1B,,,,,,,,SYNJ1
,,KCNJ3,AL162493.1,AC023886.1,CRYZL1,AP000936.1,CRYZL1,CACHD1,GRIK3,TCF4,CNNM1,WNT7B,MCM3AP-AS1,EIF5A,THRA,CHCHD2,,FAM89A,ASTN1,,,ZBTB16,,,,,,ID4,SP9,,,,,,,,,,RORB,,,,TTC3,,,,,,TIAM1,,,,,,,,,,PAXBP1
,,ERBB4,AP001347.1,ITGA2,TTC3,LHX5-AS1,ITSN1,COL24A1,RIMKLA,,AL162493.1,,,,APP,RMST,,TRIM67,NMNAT2,,,SOX5,,,,,,PLAGL1,SOX4,,,,,,,,,,PKNOX1,,,,GATD3A,,,,,,SYNJ1,,,,,,,,,,CRYZL1
,,EOMES,GART,CHCHD2,MCM3AP-AS1,EIF5A,GATD3A,RPL5,ELAVL4,,CHST9,,,,TTC3,TMEM132D,,RBMS1,SERTAD4,,,ZNF558,,,,,,LHX5,ST18,,,,,,,,,,,,,,LSS,,,,,,PAXBP1,,,,,,,,,,ITSN1
,,KCNMB2,CRYZL1,LHX2,,,MCM3AP-AS1,OLFM3,MLLT11,,APP,,,,TMEM35A,DLK1,,EEF1B2,NRXN1,,,,,,,,,ZFP36L1,ZNF704,,,,,,,,,,,,,,,,,,,,IFNAR2,,,,,,,,,,MORC3
,,KCNMB2-AS1,HLCS,SEC16A,,,UTY,C2orf81,GATAD2B,,CCT8,,,,,ZNF558,,OCIAD2,SH3RF3,,,,,,,,,ZNF558,RUNX1T1,,,,,,,,,,,,,,,,,,,,DONSON,,,,,,,,,,TTC3
,,LIMCH1,TTC3,VIM,,,,LYPD6B,ARHGEF2,,RRP1B,,,,,,,AMBN,KCNH7,,,,,,,,,,SCRT1,,,,,,,,,,,,,,,,,,,,CRYZL1,,,,,,,,,,DYRK1A
,,UNC5C,GATD3A,SLC17A6,,,,SRGAP3,KIFAP3,,,,,,,,,UNC5C,AC011900.1,,,,,,,,,,FOXN3,,,,,,,,,,,,,,,,,,,,ITSN1,,,,,,,,,,BRWD1
