,name,avgExpression
90,CHCHD2,9.27080511357996
63,ZNF558,6.60679207000443
340,AP000936.1,4.32654091116519
91,LHX1,3.50552982628037
92,LHX5-AS1,3.32723179850872
12,TTR,3.29921649302855
40,WNT7B,3.00574010483952
93,LHX5,2.83858872449893
64,ARHGAP25,2.5663736220942
19,MYO1E,2.39710832603989
36,DMRTA2,2.3884505058005
288,TMEM132D,2.38790111938474
16,DMRT3,2.25175485826876
14,FAM89A,2.23358622827052
65,PCDHB5,2.17178963599636
15,LEF1,2.11021918357554
69,UNC5C,2.06765725413215
17,CCND1,2.02205551407771
13,AL049637.2,1.93708029150986
68,DNAJC15,1.92451824999287
66,DLK1,1.89890714428822
44,KHDRBS3,1.88974561514254
94,EOMES,1.88170592124081
18,ADAMTSL1,1.83308916558296
37,COL24A1,1.82082854976669
96,SLC17A6,1.71067993657611
38,AL137139.2,1.65398256674641
88,WDR49,1.55068619107429
11,OAF,1.54170262750463
87,AC108134.2,1.44935244117936
89,RHBDF2,1.44792274310152
46,CTSC,1.41917111017889
39,AC023886.1,1.39640467849189
146,GNG12-AS1,1.3554324159803
95,LINC02609,1.32882208417108
82,AC109927.1,1.27540472700659
75,AC012409.2,1.26229669186537
43,GCHFR,1.25582114070053
70,OLFM3,1.18882927924834
7,HES1,1.15141974049029
73,RBMS1,1.14963384671978
149,KCNMB2-AS1,1.09328941654354
74,AC093298.2,1.0845207978486
9,GAS1,1.07502984120569
8,ZFP36L1,1.03654690855089
24,MIR222HG,1.03102810111072
257,GTF2H2,1.005273476155
21,ADAMTS18,1.00180297794759
71,PRKG2,1.00170297625556
67,ZBTB16,0.980404338614891
72,AC124854.1,0.947191708754956
20,ITGA2,0.945826919494685
270,IFI27L2,0.877054208683589
35,LHX2,0.876500588066355
29,CACHD1,0.867442384031716
79,SORCS2,0.863986500490481
173,RMST,0.851435818391929
49,LGALS3BP,0.803694717633494
269,EIF5A,0.781835261915645
147,ERBB4,0.771407502193428
4,CLIC1,0.739506684345074
32,LYPD6B,0.729594408143194
86,AL031985.4,0.645685521019507
47,DYRK4,0.644552658827775
10,SLC9A3R1,0.640493414171456
34,RASGRP1,0.63701298060639
77,SFMBT2,0.635149423109938
84,AC027288.3,0.63454273070696
267,GTPBP6,0.626331809274578
78,RAB11FIP2,0.621418724292434
268,OARD1,0.618263140864257
81,TRAF3,0.603262257977432
27,B3GAT2,0.591298156128085
61,PROX1,0.578874538510393
22,AL627171.2,0.568138766201173
148,KCNMB2,0.558941706947236
52,MFSD3,0.551041124197817
3,FABP7,0.542939417413203
33,TENM4,0.537095365360749
62,PAUPAR,0.505932336539509
51,SCUBE1,0.495166597534952
334,PLAGL1,0.490819001201942
48,NCALD,0.488733506727121
50,FILIP1,0.487691817291411
266,SINHCAF,0.486602741408112
54,CCDC85C,0.467790891527052
53,C2orf81,0.464601541590719
180,ST18,0.454649613355753
285,SOX5,0.439349918556866
287,SYNE2,0.433775527093614
259,ISOC2,0.427911487525096
280,RPL17,0.416774933893697
2,VIM,0.414004023936758
28,ZNRF3,0.411802629173412
339,SEC16A,0.40501635103833
26,ID4,0.403826429607414
271,RPL12,0.387709338943168
76,RNF220,0.371964347891283
272,EEF1B2,0.35630089991391
175,PLEKHA6,0.349198699334484
277,RPL13,0.346378748658902
278,RPL18A,0.345856047052484
60,TRIM67,0.337794272369051
80,CARMIL1,0.333305066582868
327,IQCK,0.331495504430471
279,RPS3,0.320329778754803
45,TPBG,0.317384346855968
273,RPL18,0.313566352794338
262,RPL7L1,0.313085613067242
6,TTYH1,0.305473851358446
256,CXXC5,0.300249617888926
326,SRGAP3,0.280345691493139
265,ANAPC16,0.277098027714403
208,PDP1,0.275381190343806
264,RNF7,0.274369762273687
5,HMGN3,0.264967749187156
263,FAM92A,0.264185744620961
25,LIMCH1,0.263341279020176
274,RPS8,0.262869465667888
342,SUGP2,0.261073672158496
182,LZTS1-AS1,0.258366838000494
258,NR2F1,0.2490252502863
275,RPL5,0.226877438248982
261,EIF3L,0.214588843803569
30,SIPA1L1,0.211395520518109
276,RPLP0,0.209799048023349
205,OCIAD2,0.206779359188155
330,PKP4,0.181518227750846
167,CNTN5,0.177031880028636
333,DYNC2H1,0.157646924643461
260,HMGA1,0.140101999284153
286,TCF4,0.121605040496533
328,PACRGL,0.0888278783465324
138,SYT1,0.0860594547602588
329,REV3L,0.0717948555598645
127,SCRT1,0.0398939345448063
1,AMBN,0.0259365931344665
186,ELAVL2,-0.0005481969795391
185,LZTS1,-0.0088335576695968
215,ADGRG1,-0.0227863409516024
332,ADGRB3,-0.035708170519832
233,CELSR3,-0.044732382348987
331,PDE8A,-0.045571753392055
281,UBE2S,-0.0644071693877249
246,CORO7,-0.0702955675189638
241,ACAP3,-0.0798409283582442
213,PPP1R18,-0.0806505413298371
295,SENP7,-0.086997548374725
251,MYT1,-0.0888562760535858
244,CEP170,-0.0962748243571751
298,HERC1,-0.104785739689214
31,GPR39,-0.106038551523148
232,KLC1,-0.10629717414863
249,ELAVL3,-0.106474569090944
214,PARP6,-0.116768724314802
181,INSM1,-0.12935280021791
207,SEZ6L2,-0.135041388752834
136,POU2F2,-0.137864004285052
317,OLA1,-0.138287621206286
230,SEPTIN3,-0.13954032395906
193,DPF1,-0.14492202811775
218,EXOC5,-0.145875195960321
323,DAPK1,-0.151992349436749
348,SRPK2,-0.158379469607456
248,ATCAY,-0.15882980089564
296,ZC4H2,-0.15921360057276
144,STXBP5L,-0.164301865997824
216,DYNC1I2,-0.171506309141414
243,MACO1,-0.172724133445862
198,ATP1A3,-0.179364599514377
231,CRMP1,-0.18188325187503
245,MTMR6,-0.189613784937563
23,PLCE1,-0.191725758598875
316,SP3,-0.192712910428433
235,GNG2,-0.194912252376696
324,AKT3,-0.196362179328394
117,MTMR7,-0.198616668329025
291,RABGAP1,-0.209317847344881
250,SOX4,-0.213148993687883
168,CNNM1,-0.213528743709579
255,MAP1A,-0.21520635005098
238,RTN2,-0.215362250324448
234,KIF3C,-0.218590924481106
293,MYO9A,-0.224254770663516
133,EPHB1,-0.230049489886315
283,ARL4D,-0.231131549033222
297,HECTD4,-0.235189744373565
336,AC008438.1,-0.239829264844103
303,INSR,-0.239853992332583
217,DPYSL2,-0.240987514514516
156,XKR4,-0.241891268388134
226,PFN2,-0.243271185961573
301,HGSNAT,-0.243313923792849
254,TMEM169,-0.2498365648271
150,KCNJ3,-0.250373171475518
284,RORB,-0.250423834851836
211,WSB2,-0.25058671152159
315,FAM110B,-0.262094363681781
191,AMER2,-0.262403593243992
305,ZNF532,-0.26451111799501
310,FOXN3,-0.264895872968513
302,DMXL2,-0.26532645505942
56,RCAN2,-0.267304999531422
294,TOM1L2,-0.269675176523977
242,KIAA0408,-0.269944048724422
313,ZNF704,-0.271704933759333
153,PCDH7,-0.277184112979086
135,NRXN1,-0.279066183753569
201,SCG3,-0.280300984519299
184,DLL3,-0.281862989419955
154,DSCAML1,-0.281925918034762
203,TTC9B,-0.286627747438939
192,CDK5R1,-0.28821485734209
227,RAB3IP,-0.289174065919234
325,DST,-0.289875968201013
83,PLCL1,-0.29398822502136
124,AFAP1,-0.294588127573242
252,CORO2B,-0.302271782393503
114,BICDL1,-0.31407909310659
143,AKAP6,-0.314467200696956
188,TAOK3,-0.317042354066985
229,BSN,-0.321560815869347
240,NCAN,-0.326260893037178
120,LRRN3,-0.327508202709205
59,CHST9,-0.336235868012651
142,APBA1,-0.343814710289443
309,TRIM2,-0.344532630987512
126,LINC00599,-0.347917821024986
239,GDAP1L1,-0.350719859340897
140,PAK5,-0.352835021445958
139,ASXL3,-0.354568919926185
199,ACTL6B,-0.356935089929001
187,GNAO1,-0.358822436030648
299,ANK2,-0.390685601604312
137,RAB3C,-0.398561165431669
307,IPO9,-0.400549693037685
190,REEP1,-0.411457484644856
282,RND3,-0.413741881672681
292,GATAD2B,-0.41605802018643
118,DCLK1,-0.422006537558164
200,INA,-0.423809541676499
206,PRKCZ,-0.425500284998273
219,GNG4,-0.426857281071117
174,AC019197.1,-0.427075968139151
237,MLLT11,-0.434167276980189
197,STMN2,-0.434679890898481
115,GABRB3,-0.447370201329481
121,SYT14,-0.449431630592138
116,SVOP,-0.4499108829184
337,GLCCI1,-0.454574647682456
130,SRGAP1,-0.455184837801747
204,THRA,-0.458773308524898
225,HMGN1,-0.465510958716466
189,KIFAP3,-0.469696022292077
119,UNC79,-0.476569333002842
141,SCN3A,-0.485623173222335
163,MAPT,-0.487794529737028
157,CPEB3,-0.489623073936195
122,MTSS1,-0.496954287693686
228,KIF21B,-0.507370104162336
102,RPP25,-0.507868875071469
311,PAXBP1,-0.513502848632889
319,RNF180,-0.517092517660805
145,DGKI,-0.518601240438244
304,ITSN1,-0.519088229593054
347,BRWD1,-0.522651236002678
223,ATP5PF,-0.524494498820617
346,PKNOX1,-0.53000727131577
212,GET1,-0.532483294919108
318,SLC25A12,-0.537170815106726
166,RUNX1T1,-0.541654437069808
350,GART,-0.54630841960655
123,SRRM4,-0.549437598867761
176,CAMKV,-0.54972021484141
131,AC020611.2,-0.553806698721134
110,ASTN1,-0.558271583890074
155,KSR2,-0.560652851502912
222,RRP1B,-0.567840954054768
247,ELAVL4,-0.574464258082109
158,SYT16,-0.574773918327975
107,MGAT5B,-0.577111260567597
112,AC034111.2,-0.577970288203776
312,MORC3,-0.580910146978382
338,ZBTB20,-0.580962596823286
162,SCN3B,-0.582598981888425
129,KCNH7,-0.587968948064062
202,RTN1,-0.592684927837128
98,GRIK3,-0.606985121329768
196,HSPA12A,-0.608439959974258
132,IGSF9B,-0.609273458795397
209,TTC3,-0.609639247666598
58,GRK5,-0.613032806818257
210,PRMT2,-0.613113560949662
128,AC011900.1,-0.619677778014757
125,DOP1B,-0.624316942939162
351,DONSON,-0.629320229570357
152,KIRREL3,-0.637141159005225
85,MCM3AP,-0.639076884255206
322,KCNH8,-0.640328207898122
224,CCT8,-0.641667494261062
42,AK5,-0.646463670440652
221,HSPA13,-0.654920842590072
113,ENO4,-0.656267475093941
134,TNIK,-0.668783668897943
308,PDE9A,-0.6716539046514
314,DYRK1A,-0.673850085043316
179,LHFPL4,-0.684055390753912
335,ZBTB20-AS5,-0.68595109827117
100,SEZ6,-0.689641053247526
165,NMNAT2,-0.69432852569929
345,APP,-0.696731563295763
349,IFNAR2,-0.697366973528535
194,TMEM35A,-0.698709312078226
195,RIMKLA,-0.70208577613433
172,SORCS3,-0.703903689958885
109,ENOX1,-0.719102498169891
161,CACNG8,-0.739778747877162
300,SYNJ1,-0.745055650092242
111,TIAM1,-0.749437566349536
253,ARHGEF2,-0.75131952817278
57,RCAN1,-0.775089326896064
178,LRFN5,-0.792161906246929
105,FGD3,-0.793110601368994
321,HLCS,-0.808380595797371
306,CRYZL1,-0.810444902096767
170,AL445433.2,-0.821503552702603
220,CCZ1,-0.830745863979313
183,UBE2QL1,-0.837151914836155
108,SNTG1,-0.853204658932591
341,NIM1K,-0.861676647299418
160,CACNG2,-0.867838638982889
236,CD24,-0.895442539200657
344,MCM3AP-AS1,-0.902806870150874
343,LSS,-0.903523008173058
103,SP9,-0.95501392684755
164,PHACTR3,-0.980237423386036
106,SHTN1,-0.983396819014275
159,DNM3,-1.0010645573483
320,AP001347.1,-1.02321722442138
169,LRRC4C,-1.05358295358596
177,LINC02223,-1.05370898577159
101,GAD1,-1.09166109520702
151,SH3RF3,-1.0976443772507
99,SERTAD4,-1.17220384262775
104,DLX6,-1.2193667761389
0,TNC,-1.24960575547625
97,SST,-1.32324918533418
55,SCRG1,-1.35551442598644
171,LHFPL3,-1.35587509140285
41,EGFR,-1.36749818355558
290,AC012645.1,-2.59703374565276
354,GATD3A,-3.38211491648082
353,AL162493.1,-5.92392247105207
352,LINC02506,-9.12503063706359
289,UTY,-18.0182408309537
