"","res_list.IN_2.log2FoldChange","res_list.IN_1.log2FoldChange","res_list.IN.log2FoldChange","res_list.nIN_1.log2FoldChange","res_list.nIN.log2FoldChange","res_list.nEN_1.log2FoldChange","res_list.nEN.log2FoldChange","res_list.IPC.log2FoldChange","res_list.MGE.log2FoldChange","res_list.RG.log2FoldChange","Mean"
"LINC01409",-0.101251833687507,0.69554524600497,0.139745436481371,-0.928583923211816,0.736778560755275,-0.47370118295786,-0.149004632117142,-0.0129660551187958,-0.0882377671437486,0.0342301516285236,-0.014744599936673
"LINC01128",-0.230272249998211,0.435611698978159,-0.407464116634261,-0.596954821938619,0.557173847401644,-0.87152306917693,-0.540826789784081,0.621528722659507,0.109402104035735,-0.0269458004730793,-0.0950270474930137
"AL645608.6",-1.13922761975446,-0.0286467760918016,-0.828228556431113,-0.625288129315669,0.134208282759374,-0.847499420864408,-0.588578453886178,-0.201180962901277,0.96101325833941,0.249055145367205,-0.291437323277892
"SAMD11",0.0589680980364729,0.00249921101145847,0.0442622737308501,-0.0591741313930925,0.276335405833763,-1.56971923151048,0.502076031856525,0.21992869439535,-1.29349988719138,1.78457672604729,-0.00337468091832346
"NOC2L",0.0162354592238513,0.0819635811582177,0.1618579961633,-0.495216289933949,-0.453892028738142,-0.496962430152135,0.128772546809753,0.159655094658547,0.468818082572836,0.115864809461071,-0.0312903178776649
"AL645608.7",0.228943503515355,-0.133035625905199,0.0402584980224389,-1.7279752344482,-0.349155930096492,-2.06013119574961,-0.630269201646155,0.417542174248038,0.645681534810973,0.371190394225564,-0.319695108302329
"HES4",0.219386771253806,0.538264338167974,0.483827427723564,0.909255928478965,0.540736704999207,0.15965335755154,0.193528291598697,0.473823488218462,0.763051678882485,0.502220332941832,0.478374831981653
"ISG15",0.518785937772668,-0.0311758594073723,0.15877765505747,1.30635248211409,0.158558624217331,-0.0111950441157205,-0.111148370085267,0.152898077628588,0.281521365465518,0.0371199725935167,0.246049484124082
"AGRN",0.214335988508713,0.438352858511312,0.0222497208616961,1.20880309562457,0.381149873177435,0.0682919378043794,0.0704060830555567,0.515117467584461,0.51295863946784,0.290896546202487,0.372256221079845
"C1orf159",-0.0291185508701175,-0.203124650664241,-0.0787575043109929,1.0833734217558,-0.256148102223713,-0.846211246223323,-0.269553805216702,-0.226015203728505,0.0288222010176565,-0.258667083015632,-0.105540052347977
"SDF4",-0.0166848888004362,0.242988366449343,0.414898744471305,0.567257114109852,0.185911335552708,0.124109311020937,0.14564345298829,0.163720600556401,0.312626249178499,0.178369393745917,0.231883967927282
"B3GALT6",0.0618467631012182,-0.117411717659416,-0.27564303338281,-1.03523896496487,-0.0550306211594353,0.0852320357226474,0.113702101568154,0.191405370391999,0.180274083720768,0.261393988151562,-0.0589469994510179
"UBE2J2",0.143268421768682,0.0345097818768021,0.05604788328588,0.587911782237733,0.115478065833722,0.207022869388561,0.064795360195317,0.261472385592534,0.0632388766327085,0.20645278440728,0.174019821121922
"ACAP3",0.175397505420448,-0.0749376982492267,0.090185279897822,-0.134813191857803,0.182622784300143,-0.0589954782109358,0.321222862467344,-0.0272328037495921,-0.965362176588711,-0.30649636701193,-0.0798409283582442
"PUSL1",0.455263914935882,0.690987492713383,0.357101284056144,1.34758066642436,1.24113759929492,0.324987173650506,0.453324893962582,0.14156676858311,0.614960592292203,0.35835671972134,0.598526710563443
"INTS11",-0.244246390844783,-0.608820179592127,0.0343977851462415,-0.588005645374796,-0.261387379614537,0.10731213964415,-0.204198453666926,-0.573608844872044,-0.0731826128109244,0.0387681476111809,-0.237297143437457
"CPTP",-0.599560335350912,-0.435788721438907,-0.0559733359915964,0.300008165747628,-0.524119061325767,-0.215086065882657,0.24703617730381,0.378522785900363,-0.435700788453661,-0.170679628475691,-0.151134080796739
"DVL1",0.16855664725309,-0.151519070575426,0.119915219443989,-0.844038669268992,0.294422004355265,-0.0361256673893437,0.596871475029979,1.14109666695079,0.291008153263076,0.0568803333233083,0.163706709238574
"AURKAIP1",-0.0502114210853505,0.0691562429114547,0.33017554379159,0.165867387849303,-0.11684237682593,-0.193556957977939,0.35850466587755,0.231770759800794,0.322639345140767,0.269588772741904,0.138709196222414
"CCNL2",-0.0410593383538259,-0.000764284622379557,0.0624364915570359,-0.230082148373746,0.0703291283530614,0.0704281812208015,-0.0473440103526692,0.363887308202661,-0.0601936613646391,-0.158956563541831,0.00286811027244691
"MRPL20-AS1",0.303791561686151,0.227714313955187,0.317828084105609,0.36333026823067,-0.598147604847452,0.346611297009994,0.502134753003762,0.0675908175264418,0.281936285503271,0.427160505800696,0.223995028197433
"MRPL20",-0.203784896228508,-0.278800469009579,0.321870707002166,0.01001126158511,-0.106149427830666,0.00355134015546099,0.106729599630264,0.284079183735647,0.0825783024774809,0.262105239795153,0.0482190841312529
"ATAD3B",-0.200705192279962,-0.273427910042187,-0.85060041864912,0.255110429515545,0.112772371693764,-0.103004251100944,0.065440762173529,-0.0877022535164276,0.128599160963987,-0.206795754415673,-0.116031305565749
"ATAD3A",0.135986408686624,-0.0278338235691166,0.335397376363753,0.385133842821285,-0.0376957714246748,-0.0384965610875183,0.0626142776735416,0.335749943599487,0.121449834227677,0.185836561404168,0.145814208869523
"TMEM240",-0.228209321305667,-0.133950458689157,-0.382276461352119,-0.625648353603205,-0.352545527320473,-0.0664958925420379,0.0658422678930589,-0.53680765315311,-0.378395961805709,-0.200941189316538,-0.283942855119496
"SSU72",0.163685702721228,0.0212270724459432,0.240412791603632,0.0450429952481811,0.228412784344065,0.203039603813486,0.135454193190972,0.117400343235143,0.251848923580063,0.288191672148147,0.169471608233086
"AL645728.1",0.231133682942159,0.474454566087063,-2.30323514265793,-0.373873311361584,0.736128057960443,0.188746912707522,-0.510916135606537,0.0605118823237586,0.75642937559428,0.287360335485349,-0.0453259776525475
"AL691432.2",0.530545817162799,0.249274803469942,-0.114379375336063,-0.588576005948659,-0.296741425957776,0.00257880134646137,-0.139789034012017,0.0785278410482306,0.0656705489879968,0.181651787751078,-0.0031236241488006
"MIB2",-0.130774606913647,0.0873606147702875,0.335611391861607,-0.0666701618332462,0.102429801756968,-0.0239310122317201,0.0859451758306991,0.163676931038349,0.31892469679274,0.0427597230571848,0.0915332554129222
"CDK11B",-0.28730560642828,0.0436463997624183,0.660543528208144,-0.0805806221796236,0.127202973474408,0.1984284760476,0.19807122769203,0.147677190818303,0.0429999689120205,0.0166781890808081,0.106736172538783
"SLC35E2B",-0.282115774555349,-0.436012509232918,-0.423528071425228,-0.719654453795365,-0.690472642052876,-0.346791211054863,-0.48343593081643,0.0233405745537839,-0.266992273948271,-0.404192752393715,-0.402985504472123
"CDK11A",-0.720493803891649,-0.435829893724945,-0.614574943581314,0.0846537421001121,0.0269907768794508,-0.87306273955492,-0.58751161218102,-0.291085523088687,-0.54890360046656,-0.588799660772339,-0.454861725828187
"SLC35E2A",-0.168166373684598,-0.538969257893113,-0.0717139088668445,-0.226181674300515,-0.107706967210859,0.113965957774251,-0.324873914565024,-0.485251907473093,-0.774553528829689,-0.473610387743463,-0.305706196279295
"NADK",-0.350227123859389,-0.610271629134646,0.372760429972063,0.00483691338567958,-0.0200236866879359,-0.404125826184082,0.0843195358282682,0.00664358436901611,0.0897864729285496,0.152133453624133,-0.0674167875758343
"GNB1",-0.0737972006034854,-0.0895966396677268,0.062218377257628,0.200084171013443,-0.0864555701227592,0.0766712578653294,0.0562358243956744,0.0401400512271072,-0.231176091625769,-0.0826976149125855,-0.0128373435173144
"PRKCZ",-0.757015362071587,-0.0536506178460767,0.295090892983142,-0.967496933422707,-0.342202694528221,-0.125297366177449,-0.138865909432675,-0.482480532406275,-1.6198670876278,-0.0632172394530793,-0.425500284998273
"FAAP20",-0.446608165465298,-0.393081396292179,0.0152069965734136,-0.205348365412869,-0.347968762832545,0.338058687242566,0.151990123605596,0.00650119592306073,-0.0498290258774952,0.314737514747874,-0.0616341197787875
"SKI",0.219287494470715,0.341605416900994,0.182033691633771,-0.0166920128178571,0.439298063104784,0.408530928739839,0.151786979384935,0.127528308437083,0.264861794585833,-0.0190858985318001,0.20991547659083
"MORN1",0.521105914804567,0.23166227186845,0.172540443176256,0.437065563039844,0.361880066478859,-0.0965808843117862,0.422490582672381,0.279818017818854,0.00873640064300513,0.105902271190226,0.244462064738065
"RER1",-0.263622668668835,0.116409411052446,-0.042056563926214,0.232509862020231,0.117917752805409,-0.0658621246275042,-0.111338431897768,0.0162458055915207,-0.088516378886606,0.190948562288915,0.0102635225751594
"PEX10",0.353996605748759,0.142761474726683,0.0843193016631024,0.837309299270426,0.0201075787062571,0.359143741636574,0.506571198963691,-0.0993937838404364,0.478141046099464,0.151717067080761,0.283467353005528
"PANK4",-0.186856994376123,-0.0139219992321088,-0.115636587620906,-0.0920079375310716,-0.552182303679207,-0.195300756040322,-0.210502630129332,-0.889060487199863,0.159876400612699,0.189150651286639,-0.19064426439096
"HES5",-0.85002571745113,-0.982830569737143,0.863751661739401,0.0905001875998649,-0.155482590025589,-1.07148077657505,-1.15033515639335,-0.188192508515439,0.0882431419164161,-0.73257923320862,-0.408843156065064
"AL139246.5",-0.93663233216629,-1.84129541218977,1.50636368334318,1.51402514518178,-0.228634394038547,-0.902278564358132,-0.151131522425183,-0.677533172890159,0.182941476899773,-0.67431957116514,-0.220849466380849
"PRXL2B",-0.51135192731495,-0.42330393810618,0.695637502232218,0.290251776407674,-0.725851760002416,-0.349290034137541,0.123138987909996,-0.282508749932019,0.427865999847153,0.152516142359482,-0.0602896000736582
"PRDM16-DT",1.12175565277314,0.0107464279404847,1.17450719890422,0.819150733122104,0.0965279999733905,0.0112590533678725,0.369943293799759,-0.245489602218559,0.618101325841441,-0.272544142484843,0.370395794101901
"PRDM16",0.39928165878025,0.606119016145511,1.43697369625024,0.929055118338846,1.00533633176287,-0.142837305231825,-0.276759015541157,-0.63294090940256,0.677512186932533,-0.512850435773017,0.348889034226169
"MEGF6",0.21226122861325,0.586075647676459,0.0349663467670249,-1.4907806809464,-0.326932532043378,0.978131521677015,-0.0253836226502919,-0.0830478604805256,0.759921556394359,0.325020541726488,0.0970232146734
"TPRG1L",0.67447040673783,-0.0893781304266826,0.34813450898525,-0.0379327863900242,0.102233313707481,-0.647736582944802,-0.0745990986130278,0.0126227036302647,0.403935750635247,-0.254530118356694,0.0437219966964842
"WRAP73",-0.0157918900943738,-0.00371166435633899,-0.219438509960161,0.313149234600447,0.375862376884225,0.133831818135986,-0.358153678151807,0.129830205154698,-0.0390046397779962,0.119331686014583,0.0435904938449263
"TP73",1.45986791640753,0.270754658775387,1.22866189795104,1.11184294628476,-2.8121379891973,2.39686827726573,-0.234006945993324,3.10952976899971,-0.863781608397769,-0.178902508714307,0.548869641338147
"LRRC47",-0.35435481562881,-0.189036819189792,-0.385171748913535,0.0756536624417814,-0.061713827108358,-0.0966700305229227,-0.0816916008081521,-0.164986330146886,-0.12154080509917,-0.0372149821534396,-0.141672729712928
"CEP104",-0.246249981309736,-0.423087117013052,-0.191288681871952,1.31726083940054,-0.0514265763718746,-0.541322582695584,-0.378069122312621,-0.555287471763932,-0.0381444239362262,-0.402217789657462,-0.15098329075319
"DFFB",-0.235437549182913,-0.131475864629374,0.0181598836610532,1.962358880227,-0.1584509590671,-0.495635787988065,-0.604402023148333,-0.564070705816303,0.0824503271484141,-0.0447005173718029,-0.017120431616742
"C1orf174",0.198110461138256,-0.157015018077662,-0.0864687387860084,-0.158779267761604,0.490110608357958,-0.164965366570806,0.0630132584461709,0.644745822948451,0.718285704419032,0.182197633871887,0.172923509798567
"AJAP1",0.172163860648639,0.112436543813847,-0.749976947392007,-1.06837001726247,0.497152740943228,1.80981660595155,-0.103377694722541,-1.0508132144149,-0.79549392061174,-1.48395844769579,-0.266042049074218
"NPHP4",-0.110415816268441,0.00891538325790016,-0.21963359044621,-0.397501978721496,0.454181705011563,-0.3515401259325,-0.303207569544743,-0.0335456144289685,0.369032875272151,0.0146353815643229,-0.0569079350236423
"KCNAB2",0.0635292208130536,-0.0623150742436199,0.0984996149528829,-1.13203458105164,0.63465599318415,0.889879554631419,-0.0387012714604005,-0.0910101654258403,0.219024825036723,-0.214945204444843,0.0366582911991885
"CHD5",-0.62461336684785,0.415478675218951,-0.473907474180667,-0.580267921081792,0.468911420283306,-0.196050965942194,-0.336274104252655,-0.613522982830174,-0.273816939977488,-1.0862683265868,-0.330033198619736
"RPL22",0.302015604719373,-0.0419520351282996,0.442028561984113,0.321515119089236,0.101669310445819,0.0795539431269306,0.0635128468129783,0.245222810976146,0.370714656378273,0.409290718930408,0.229357153733498
"ICMT",-0.305339852262894,-0.178823138032733,0.126362883452075,-0.156024051845454,-0.200527601068105,0.543056959607505,0.539338197842194,0.0341577636147731,-0.376408833043372,0.139571475834102,0.016536380409809
"GPR153",0.119523171137326,-0.00720266293527577,-0.0678462319672028,-0.405014542306189,0.444827652297312,0.201782174318783,0.258896786442839,0.0630232640248723,-1.00547887633995,-0.0825964277081613,-0.0480085693035647
"ACOT7",-0.117854778485447,-0.138026677252903,0.387325608113343,-0.165979118576843,-0.428191482913485,-0.2130083069362,0.214754882580786,-0.0480427121486475,-0.735725345719008,0.190901318834345,-0.105384661250406
"TNFRSF25",0.163395487052903,0.648341054205486,-0.155917196440591,0.482419293997446,0.518795977373124,-0.44343471054711,0.596836276620674,-0.0738406624403289,-0.0478088351220843,-0.373605480752215,0.13151812039473
"PLEKHG5",0.742621928529222,0.141289385710345,-0.198555456775406,-1.20928294472917,0.157404648078957,-0.225313062371469,0.376696593552145,-0.441173702669465,-0.122515436078114,-0.0591056755981693,-0.0837933722351125
"NOL9",-0.183279112557618,-0.0457450911957595,-0.119628975347124,0.00238873443119455,-0.132339631366678,0.517648442378678,-0.0448138799272754,0.280952944368818,0.0921794146294804,-0.0999701780070598,0.0267392667406655
"ZBTB48",-0.20534815572082,0.145063180142745,-0.701830572261754,-0.272622311781172,-0.0322629545487631,-0.0157180417549123,0.0403301658279644,-0.143480359451231,0.0538555982022807,-0.0630103899566557,-0.119502384130232
"KLHL21",-0.391755108686408,-0.0687203901017379,-0.283097642149339,-0.159770278274245,0.183327046674156,0.91257090860977,-0.451707206021338,0.113917939518341,-0.294072221364363,-0.432854254164394,-0.0872161205959556
"PHF13",-0.0471140019041583,-0.0361686167858599,-0.468208671938734,0.339614122389802,0.670348796840162,-1.566017412255,-0.158386863971557,0.363190483951147,0.262651429334942,0.0516447196007946,-0.0588446014738465
"THAP3",-0.109035918325796,0.292642121325958,-0.0103893819978599,0.0518973863875506,0.0586642358723253,0.57355453674252,-0.14137535239588,-0.509412570341187,0.241289435538938,-0.0273133372423224,0.0420521155564246
"DNAJC11",-0.0703890935916271,0.00644170222574557,-0.253407454149934,1.25401455342618,0.103836223330669,-0.0704575877411354,0.0652251625942046,0.0630239745924908,-0.148879360883355,-0.157946750271383,0.0791461369531857
