"","res_list.IN_2.padj","res_list.IN_1.padj","res_list.IN.padj","res_list.nIN_1.padj","res_list.nIN.padj","res_list.nEN_1.padj","res_list.nEN.padj","res_list.IPC.padj","res_list.MGE.padj","res_list.RG.padj","Mean"
"LINC01409",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.989037105317567,0.999989100947748,0.997969180490262
"LINC01128",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.987055906501547,0.999989100947748,0.997721530638259
"AL645608.6",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.77213487722271,NA,0.966694587839927
"SAMD11",NA,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,NA,NA,0.998989460466179
"NOC2L",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.648057246287552,0.999989100947748,0.95534669811151
"AL645608.7",NA,NA,0.999533675599976,NA,1,0.991539091283908,0.999861033220845,1,NA,NA,0.998186760020946
"HES4",0.999779935325884,0.998920040238942,0.999533675599976,0.30214061324581,1,0.995552593510072,0.999861033220845,1,0.235689789929601,0.828133707627409,0.835961138869854
"ISG15",0.999779935325884,NA,0.999533675599976,NA,1,1,0.999861033220845,1,0.960448533672492,0.999989100947748,0.994951534845868
"AGRN",0.999779935325884,NA,0.999533675599976,NA,1,0.996162856494602,0.999861033220845,1,0.753918253553718,0.999989100947748,0.968655606892847
"C1orf159",0.999779935325884,NA,0.999533675599976,NA,1,0.933639336825547,0.999861033220845,1,0.99512198355415,0.999989100947748,0.990990633184269
"SDF4",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.769189166761904,0.999989100947748,0.970488188170804
"B3GALT6",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.967333491619302,0.999989100947748,0.995256228777978
"UBE2J2",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.976713716817926,0.966454959873868,0.992236989293571
"ACAP3",0.999779935325884,NA,0.999533675599976,NA,1,0.995552593510072,0.999861033220845,1,0.0143765250732967,0.997417399999717,0.875815145341224
