"","res_list.IN_2.pvalue","res_list.IN_1.pvalue","res_list.IN.pvalue","res_list.nIN_1.pvalue","res_list.nIN.pvalue","res_list.nEN_1.pvalue","res_list.nEN.pvalue","res_list.IPC.pvalue","res_list.MGE.pvalue","res_list.RG.pvalue","Mean"
"LINC01409",0.83705167245035,0.167490783681365,0.784812325651038,0.237691951188827,0.200443855212684,0.38620291148267,0.741436266302931,0.979082935766093,0.841959500416179,0.934682041188983,0.611085424334112
"LINC01128",0.652510213484007,0.403984394333815,0.435492907289502,0.390534014805872,0.336676607905693,0.0942198248790157,0.23187286752789,0.249873063239264,0.80783990943014,0.949372548566222,0.455237635146142
"AL645608.6",0.124527461130258,0.970648165011204,0.317354385576875,0.657416110514402,0.877144970973078,0.295052812403458,0.382392834411782,0.799184961247325,0.177559206470928,0.702302617549094,0.53035835252884
"SAMD11",0.967021467032988,0.998442245150758,0.976429725923396,0.969487702472656,0.842425144210634,0.134274545583031,0.661471126460326,0.885884952297916,0.417282701743817,0.152986424123886,0.700570603499941
"NOC2L",0.959707642757114,0.80174607346768,0.627243873068029,0.220855228719358,0.194378863979591,0.149598590663707,0.655846636966811,0.608425263472076,0.101464002894651,0.667911229103221,0.498717740509224
"AL645608.7",0.816200866507891,0.889931032798454,0.969618703816581,0.273435039180242,0.751725289829553,0.0551825792705209,0.475339914630898,0.702525059855971,0.424103150953448,0.616835596337786,0.597489723318135
"HES4",0.506511850392495,0.127453703756333,0.161452631084503,0.00756098797621046,0.14575409924129,0.640361474709423,0.534784607362392,0.142947853209169,0.0121104017796682,0.0957591172355284,0.237469672674701
"ISG15",0.332289838541784,0.953057090864805,0.777774388290491,0.109203028286627,0.780339297934083,0.98658851758942,0.814379279987905,0.778143572246024,0.52628704727227,0.928681305636601,0.698674336665001
"AGRN",0.59795671826314,0.293888855050331,0.959188476296629,0.150707259075514,0.407047108029211,0.888366203216936,0.848632591565207,0.207302071964139,0.163984003568944,0.387356651022947,0.4904429938053
"C1orf159",0.935203919746148,0.577678597624814,0.832840265060733,0.247460551910067,0.528403298733759,0.0240082926723766,0.403408653641737,0.508943164073084,0.927722818444459,0.396985166098222,0.53826547280054
"SDF4",0.951375418918554,0.360329010009816,0.136975220020048,0.245062184623799,0.53099632637082,0.740003129540174,0.540078129921148,0.538767495116753,0.174657204633484,0.393741929063223,0.461198604821782
"B3GALT6",0.8691457109786,0.759338221250621,0.492491753313236,0.022821312416559,0.896940966240835,0.846749467755335,0.739623613636927,0.612877466314819,0.587823856311043,0.410873709107108,0.623868607732508
"UBE2J2",0.4589871426096,0.854118832868843,0.786867725533108,0.0749038299224336,0.57848713960631,0.45710388318452,0.703291686043953,0.181628328396139,0.697498609096196,0.163290300927088,0.495617747818819
"ACAP3",0.518776278422461,0.790730698665121,0.758295751016049,0.77109668275852,0.547488093705064,0.845719832141623,0.195205935317615,0.915007039075793,0.000149913893011557,0.187500871442371,0.552997109643763
