cluster,comp,Estimate,Std. Error,df,t value,Pr(>|t|),padj
IN_2,groupDS,0.09869766331083246,0.09697082127927681,3.000310096367249,1.0178078519783011,0.3836970966816896,0.5481387095452709
IN_1,groupDS,-0.005433702064998523,0.1448589856289433,2.9995685785377195,-0.037510286582545634,0.9724349267415134,0.9724349267415134
IN,groupDS,0.2936884135191097,0.22685595987954355,3.0002769616971996,1.2946030321400988,0.28608812820484153,0.5481387095452709
nIN_1,groupDS,-0.012787833816991848,0.009135930257500974,2.991980695696743,-1.399729798341281,0.256308664666241,0.5481387095452709
nIN,groupDS,0.006267523671523286,0.049077108685172434,2.998934499075106,0.1277076795972066,0.9064626772236133,0.9724349267415134
nEN_1,groupDS,-0.11978899536860511,0.09095314411295458,3.000229819361188,-1.3170407305528584,0.2793838836988679,0.5481387095452709
nEN,groupDS,-0.0814261421379246,0.11959620216226031,3.0006152957991774,-0.6808422062387142,0.5448037171492105,0.6810046464365132
IPC,groupDS,-0.05333953657801247,0.019517460385637217,2.986100081174091,-2.732913787147467,0.072134051634096,0.36067025817048004
MGE,groupDS,0.028328163821817968,0.026837430626266454,3.002432788288221,1.0555467926982733,0.36860888158315464,0.5481387095452709
RG,groupDS,-0.15444940520617956,0.034243877724244566,2.9781539659949865,-4.510277908650218,0.020685346661061216,0.20685346661061216
