ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0016358,dendrite development,16/229,237/18903,3.373059736343866e-8,9.009442555774465e-5,8.20186104310982e-5,ELAVL4/DNM3/CTNNA2/KLF7/TNIK/ACTL6B/LZTS1/CPEB3/DCLK1/MAP1A/PARP6/SEZ6/CDK5R1/NEDD4L/MAPK8IP2/HPRT1,16
GO:0048813,dendrite morphogenesis,12/229,140/18903,1.3950943516740073e-7,1.863148506660637e-4,1.6961410275615564e-4,ELAVL4/DNM3/CTNNA2/KLF7/TNIK/LZTS1/DCLK1/PARP6/CDK5R1/NEDD4L/MAPK8IP2/HPRT1,12
GO:0042391,regulation of membrane potential,20/229,431/18903,3.2222210578219305e-7,2.8688508151474587e-4,2.61169496265567e-4,PRKCZ/GRIK3/MLLT11/KCNK3/KCNH7/SCN3A/PID1/KCNH8/ANK2/KMT2A/SCN3B/SCN8A/AKAP6/GABRB3/SEZ6/MAPT/NEDD4L/ATP1A3/CACNG2/MAPK8IP2,20
GO:0050804,modulation of chemical synaptic transmission,20/229,448/18903,5.925933813361225e-7,3.2779928736330864e-4,2.9841626586109786e-4,PRKCZ/GRIK3/ELAVL4/PLCL1/SLC6A1/ERC2/PFN2/DGKI/LZTS1/APBA1/CPEB3/KMT2A/MAP1A/RARA/MAPT/CACNG4/CACNG8/SNAP25/CACNG2/MAPK8IP2,20
GO:0099177,regulation of trans-synaptic signaling,20/229,449/18903,6.136265207100498e-7,3.2779928736330864e-4,2.9841626586109786e-4,PRKCZ/GRIK3/ELAVL4/PLCL1/SLC6A1/ERC2/PFN2/DGKI/LZTS1/APBA1/CPEB3/KMT2A/MAP1A/RARA/MAPT/CACNG4/CACNG8/SNAP25/CACNG2/MAPK8IP2,20
GO:0051899,membrane depolarization,9/229,84/18903,8.03744237341682e-7,3.5780014298993876e-4,3.257279277647869e-4,PRKCZ/MLLT11/SCN3A/ANK2/KMT2A/SCN3B/SCN8A/NEDD4L/CACNG2,9
GO:0007611,learning or memory,15/229,273/18903,1.2807596282767762e-6,4.5086644986993754e-4,4.104520282959489e-4,PRKCZ/ELAVL4/SLC6A1/CAMK4/EGFR/CPEB3/KMT2A/MAP1A/MAPT/INSR/PAK5/SNAP25/SYNJ1/RCAN1/MAPK8IP2,15
GO:0050808,synapse organization,19/229,432/18903,1.4304393471719468e-6,4.5086644986993754e-4,4.104520282959489e-4,DNM3/CTNNA2/LHFPL4/SLC6A1/BSN/CAMKV/ERC2/PFN2/LRRN3/INA/KIRREL3/GABRB3/SEZ6L2/SEZ6/CDK5R1/MAPT/INSR/CACNG2/ZC4H2,19
GO:0050890,cognition,16/229,314/18903,1.5192055592772137e-6,4.5086644986993754e-4,4.104520282959489e-4,PRKCZ/ELAVL4/SLC6A1/CAMK4/EGFR/CPEB3/KMT2A/MAP1A/MAPT/INSR/PAK5/SNAP25/SYNJ1/RCAN1/DOP1B/MAPK8IP2,16
GO:0003357,noradrenergic neuron differentiation,4/229,11/18903,6.4769662440353085e-6,0.0017299976837818311,0.001574925476181217,SOX11/SOX4/INSM1/ZC4H2,4
GO:0010975,regulation of neuron projection development,18/229,446/18903,8.943422980385406e-6,0.002171625707328129,0.0019769671851378266,ACAP3/ELAVL4/DNM3/CCDC88A/CTNNA2/TNIK/CRMP1/LZTS1/STMN2/SHTN1/PARP6/SEZ6/CDK5R1/MAPT/NEDD4L/SNAP25/TIAM1/KREMEN1,18
GO:0001764,neuron migration,11/229,177/18903,1.086403003843361e-5,0.0024181520193880144,0.0022013955604194423,ACAP3/ARHGEF2/ASTN1/CTNNA2/CDK5R2/SCRT1/SHTN1/KIRREL3/DCLK1/ADGRG1/CDK5R1,11
