ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0003002,regionalization,52/817,360/18903,1.7428705565589986e-14,8.799753440066384e-11,7.644780641243523e-11,RNF220/DMRTA2/WLS/BTG2/AIDA/GREM2/SIX3/OTX1/EMX1/GLI2/TBR1/LRP2/DLX1/DLX2/NEUROD1/EOMES/FEZF2/IFT57/HES1/LEF1/FGF2/SPRY1/SFRP2/ISL1/MEF2C/NEUROG1/LFNG/SP8/GLI3/FEZF1/SMO/DMRT3/PCSK5/CRB2/LHX2/EGR2/EMX2/PAX6/LRP4/ZBTB16/DDIT3/PCDH8/MESP1/NR2F2/PCSK6/TMEM107/LHX1/FUZ/AURKA/LAMA5/WNT7B/GPC3,52
GO:0007389,pattern specification process,59/817,472/18903,1.9631462900369562e-13,3.6458254993580885e-10,3.167308764804944e-10,RNF220/DMRTA2/WLS/BTG2/AIDA/GREM2/SIX3/OTX1/EMX1/GLI2/TBR1/LRP2/DLX1/DLX2/NEUROD1/ERBB4/EOMES/FEZF2/IFT57/HES1/LEF1/FGF2/SPRY1/SFRP2/ISL1/MEF2C/NEUROG1/UNCX/LFNG/SP8/DNAH11/GLI3/FEZF1/SMO/STC1/DMRT3/DNAI1/PCSK5/CRB2/LHX2/EGR2/EMX2/PAX6/LRP4/ZBTB16/DDIT3/PCDH8/MESP1/NR2F2/PCSK6/TMEM107/LHX1/FUZ/AURKA/BMP7/LAMA5/MFNG/WNT7B/GPC3,59
GO:0030900,forebrain development,52/817,383/18903,2.1662658938550735e-13,3.6458254993580885e-10,3.167308764804944e-10,HDAC1/DMRTA2/NHLH2/NOTCH2NLC/BTG2/PROX1/DISC1/SIX3/OTX1/EMX1/GLI2/CXCR4/NR4A2/TBR1/LRP2/DLX1/DLX2/NEUROD1/ERBB4/CDK5R2/EOMES/FEZF2/TMEM108/SOX2/HES1/LEF1/FGF2/ISL1/MDGA1/POU3F2/UNCX/NEUROD6/GLI3/EGFR/SEMA3E/FEZF1/SMO/NRG1/NTRK2/LHX2/SLIT1/EMX2/BNIP3/PAX6/LHX5/NR2F2/NDE1/LHX1/NOTCH3/AXL/WNT7B/SOX3,52
GO:0061351,neural precursor cell proliferation,30/817,149/18903,1.3442392967611502e-12,1.6967660523367618e-9,1.4740645130536086e-9,DMRTA2/NES/BTG2/PROX1/DISC1/SIX3/EMX1/LRP2/TRIM71/LEF1/EGF/FGF2/TEAD3/VEGFA/POU3F2/GLI3/SMO/PTN/FZD6/LHX2/VAX1/EMX2/PAX6/SOX5/NEUROD4/LHX5/EML1/NDE1/LHX1/INSM1,30
GO:0045165,cell fate commitment,42/817,282/18903,2.1735252810668165e-12,2.194825828821271e-9,1.9067536518327206e-9,HDAC1/DMRTA2/BARHL2/PROX1/GLI2/TBR1/DLX1/DLX2/NEUROD1/ERBB4/EOMES/FEZF2/SOX2/HES1/FGF2/SFRP2/ISL1/MEF2C/NEUROG1/TNXB/TEAD3/POU3F2/POU6F2/GLI3/SMO/EBF2/NRG1/DMRT3/GAS1/CTSL/TCF7L2/SOX6/PAX6/SOX5/NEUROD4/LATS2/ONECUT1/MESP1/NR2F2/NOTCH3/EYA2/WNT7B,42
GO:0007411,axon guidance,37/817,236/18903,9.63606568878954e-12,7.903650848520647e-9,6.866292040275935e-9,LHX9/GLI2/TBR1/CDK5R2/CHL1/CNTN4/FEZF2/BOC/UNC5C/ISL1/EFNA5/SEMA6A/SLIT3/VEGFA/GLI3/SEMA3E/SEMA3D/FEZF1/SMO/LHX2/PRKCQ/EGR2/UNC5B/LGI1/SLIT1/VAX1/RHOG/PAX6/CNTN5/ARHGEF25/LHX1/NOTCH3/VASP/FLRT3/BMP7/LAMA5/ANOS1,37
GO:0097485,neuron projection guidance,37/817,237/18903,1.0957725478242131e-11,7.903650848520647e-9,6.866292040275935e-9,LHX9/GLI2/TBR1/CDK5R2/CHL1/CNTN4/FEZF2/BOC/UNC5C/ISL1/EFNA5/SEMA6A/SLIT3/VEGFA/GLI3/SEMA3E/SEMA3D/FEZF1/SMO/LHX2/PRKCQ/EGR2/UNC5B/LGI1/SLIT1/VAX1/RHOG/PAX6/CNTN5/ARHGEF25/LHX1/NOTCH3/VASP/FLRT3/BMP7/LAMA5/ANOS1,37
GO:0021871,forebrain regionalization,12/817,24/18903,6.571917677052547e-11,4.1477015439297885e-8,3.6033132842471005e-8,DMRTA2/SIX3/EMX1/EOMES/FEZF2/GLI3/FEZF1/LHX2/EMX2/PAX6/LHX1/WNT7B,12
GO:0021537,telencephalon development,37/817,255/18903,9.763568007154264e-11,5.4773616520135426e-8,4.758454723486763e-8,HDAC1/DMRTA2/NOTCH2NLC/BTG2/PROX1/DISC1/SIX3/EMX1/CXCR4/TBR1/DLX1/DLX2/NEUROD1/ERBB4/CDK5R2/EOMES/FEZF2/TMEM108/HES1/LEF1/MDGA1/POU3F2/UNCX/NEUROD6/GLI3/EGFR/FEZF1/SMO/NRG1/NTRK2/LHX2/EMX2/BNIP3/PAX6/LHX5/NDE1/LHX1,37
GO:2000177,regulation of neural precursor cell proliferation,21/817,90/18903,1.750384175518599e-10,8.243964932439455e-8,7.161939701134192e-8,DMRTA2/NES/BTG2/PROX1/DISC1/SIX3/EMX1/LRP2/TRIM71/EGF/FGF2/VEGFA/GLI3/SMO/PTN/LHX2/VAX1/PAX6/LHX5/LHX1/INSM1,21
