ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0021537,telencephalon development,15/103,255/18903,8.37896489218592e-12,1.872698653403553e-8,1.589357340602003e-8,DMRTA2/TBR1/EOMES/FEZF2/ZIC1/HES1/EPHA5/ID4/UNCX/LPAR1/LHX2/EMX2/SLC38A2/LHX5/LHX1,15
GO:0030900,forebrain development,17/103,383/18903,2.6964390751328377e-11,3.013270666460946e-8,2.5573595859944073e-8,DMRTA2/NHLH2/TBR1/EOMES/FEZF2/ZIC1/HES1/EPHA5/ID4/UNCX/SEMA3E/LPAR1/LHX2/EMX2/SLC38A2/LHX5/LHX1,17
GO:0002181,cytoplasmic translation,12/103,161/18903,7.554995045894515e-11,5.6284713091914134e-8,4.776877569369094e-8,RPS7/RPS3A/RPL8/RPS24/RPS3/YBX3/RPS15A/RPL13/RPL17/RPL18A/RPL18/RPL10,12
GO:0021543,pallium development,11/103,174/18903,2.805788086643176e-9,1.2550562307313245e-6,1.065164878265794e-6,DMRTA2/TBR1/EOMES/FEZF2/ZIC1/EPHA5/ID4/LHX2/EMX2/SLC38A2/LHX5,11
GO:0021871,forebrain regionalization,6/103,24/18903,2.807732059801621e-9,1.2550562307313245e-6,1.065164878265794e-6,DMRTA2/EOMES/FEZF2/LHX2/EMX2/LHX1,6
GO:0021761,limbic system development,9/103,111/18903,9.466315764561963e-9,3.526202622299331e-6,2.992684387322923e-6,NHLH2/TBR1/FEZF2/ZIC1/EPHA5/ID4/SEMA3E/EMX2/LHX5,9
GO:0021879,forebrain neuron differentiation,6/103,43/18903,1.1696657159009266e-7,3.734575535769387e-5,3.169530255719504e-5,NHLH2/TBR1/FEZF2/HES1/SEMA3E/LHX5,6
GO:0007389,pattern specification process,14/103,472/18903,2.733215604591544e-7,7.635921095327626e-5,6.480598051939425e-5,DMRTA2/TBR1/EOMES/FEZF2/ZIC1/HES1/HEY2/UNCX/SEMA3C/LHX2/EGR2/EMX2/LHX1/MID1,14
GO:0021872,forebrain generation of neurons,6/103,52/18903,3.754302445982788e-7,9.323184407523924e-5,7.912576617147351e-5,NHLH2/TBR1/FEZF2/HES1/SEMA3E/LHX5,6
GO:0021953,central nervous system neuron differentiation,9/103,174/18903,4.6096704185221027e-7,1.0302613385396899e-4,8.743816941238768e-5,NHLH2/TBR1/EOMES/FEZF2/HES1/ID4/SEMA3E/LHX5/LHX1,9
GO:0021978,telencephalon regionalization,4/103,13/18903,5.723662407968128e-7,1.1629441347098879e-4,9.869894410678057e-5,DMRTA2/EOMES/LHX2/EMX2,4
GO:0050767,regulation of neurogenesis,12/103,377/18903,9.950265153352617e-7,1.853236884811925e-4,1.5728401584510016e-4,DMRTA2/FEZF2/HES1/ID4/HEY2/SEMA3C/SEMA3E/LHX2/EGR2/YAP1/METRN/ID1,12
