ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0042391,regulation of membrane potential,46/699,431/18903,1.1324458485750981e-10,5.01333777164196e-7,4.788457867080178e-7,NPPA/PIAS3/HCN3/NOS1AP/ADORA1/KCNK2/RYR2/KCNK3/MTLN/KCNJ3/KCNH7/SCN2A/SCN1A/FGF12/GABRG1/SNCA/MEF2C/GRIA1/GABRB2/CNR1/GRM1/STX1A/RIMS2/GRIK4/GRIN2B/NALCN/SLC8A3/GABRB3/GABRA5/GABRG3/CHRNA7/CTNS/SEZ6/ASIC2/CNTNAP1/PIEZO2/DSC2/NETO1/SLC1A6/CXADR/APP/RTL10/CACNG2/DMD/FHL1/GABRA3,46
GO:0050808,synapse organization,43/699,432/18903,3.9756923100407425e-9,8.800194928275183e-6,8.405450531280875e-6,DLGAP3/SEMA4A/BCAN/NOS1AP/DNM3/PPFIA4/ZNF804A/CAMKV/SNCA/SLC7A11/MEF2C/PCDHB10/GABRB2/SNCB/TPBG/ADGRB1/TNC/DAB2IP/SPOCK2/LRRC4C/KIRREL3/GRIN2B/PTPRO/PCDH8/SLC8A3/SIPA1L1/GABRB3/CHRNA7/UNC13C/SHISA6/SEZ6/ASIC2/SRCIN1/CNTNAP1/APP/DSCAM/DIP2A/SEZ6L/CACNG2/FRMPD4/IL1RAPL1/IL1RAPL2/SLITRK4,43
GO:0050804,modulation of chemical synaptic transmission,42/699,448/18903,3.420600867255561e-8,4.032962968052254e-5,3.8520590735477046e-5,DLGAP3/PLPPR4/ADORA1/KMO/GRM7/BCHE/SNCA/SLC7A11/RASGRF2/MEF2C/CAMK2A/GRIA1/SCGN/CNR1/GRM1/STX1A/CHRM2/PLAT/RIMS2/ADCY8/ADGRB1/PHF24/CPEB3/LGI1/LRRC4C/GRIK4/NRGN/GRIN2B/NALCN/JPH4/SLC8A3/SIPA1L1/CHRNA7/UNC13C/SHISA9/CACNG3/SHISA6/NETO1/APP/SYN3/CACNG2/IQSEC2,42
GO:0099177,regulation of trans-synaptic signaling,42/699,449/18903,3.643969250555459e-8,4.032962968052254e-5,3.8520590735477046e-5,DLGAP3/PLPPR4/ADORA1/KMO/GRM7/BCHE/SNCA/SLC7A11/RASGRF2/MEF2C/CAMK2A/GRIA1/SCGN/CNR1/GRM1/STX1A/CHRM2/PLAT/RIMS2/ADCY8/ADGRB1/PHF24/CPEB3/LGI1/LRRC4C/GRIK4/NRGN/GRIN2B/NALCN/JPH4/SLC8A3/SIPA1L1/CHRNA7/UNC13C/SHISA9/CACNG3/SHISA6/NETO1/APP/SYN3/CACNG2/IQSEC2,42
GO:0051932,"synaptic transmission, GABAergic",13/699,57/18903,1.1795844605373987e-7,1.0444040813598128e-4,9.975559532586801e-5,ADORA1/GABRG1/GABRB2/TPBG/CNR1/PHF24/GABBR2/NALCN/GABRB3/GABRA5/GABRG3/SYN3/GABRA3,13
GO:0060078,regulation of postsynaptic membrane potential,20/699,145/18903,4.001794427781805e-7,2.9526573219650087e-4,2.820211967789388e-4,ADORA1/GABRG1/SNCA/MEF2C/GRIA1/GABRB2/GRM1/STX1A/RIMS2/GRIK4/GRIN2B/SLC8A3/GABRB3/GABRA5/GABRG3/CHRNA7/SEZ6/NETO1/APP/GABRA3,20
GO:1904062,regulation of cation transmembrane transport,36/699,394/18903,6.120525354341937e-7,3.870795106238822e-4,3.697165465923543e-4,NPPA/HPCA/PDE4B/PDZK1/HCN3/NOS1AP/ATP2B4/RYR2/KCNK3/DPP10/FGF12/KCNIP4/SNCA/ATPSCKMT/RASGRF2/MEF2C/KCNIP1/ADCYAP1R1/THY1/GRIN2B/NOS1/FGF14/JPH4/SHISA9/CACNG3/NETO2/SHISA6/NETO1/TMC2/LIME1/APP/IFNGR2/CACNG2/DMD/FHL1/CLIC2,36
GO:2001257,regulation of cation channel activity,23/699,197/18903,1.138874292345986e-6,6.3022456152696e-4,6.019550042570824e-4,NPPA/HPCA/PDE4B/HCN3/NOS1AP/KCNK3/FGF12/ATPSCKMT/RASGRF2/MEF2C/NOS1/FGF14/JPH4/SHISA9/CACNG3/NETO2/SHISA6/NETO1/APP/IFNGR2/CACNG2/DMD/CLIC2,23
GO:0048167,regulation of synaptic plasticity,23/699,207/18903,2.6879102048377265e-6,0.001322153164090735,0.0012628462330799002,ADORA1/SNCA/RASGRF2/MEF2C/CAMK2A/GRIA1/SCGN/PLAT/RIMS2/ADCY8/ADGRB1/CPEB3/NRGN/GRIN2B/JPH4/SLC8A3/SIPA1L1/CHRNA7/UNC13C/SHISA9/SHISA6/NETO1/APP,23
GO:0060079,excitatory postsynaptic potential,17/699,124/18903,3.2000363797417995e-6,0.0014166561053116946,0.0013531101197287166,ADORA1/GABRG1/SNCA/MEF2C/GABRB2/STX1A/RIMS2/GRIN2B/SLC8A3/GABRB3/GABRA5/GABRG3/CHRNA7/SEZ6/NETO1/APP/GABRA3,17
GO:0007214,gamma-aminobutyric acid signaling pathway,8/699,28/18903,5.4110262982592715e-6,0.0021776921293085267,0.002080008865082057,GABRG1/GABRB2/PHF24/GABBR2/GABRB3/GABRA5/GABRG3/GABRA3,8
