ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0006261,DNA-templated DNA replication,25/844,166/18903,9.486748349292156e-8,4.6883510342201837e-4,4.259050706287479e-4,ORC1/GEN1/POLQ/BCL6/ZGRF1/FBXO5/DBF4/GINS4/MCM4/TONSL/MCM10/E2F8/FAM111A/FEN1/MRE11/DDX11/E2F7/RFC5/ORC6/CDT1/LIG3/EME1/RBBP8/MCM8/CDC45,25
GO:0006260,DNA replication,34/844,286/18903,2.028872270338038e-7,5.013343380005292e-4,4.554284333153544e-4,ID3/ORC1/DTL/GEN1/POLQ/BCL6/ZGRF1/FBXO5/DBF4/ESCO2/GINS4/MCM4/TONSL/NFIB/MCM10/E2F8/FAM111B/FAM111A/FEN1/MRE11/CHEK1/DDX11/E2F7/RFC5/PIF1/RMI2/ORC6/CDT1/LIG3/EME1/RBBP8/MCM8/CDC45/TSPYL2,34
GO:0048732,gland development,43/844,441/18903,1.3847470780103327e-6,0.0022811400198423544,0.00207226185533827,EPHA2/WLS/TGFBR3/TGFB2/XDH/HK2/BCL2L11/CFLAR/ERBB4/SERPINE2/HES1/MSX1/LEF1/PRLR/ISL1/OTP/RREB1/SRF/COBL/CRH/SULF1/NFIB/TNC/MGMT/E2F8/SLC29A2/CCND1/E2F7/CYP19A1/ONECUT1/ATP2C2/SLC7A5/APRT/CCDC40/CEACAM1/BMP2/CEBPB/AURKA/BMP7/LRP5L/RHBDD3/TSPO/WNT7B,43
GO:0090068,positive regulation of cell cycle process,30/844,260/18903,1.9588061846341013e-6,0.0024201050411154323,0.002198502204595906,KIF14/DYRK3/DTL/GEN1/NCAPH/ECT2/MSX1/PLK4/CCN2/FBXO5/DBF4/NCAPG2/ZNF16/STOX1/E2F8/FEN1/INCENP/CDCA5/CCND1/DDX11/ESPL1/E2F7/SMPD3/CDT1/RAD51C/CDC25B/FAM83D/AURKA/ADAMTS1/CHEK2,30
GO:0000280,nuclear division,44/844,481/18903,5.59491745182548e-6,0.004509512016652248,0.004096587520718618,KIF2C/KIF14/NEK2/GEN1/NCAPH/BCL2L11/KLHDC8B/MSX1/CENPE/MND1/SPDL1/SYCP2L/CUL9/TTK/FBXO5/FIGNL1/NCAPG2/ARHGEF10/CDCA2/ESCO2/TEX15/MYBL1/RAD54B/KIFC2/KIF11/INCENP/CDCA5/MRE11/CHEK1/ESPL1/KMT5A/PKMYT1/SMPD3/CDT1/PSMC3IP/KIF18B/EME1/RAD51C/BRIP1/CDC25B/MYBL2/AURKA/BMP7/CHEK2,44
GO:0007613,memory,18/844,120/18903,6.178893439179549e-6,0.004509512016652248,0.004096587520718618,LMX1A/RGS14/SRF/RELN/CALB1/ADCY8/VLDLR/ITGA8/ABCC8/FEN1/NPAS4/LGMN/PAK6/GRIN2A/NTAN1/JPH3/NETO1/CEBPB,18
GO:0045787,positive regulation of cell cycle,36/844,362/18903,6.3874107884592754e-6,0.004509512016652248,0.004096587520718618,KIF14/DYRK3/DTL/TGFB2/GEN1/NCAPH/BCL2L11/ECT2/HES1/MSX1/PLK4/CCN2/FBXO5/DBF4/NCAPG2/EIF4EBP1/ZNF16/STOX1/E2F8/FEN1/INCENP/CDCA5/CCND1/CHEK1/DDX11/ESPL1/E2F7/LGMN/SMPD3/CDT1/RAD51C/CDC25B/FAM83D/AURKA/ADAMTS1/CHEK2,36
GO:0060384,innervation,8/844,26/18903,1.1644124976461611e-5,0.00719315820420916,0.0065344990821853645,VCAM1/SERPINE2/ISL1/GABRB2/SULF1/SLITRK6/NPTX1/SULF2,8
GO:0030198,extracellular matrix organization,32/844,318/18903,1.6259268840692805e-5,0.007751841215590208,0.007042024917355479,CCN1/COL24A1/HMCN1/TGFB2/EXOC8/CFLAR/IMPG2/PHLDB2/ADAMTS3/ADAMTS2/CCN2/LAMB1/LOXL2/SULF1/MATN2/COL22A1/ADAMTSL1/B4GALT1/COL27A1/ITGA8/SPOCK2/SERPINH1/ADAMTS20/COL4A1/SMOC1/FLRT2/MYO1E/SMPD3/MFAP4/BMP2/SULF2/ADAMTS1,32
GO:2000027,regulation of animal organ morphogenesis,18/844,129/18903,1.7193379243822638e-5,0.007751841215590208,0.007042024917355479,DVL1/WNT2B/PRICKLE2/MSX1/RSPO3/SULF1/FZD6/RSPO2/DMRT3/ROR2/SAPCD2/STOX1/LGR4/PRICKLE1/NKD1/LHX1/BMP2/BMP7,18
GO:0043062,extracellular structure organization,32/844,319/18903,1.7320432738407984e-5,0.007751841215590208,0.007042024917355479,CCN1/COL24A1/HMCN1/TGFB2/EXOC8/CFLAR/IMPG2/PHLDB2/ADAMTS3/ADAMTS2/CCN2/LAMB1/LOXL2/SULF1/MATN2/COL22A1/ADAMTSL1/B4GALT1/COL27A1/ITGA8/SPOCK2/SERPINH1/ADAMTS20/COL4A1/SMOC1/FLRT2/MYO1E/SMPD3/MFAP4/BMP2/SULF2/ADAMTS1,32
GO:0045229,external encapsulating structure organization,32/844,321/18903,1.963467883399787e-5,0.007751841215590208,0.007042024917355479,CCN1/COL24A1/HMCN1/TGFB2/EXOC8/CFLAR/IMPG2/PHLDB2/ADAMTS3/ADAMTS2/CCN2/LAMB1/LOXL2/SULF1/MATN2/COL22A1/ADAMTSL1/B4GALT1/COL27A1/ITGA8/SPOCK2/SERPINH1/ADAMTS20/COL4A1/SMOC1/FLRT2/MYO1E/SMPD3/MFAP4/BMP2/SULF2/ADAMTS1,32
GO:0070482,response to oxygen levels,33/844,337/18903,2.1099058718838805e-5,0.007751841215590208,0.007042024917355479,ENO1/PLOD1/SLC2A1/AK4/TGFBR3/VCAM1/TGFB2/HK2/CXCR4/CFLAR/NPPC/FAM162A/SRF/CCN2/CHCHD2/GNGT1/LOXL2/STC1/LPAR1/STOX1/KCNMA1/PDLIM1/CRYAB/FOS/CPEB1/SLC7A5/CYBA/BRIP1/CYGB/PMAIP1/BMP2/BMP7/PGK1,33
