ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0007626,locomotory behavior,26/622,197/18903,1.7132668611386181e-9,7.385893438368583e-6,6.813391790928105e-6,ASTN1/ALK/PRKCE/MEIS1/SCN1A/GAD1/ZIC1/FGF12/GLRB/ARRDC3/GRM1/PENK/DRD4/EPS8/PDE1B/KLHL1/SEZ6/NAGLU/SPTBN4/PAK5/OPRL1/APP/RCAN1/DSCAM/CSTB/HPRT1,26
GO:0001505,regulation of neurotransmitter levels,27/622,219/18903,3.797440955753866e-9,8.185383980127458e-6,7.5509115425463715e-6,SV2A/ALDH9A1/GAD1/SLC6A11/SLC6A1/WNT7A/SLC1A3/CAMK2A/ALDH5A1/GRM4/ACHE/GAD2/ADRA2A/DRD4/SLC1A2/STX3/SYT7/PDE1B/NOS1/HTR2A/UNC13C/BAIAP3/PRKCB/PRKCG/SLC32A1/RIMS4/COMT,27
GO:0042391,regulation of membrane potential,39/622,431/18903,1.2297489620351058e-8,1.4125728616237216e-5,1.3030803138151901e-5,KCND3/HCN3/NOS1AP/KCNK2/KCNJ3/KCNH7/SCN3A/SCN2A/SCN1A/WNT7A/KCNH8/FGF12/GLRB/GABRA1/GABRG2/GRM1/KCTD7/KCNIP2/INSYN2A/DRD4/KCNQ1/UCP2/SCN3B/KCNA5/CUX2/KCNH5/GABRA5/SEZ6/CACNA1G/PIEZO2/SLC8A2/MYH14/RIMS4/APP/GRIK1/CACNG2/NLGN3/TRPC5/GABRA3,39
GO:0050808,synapse organization,39/622,432/18903,1.310668393990927e-8,1.4125728616237216e-5,1.3030803138151901e-5,DLGAP3/NFIA/SEMA4A/BCAN/NOS1AP/DNM3/FZD5/SLC6A1/WNT7A/SEMA3F/PDZRN3/SLITRK3/GLRB/GABRA1/GABRG2/LRFN2/CAMK2B/ACHE/CNTN5/KIRREL3/CUX2/LRFN5/UNC13C/NTRK3/NTN1/SEZ6/SRCIN1/NEUROD2/SLC8A2/APP/DSCAM/DIP2A/SEZ6L/CACNG2/NLGN3/DRP2/CHRDL1/SLITRK4/SLITRK2,39
GO:0050804,modulation of chemical synaptic transmission,38/622,448/18903,1.040778942838405e-7,7.920798883202034e-5,7.306835190452157e-5,DLGAP3/PRKCE/CNTN4/GRM7/SLC6A1/WNT7A/SLC1A3/CAMK2A/GRM4/LRFN2/GRM1/CAMK2B/ACHE/GRM8/PHF24/CPEB3/LGI1/ADRA2A/STX3/SYT7/CUX2/HTR2A/UNC13C/BAIAP3/PRKCB/CNTNAP4/NEUROD2/DGKE/SLC8A2/PRKCG/CACNG8/RIMS4/APP/GRIK1/CACNG2/IQSEC2/NLGN3/CHRDL1,38
GO:0099177,regulation of trans-synaptic signaling,38/622,449/18903,1.1024076385806588e-7,7.920798883202034e-5,7.306835190452157e-5,DLGAP3/PRKCE/CNTN4/GRM7/SLC6A1/WNT7A/SLC1A3/CAMK2A/GRM4/LRFN2/GRM1/CAMK2B/ACHE/GRM8/PHF24/CPEB3/LGI1/ADRA2A/STX3/SYT7/CUX2/HTR2A/UNC13C/BAIAP3/PRKCB/CNTNAP4/NEUROD2/DGKE/SLC8A2/PRKCG/CACNG8/RIMS4/APP/GRIK1/CACNG2/IQSEC2/NLGN3/CHRDL1,38
GO:0045664,regulation of neuron differentiation,23/622,196/18903,1.3575519034301239e-7,8.36058036526752e-5,7.712527956630087e-5,RAP1GAP/ARHGEF2/BRINP2/BRINP3/ALK/SIX3/MEIS1/DLX1/DLX2/CNTN4/BMP6/ZHX2/TRIM32/GDPD5/DTX1/ZFHX2/SH3GL3/CYB5D2/NEUROD2/APP/TIAM1/PCP4/TRPC5,23
GO:0001654,eye development,34/622,388/18903,2.3011083120331852e-7,1.1472904531737011e-4,1.0583607007997272e-4,RPE65/ATP2B4/SIX3/MEIS1/SLC4A5/NPHP1/DLX1/DLX2/COL5A2/FZD5/WNT7A/THRB/RARB/PROM1/FAT1/PDGFRB/BMP6/EGFR/ACHE/RDH10/ZHX2/VAX1/SOX1/MEIS2/NR2E3/ADAMTS18/MAF/NAGLU/LAMA1/PPP1R13L/DZANK1/HMGN1/DSCAM/CHRDL1,34
GO:0030534,adult behavior,19/622,143/18903,2.395178399110023e-7,1.1472904531737011e-4,1.0583607007997272e-4,ALK/SCN1A/ZIC1/FGF12/GLRB/GABRG2/NPY/DRD4/SLC1A2/EPS8/HTR2A/KLHL1/ZFHX2/NRXN3/SEZ6/SPTBN4/APP/CSTB/NLGN3,19
GO:0150063,visual system development,34/622,392/18903,2.9275382507642204e-7,1.2620617399044555e-4,1.1642357380407606e-4,RPE65/ATP2B4/SIX3/MEIS1/SLC4A5/NPHP1/DLX1/DLX2/COL5A2/FZD5/WNT7A/THRB/RARB/PROM1/FAT1/PDGFRB/BMP6/EGFR/ACHE/RDH10/ZHX2/VAX1/SOX1/MEIS2/NR2E3/ADAMTS18/MAF/NAGLU/LAMA1/PPP1R13L/DZANK1/HMGN1/DSCAM/CHRDL1,34
