ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0061564,axon development,88/1059,490/18903,9.009627925147029e-23,4.448053306645088e-19,3.9670814327252657e-19,DRAXIN/STMN1/EPHA10/NEXN/PLPPR4/TSPAN2/SEMA6C/S100A6/TRIM46/CAMSAP2/NFASC/CNTN2/PLXNA2/VASH2/NRXN1/CTNNA2/KLF7/MAP2/CDK5R2/EPHA4/CNTN4/GRM7/WNT7A/TOP2B/LRTM1/ROBO2/EPHA3/EPHA6/GAP43/KALRN/SLITRK3/CRMP1/SEMA5A/ISL1/DHFR/FSTL4/CNR1/AUTS2/SEMA3E/DLX5/PLXNA4/EPHB6/UNC5D/TNC/TRIM32/OLFM1/LGI1/CRTAC1/SHTN1/VAX1/BRSK2/LRRC4C/RTN4RL2/CNTN5/DSCAML1/PTPRO/ARHGEF25/DCLK1/SLITRK1/SLITRK6/NRXN3/FLRT2/BCL11B/MAP1A/SEMA6D/ISLR2/TUBB3/CDK5R1/CNTNAP1/RND2/MAPT/APLP1/NUMBL/VSTM2L/CHODL/NCAM2/TIAM1/ADARB1/KREMEN1/ARX/OPHN1/PAK3/SLC9A6/MCF2/SLITRK4/SLITRK2/L1CAM/GDI1,88
GO:0050804,modulation of chemical synaptic transmission,81/1059,448/18903,3.194410499197906e-21,6.079707458929368e-18,5.422303401959755e-18,PRKCZ/DLGAP3/GRIK3/RIMS3/ELAVL4/PLPPR4/SYT11/ATP1A2/CNTN2/NRXN1/CACNB4/PLCL1/EPHA4/CNTN4/GRM7/SLC6A1/WNT7A/ERC2/TMEM108/PFN2/BCHE/CPLX1/HCN1/PLK2/GRIA1/CPLX2/SCGN/GRM4/LRFN2/CNR1/GRM1/AKAP12/STX1A/VGF/GRM8/DGKI/DLGAP2/LZTS1/ADRA1A/PTK2B/RIMS2/ADCY8/APBA1/CACNB2/NRG3/CPEB3/LGI1/NEURL1/SORCS3/LRRC4C/NRGN/ASIC1/AKAP5/SLC8A3/BEGAIN/MAP1A/UNC13C/RASGRF1/SHISA9/CALB2/CNTNAP4/JPH3/SHISA6/RARA/MAPT/CACNG4/CELF4/NETO1/UNC13A/SLC8A2/PRKCG/CACNG7/CACNG8/SNAP25/CACNG2/MAPK8IP2/CASK/SYN1/SYP/OPHN1/CHRDL1,81
GO:0099177,regulation of trans-synaptic signaling,81/1059,449/18903,3.6943735824970836e-21,6.079707458929368e-18,5.422303401959755e-18,PRKCZ/DLGAP3/GRIK3/RIMS3/ELAVL4/PLPPR4/SYT11/ATP1A2/CNTN2/NRXN1/CACNB4/PLCL1/EPHA4/CNTN4/GRM7/SLC6A1/WNT7A/ERC2/TMEM108/PFN2/BCHE/CPLX1/HCN1/PLK2/GRIA1/CPLX2/SCGN/GRM4/LRFN2/CNR1/GRM1/AKAP12/STX1A/VGF/GRM8/DGKI/DLGAP2/LZTS1/ADRA1A/PTK2B/RIMS2/ADCY8/APBA1/CACNB2/NRG3/CPEB3/LGI1/NEURL1/SORCS3/LRRC4C/NRGN/ASIC1/AKAP5/SLC8A3/BEGAIN/MAP1A/UNC13C/RASGRF1/SHISA9/CALB2/CNTNAP4/JPH3/SHISA6/RARA/MAPT/CACNG4/CELF4/NETO1/UNC13A/SLC8A2/PRKCG/CACNG7/CACNG8/SNAP25/CACNG2/MAPK8IP2/CASK/SYN1/SYP/OPHN1/CHRDL1,81
GO:0007409,axonogenesis,76/1059,438/18903,6.825513909575318e-19,8.424390542893337e-16,7.513453864145673e-16,DRAXIN/STMN1/EPHA10/NEXN/PLPPR4/SEMA6C/S100A6/TRIM46/NFASC/CNTN2/PLXNA2/NRXN1/CTNNA2/KLF7/MAP2/CDK5R2/EPHA4/CNTN4/WNT7A/TOP2B/LRTM1/ROBO2/EPHA3/EPHA6/GAP43/KALRN/SLITRK3/CRMP1/SEMA5A/ISL1/FSTL4/AUTS2/SEMA3E/DLX5/PLXNA4/EPHB6/UNC5D/OLFM1/LGI1/SHTN1/VAX1/BRSK2/LRRC4C/CNTN5/DSCAML1/PTPRO/ARHGEF25/DCLK1/SLITRK1/SLITRK6/NRXN3/FLRT2/BCL11B/MAP1A/SEMA6D/ISLR2/TUBB3/CDK5R1/CNTNAP1/RND2/MAPT/APLP1/NUMBL/VSTM2L/CHODL/TIAM1/ADARB1/ARX/OPHN1/PAK3/SLC9A6/MCF2/SLITRK4/SLITRK2/L1CAM/GDI1,76
GO:0050808,synapse organization,72/1059,432/18903,5.646363587856575e-17,5.5752194066495823e-14,4.972366081685064e-14,DLGAP3/DNM3/NFASC/CNTN2/NRXN1/CTNNA2/CACNB4/ZNF804A/FZD5/EPHA4/LHFPL4/SLC6A1/WNT7A/BSN/CAMKV/ERC2/PDZRN3/ROBO2/GAP43/TMEM108/PFN2/SLITRK3/GLRB/GABRB2/LRFN2/SEMA3E/LRRN3/LRRC24/TNC/CACNB2/LRRTM3/INA/NEURL1/LRRC4C/CNTN5/KIRREL3/PTPRO/CACNB3/SLITRK1/SLITRK6/LRFN5/SLC8A3/FLRT2/GABRB3/UNC13C/ST8SIA2/SEZ6L2/SHISA6/SEZ6/CDK5R1/ASIC2/SRCIN1/CACNB1/CNTNAP1/MAPT/CBLN2/INSR/UNC13A/SLC8A2/SYNDIG1/SEZ6L/CACNG2/SYN1/ZC4H2/OPHN1/DRP2/CHRDL1/PAK3/GPC4/SLITRK4/SLITRK2/L1CAM,72
GO:0042391,regulation of membrane potential,71/1059,431/18903,1.769392890775482e-16,1.4559154502930923e-13,1.2984860459848844e-13,PRKCZ/GRIK3/RIMS3/KCND3/MLLT11/HCN3/ATP1A2/ATP1B1/KCNH1/RYR2/KCNK3/SLC8A1/NRXN1/CACNB4/KCNJ3/KCNH7/SCN3A/SCN2A/SLC4A3/PID1/WNT7A/KCNH8/TMEM108/FGF12/SLC4A4/ANK2/GLRB/HCN1/GRIA1/GABRB2/CNR1/GRM1/STX1A/KCNH2/ADRA1A/PTK2B/RIMS2/CACNB2/KCNMA1/KCNIP2/KCNC1/SCN3B/CACNA1C/KCNA5/CACNB3/ASIC1/SCN8A/KCNC2/AKAP6/SLC8A3/GABRB3/GABRA5/SEZ6/ASIC2/JUP/CNTNAP1/MAPT/CACNA1G/DSC2/CELF4/NEDD4L/NETO1/ATP1A3/SLC8A2/CXADR/CACNG2/MAPK8IP2/GLRA2/GRIA3/FHL1/GABRA3,71
GO:0035637,multicellular organismal signaling,38/1059,170/18903,1.406885815967305e-13,9.922564676329406e-11,8.849629125099604e-11,KCND3/HCN3/ATP1A2/ATP1B1/ATP2B4/NFASC/RYR2/SLC8A1/CACNB4/KCNJ3/SCN3A/SCN2A/SLC4A3/ATP2B2/FGF12/CORIN/ANK2/HCN1/ISL1/KCNH2/CACNB2/SCN3B/CACNA1C/KCNA5/SCN8A/SLC8A3/JUP/CNTNAP1/CACNA1G/CACNG4/DSC2/ATP1A3/SLC8A2/CACNG7/CACNG8/CXADR/CACNG2/ATP2B3,38
GO:0099504,synaptic vesicle cycle,40/1059,192/18903,3.729318610512365e-13,2.3014557475124431e-10,2.0525973352333188e-10,RIMS3/DNAJC6/SV2A/VAMP4/DNM3/SYT2/CACNB4/SYN2/WNT7A/BSN/ERC2/CADPS/PFN2/CPLX1/CPLX2/PACSIN1/SNAP91/CNR1/STX1A/ADRA1A/RIMS2/APBA1/CACNB2/BRSK2/SYT9/UNC13C/AP3B2/SH3GL3/CDK5R1/UNC13A/PRKCG/SNAP25/SYNDIG1/SLC32A1/SYNJ1/ITSN1/CASK/SYN1/SYP/OPHN1,40
GO:0001508,action potential,34/1059,146/18903,7.802106028936206e-13,4.2798886072064495e-10,3.817100528542708e-10,KCND3/HCN3/ATP1A2/ATP1B1/RYR2/SLC8A1/CACNB4/KCNJ3/KCNH7/SCN3A/SCN2A/SLC4A3/FGF12/ANK2/HCN1/CNR1/KCNH2/ADRA1A/CACNB2/KCNIP2/SCN3B/CACNA1C/KCNA5/CACNB3/SCN8A/KCNC2/AKAP6/JUP/CNTNAP1/CACNA1G/DSC2/NEDD4L/SLC8A2/CXADR,34
GO:0007611,learning or memory,48/1059,273/18903,1.3308453129119138e-12,6.570383309846118e-10,5.859922046221616e-10,PRKCZ/CAMK2N1/FOXO6/ELAVL4/SYT11/ATP1A2/CNTN2/NRXN1/SCN2A/SLC6A1/BCHE/PLK2/CAMK4/GRIA1/ATXN1/CNR1/VIP/DNAH11/EGFR/CSMD1/ADCY8/BRINP1/CPEB3/SORCS3/MDK/FEN1/NRGN/ASIC1/ZNF385A/SLC8A3/NRXN3/GABRA5/MAP1A/RASGRF1/JPH3/SPECC1/THRA/MAPT/NETO1/INSR/SLC8A2/PRKCG/PAK5/SNAP25/SYNJ1/RCAN1/MAPK8IP2/AFF2,48
