ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0050808,synapse organization,67/669,432/18903,7.879113055774364e-25,3.447111961901284e-21,3.0471433017805278e-21,DLGAP3/NFIA/NTNG1/SEMA4A/DNM3/PPFIA4/CNTN2/NRXN1/CTNNA2/DNER/LHFPL4/SLC6A1/CAMKV/PDZRN3/GAP43/EPHB1/CLSTN2/ADGRL3/GRID2/GABRB2/GABRG2/LRFN2/CAMK2B/LRRN3/SYBU/NTRK2/TNC/ANK3/LRRTM3/INA/NEURL1/LRRC4C/NPAS4/KIRREL3/GRIN2B/SLITRK1/LRFN5/SLC8A3/FLRT2/GABRB3/UNC13C/ABHD17C/NTRK3/NTN1/SHISA6/SEZ6/CDK5R1/ASIC2/MAPT/ITGA3/TANC2/UNC13A/SLC8A2/PPFIA3/APP/DSCAM/DIP2A/SEZ6L/CACNG2/NLGN4X/FRMPD4/SYN1/OPHN1/CHRDL1/PAK3/SLITRK4/L1CAM,67
GO:0050804,modulation of chemical synaptic transmission,64/669,448/18903,8.789131985355368e-22,1.4467672621362245e-18,1.2788987479310653e-18,DLGAP3/GRIK3/PLPPR4/NTNG1/SYT11/ADORA1/CNTN2/NRXN1/PLCL1/CNTN4/GRM7/SLC6A1/IGSF11/EPHB1/CLSTN2/CPLX1/GRID2/HCN1/CAMK2A/GRIA1/SCGN/LRFN2/CNR1/CAMK2B/GRM8/PTN/DGKI/DLGAP2/APBA1/NTRK2/CPEB3/NEURL1/SORCS3/LRRC4C/NPAS4/NRGN/GRIN2B/NALCN/JPH4/SLC8A3/UNC13C/RASGRF1/GRIN2A/CDH11/CNTNAP4/SHISA6/MAPT/CELF4/UNC13A/SLC8A2/GRIN2D/PPFIA3/CACNG7/CACNG8/RIMS4/KCNB1/APP/CACNG2/NPTXR/NLGN4X/CASK/SYN1/OPHN1/CHRDL1,64
GO:0099177,regulation of trans-synaptic signaling,64/669,449/18903,9.92068979750554e-22,1.4467672621362245e-18,1.2788987479310653e-18,DLGAP3/GRIK3/PLPPR4/NTNG1/SYT11/ADORA1/CNTN2/NRXN1/PLCL1/CNTN4/GRM7/SLC6A1/IGSF11/EPHB1/CLSTN2/CPLX1/GRID2/HCN1/CAMK2A/GRIA1/SCGN/LRFN2/CNR1/CAMK2B/GRM8/PTN/DGKI/DLGAP2/APBA1/NTRK2/CPEB3/NEURL1/SORCS3/LRRC4C/NPAS4/NRGN/GRIN2B/NALCN/JPH4/SLC8A3/UNC13C/RASGRF1/GRIN2A/CDH11/CNTNAP4/SHISA6/MAPT/CELF4/UNC13A/SLC8A2/GRIN2D/PPFIA3/CACNG7/CACNG8/RIMS4/KCNB1/APP/CACNG2/NPTXR/NLGN4X/CASK/SYN1/OPHN1/CHRDL1,64
GO:0061564,axon development,65/669,490/18903,2.3329364234732053e-20,2.5516492131738183e-17,2.2555811631159362e-17,EPHA10/NEXN/PLPPR4/NTNG1/TSPAN2/NOTCH2/S100A6/TRIM46/SEMA4A/CNTN2/PLXNA2/NRXN1/CTNNA2/CNTN4/GRM7/ROBO1/EPHA3/GAP43/SEMA5B/EPHB1/SEMA5A/ISL1/KIAA0319/CNR1/POU3F2/AUTS2/SEMA3C/SEMA3A/DLX5/PTN/UNC5D/NTRK2/PTCH1/TNC/ANK3/SHTN1/VAX1/FGFR2/LRRC4C/DSCAML1/CNTN1/KIF5A/DCLK1/SLITRK1/NRXN3/FLRT2/BCL11B/SEMA6D/ISLR2/CDH11/RTN4RL1/NTN1/CDK5R1/MAPT/SPTBN4/CHODL/NCAM2/APP/DSCAM/KREMEN1/OPHN1/PAK3/SLC9A6/SLITRK4/L1CAM,65
GO:0007409,axonogenesis,57/669,438/18903,1.4091618192498288e-17,1.2330165918436002e-14,1.089949583983973e-14,EPHA10/NEXN/PLPPR4/NTNG1/NOTCH2/S100A6/TRIM46/SEMA4A/CNTN2/PLXNA2/NRXN1/CTNNA2/CNTN4/ROBO1/EPHA3/GAP43/SEMA5B/EPHB1/SEMA5A/ISL1/KIAA0319/POU3F2/AUTS2/SEMA3C/SEMA3A/DLX5/UNC5D/NTRK2/PTCH1/ANK3/SHTN1/VAX1/FGFR2/LRRC4C/DSCAML1/CNTN1/KIF5A/DCLK1/SLITRK1/NRXN3/FLRT2/BCL11B/SEMA6D/ISLR2/CDH11/NTN1/CDK5R1/MAPT/SPTBN4/CHODL/APP/DSCAM/OPHN1/PAK3/SLC9A6/SLITRK4/L1CAM,57
GO:0042391,regulation of membrane potential,55/669,431/18903,1.2896811436163093e-16,9.403925005535588e-14,8.312786880081264e-14,GRIK3/KCND3/HCN3/ADORA1/RYR2/KCNK3/SLC8A1/NRXN1/KCNH7/SCN3A/SCN2A/PID1/KCNH8/IGSF11/FGF12/SLC4A4/GRID2/ANK2/HCN1/GRIA1/GABRB2/GABRG2/CNR1/ABCB5/NTRK2/ANK3/NPAS4/SCN3B/GRIN2B/KCNC2/P2RX4/NALCN/AKAP6/KCNH5/SLC8A3/KCNK10/GABRB3/GABRA5/ABAT/GRIN2A/SEZ6/ASIC2/MAPT/CACNA1G/CELF4/NEDD4L/ATP1A3/SLC8A2/GRIN2D/RIMS4/KCNB1/APP/CACNG2/NLGN4X/GABRA3,55
GO:0001764,neuron migration,32/669,177/18903,2.3394289866086367e-14,1.462143116630398e-11,1.2924905408722004e-11,NTNG1/TRIM46/ARHGEF2/ASTN1/CNTN2/CTNNA2/CXCR4/DNER/ADGRL3/SPOCK1/CAMK2A/PHACTR1/KIAA0319/CEP85L/CAMK2B/AUTS2/SEMA3A/UNC5D/SCRT1/NTRK2/SHTN1/VAX1/KIRREL3/ASCL1/DCLK1/FLRT2/NTRK3/NTN1/CDK5R1/ITGA3/SCRT2/DCX,32
GO:0051960,regulation of nervous system development,51/669,456/18903,3.438379366762739e-13,1.880363716198373e-10,1.6621849728271454e-10,HES5/PRUNE1/TRIM46/SEMA4A/KIFAP3/PLXNA2/LPIN1/NRXN1/CXCR4/LRP2/SLC25A12/DLX1/DLX2/ROBO1/SEMA5B/EPHB1/CLSTN2/GSX2/GRID2/SEMA5A/KIAA0319/CAMK2B/SEMA3C/SEMA3A/LRRN3/PTN/NTRK2/BRINP1/LRRTM3/NEURL1/SHTN1/VAX1/SORL1/ASCL1/SLITRK1/FLRT2/SEMA6D/ANXA2/ISLR2/NTRK3/SLC7A5/NTN1/ASIC2/MAPT/DLL3/CHODL/SYNJ1/DSCAM/PAK3/SLITRK4/L1CAM,51
GO:0010975,regulation of neuron projection development,50/669,446/18903,5.40689323972761e-13,2.628350880423144e-10,2.3233831301472803e-10,PLPPR5/NTNG1/TRIM46/SEMA4A/DNM3/CNTN2/PLXNA2/ALK/CTNNA2/ROBO1/EPHA3/SEMA5B/TNIK/GRID2/SEMA5A/ENC1/SPOCK1/KIAA0319/CNR1/POU3F2/CAMK2B/SEMA3C/SEMA3A/PTN/PRAG1/TOX/STMN2/NTRK2/SHTN1/LRRC4C/CNTN1/SLITRK1/PRKD1/SEMA6D/ISLR2/NTRK3/RTN4RL1/NTN1/SARM1/SEZ6/CDK5R1/MAPT/ITGA3/TANC2/NEDD4L/CHODL/DSCAM/KREMEN1/PAK3/L1CAM,50
GO:0007411,axon guidance,34/669,236/18903,3.213487461067156e-12,1.4059007642168807e-9,1.2427739928379717e-9,EPHA10/NEXN/NOTCH2/SEMA4A/CNTN2/PLXNA2/NRXN1/CNTN4/ROBO1/EPHA3/GAP43/SEMA5B/EPHB1/SEMA5A/ISL1/SEMA3C/SEMA3A/DLX5/UNC5D/PTCH1/VAX1/DSCAML1/CNTN1/KIF5A/NRXN3/FLRT2/BCL11B/SEMA6D/NTN1/CDK5R1/APP/DSCAM/OPHN1/L1CAM,34
