ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0021537,telencephalon development,9/53,255/18903,3.3930785455147214e-8,4.699413785537889e-5,4.0109760069610866e-5,DMRTA2/NEUROD1/ROBO2/LEF1/FAT4/NEUROD6/GLI3/SECISBP2/CDK5R1,9
GO:0021543,pallium development,7/53,174/18903,5.353599202855833e-7,3.707367447977664e-4,3.164258897266895e-4,DMRTA2/NEUROD1/LEF1/FAT4/NEUROD6/GLI3/CDK5R1,7
GO:0030900,forebrain development,9/53,383/18903,1.056431925703689e-6,4.126607413629149e-4,3.522082557860942e-4,DMRTA2/NEUROD1/ROBO2/LEF1/FAT4/NEUROD6/GLI3/SECISBP2/CDK5R1,9
GO:0045664,regulation of neuron differentiation,7/53,196/18903,1.1917999750553498e-6,4.126607413629149e-4,3.522082557860942e-4,BCL11A/NEUROD1/GLI3/CDK5R1/NEUROD2/MIB1/TCF4,7
GO:0021766,hippocampus development,5/53,82/18903,3.3090859527952204e-6,9.166168089242761e-4,7.823375842082175e-4,NEUROD1/LEF1/NEUROD6/GLI3/CDK5R1,5
GO:0021542,dentate gyrus development,3/53,16/18903,1.1358136155608683e-5,0.0026218364292530045,0.0022377520882015,NEUROD1/LEF1/NEUROD6,3
GO:0021761,limbic system development,5/53,111/18903,1.461847790445267e-5,0.002892370271095278,0.0024686542386015567,NEUROD1/LEF1/NEUROD6/GLI3/CDK5R1,5
GO:0007405,neuroblast proliferation,4/53,67/18903,3.7034145308126044e-5,0.0064115364064693215,0.005472282260661257,DMRTA2/LEF1/GLI3/PTN,4
GO:1902692,regulation of neuroblast proliferation,3/53,40/18903,1.9108258275670552e-4,0.02591171231061412,0.02211579169661384,DMRTA2/GLI3/PTN,3
GO:0050773,regulation of dendrite development,4/53,103/18903,1.9829117466297673e-4,0.02591171231061412,0.02211579169661384,BCL11A/PACSIN1/PTN/SIPA1L1,4
GO:0046425,regulation of receptor signaling pathway via JAK-STAT,4/53,104/18903,2.0579699308068976e-4,0.02591171231061412,0.02211579169661384,NEUROD1/OCIAD2/F2R/CDK5R1,4
GO:0010975,regulation of neuron projection development,7/53,446/18903,2.344246059773819e-4,0.027056506606556164,0.023092880044964903,BCL11A/ROBO2/PACSIN1/SEMA3D/PTN/SIPA1L1/CDK5R1,7
GO:1904892,regulation of receptor signaling pathway via STAT,4/53,115/18903,3.02464387868338e-4,0.029616356973463587,0.02527772668151215,NEUROD1/OCIAD2/F2R/CDK5R1,4
GO:0021987,cerebral cortex development,4/53,117/18903,3.2301844701656754e-4,0.029616356973463587,0.02527772668151215,DMRTA2/FAT4/GLI3/CDK5R1,4
GO:0007389,pattern specification process,7/53,472/18903,3.305329490585341e-4,0.029616356973463587,0.02527772668151215,DMRTA2/NEUROD1/ROBO2/LEF1/GLI3/MIB1/MID1,7
GO:0061564,axon development,7/53,490/18903,4.1397215680180876e-4,0.03211615779985533,0.027411320698641484,ROBO2/GLI3/SEMA3D/PTN/KIF5B/SIPA1L1/CDK5R1,7
GO:0021872,forebrain generation of neurons,3/53,52/18903,4.1739410859017756e-4,0.03211615779985533,0.027411320698641484,LEF1/GLI3/SECISBP2,3
GO:0003002,regionalization,6/53,360/18903,4.939475464864752e-4,0.032862094146588874,0.028047981551677217,DMRTA2/NEUROD1/ROBO2/LEF1/GLI3/MIB1,6
GO:0007411,axon guidance,5/53,236/18903,5.120635044316162e-4,0.032862094146588874,0.028047981551677217,ROBO2/GLI3/SEMA3D/KIF5B/CDK5R1,5
GO:0016358,dendrite development,5/53,237/18903,5.219971633393178e-4,0.032862094146588874,0.028047981551677217,BCL11A/PACSIN1/PTN/SIPA1L1/CDK5R1,5
GO:0097485,neuron projection guidance,5/53,237/18903,5.219971633393178e-4,0.032862094146588874,0.028047981551677217,ROBO2/GLI3/SEMA3D/KIF5B/CDK5R1,5
GO:0050767,regulation of neurogenesis,6/53,377/18903,6.295044273618064e-4,0.0379071144302653,0.03235393464198209,DMRTA2/ROBO2/LEF1/GLI3/SEMA3D/PTN,6
GO:0061351,neural precursor cell proliferation,4/53,149/18903,8.042929538218868e-4,0.04284406696320435,0.03656765130129469,DMRTA2/LEF1/GLI3/PTN,4
GO:0030902,hindbrain development,4/53,153/18903,8.878037679959832e-4,0.045541045136090245,0.03886953728886897,NEUROD1/LEF1/CDK5R1/NEUROD2,4
