ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0000075,cell cycle checkpoint signaling,32/1292,186/18903,1.1553028463872325e-6,0.006240945976183829,0.00593704052217102,CDCA8/ORC1/INTS3/CENPF/SDE2/GEN1/SPC25/FANCD2/ATRIP/MAD2L1/NSUN2/TRIM39/CASP2/PBK/STK33/CDK2/BUB1B/BLM/PLK1/TAOK2/AURKB/CDC6/BRCA1/TEX14/BRIP1/BIRC5/SPC24/E2F1/TTI1/DONSON/CDC45/THOC5,32
GO:0006261,DNA-templated DNA replication,29/1292,166/18903,2.6334740646943788e-6,0.007113013448739517,0.006766642307283136,ORC1/GEN1/MCM6/TRAIP/MCM2/FBXO5/CCNE2/DSCC1/RECQL4/MCM10/DDX21/TWNK/E2F8/FAM111A/POLA2/RECQL/CDK2/PRIM1/RFC3/FANCM/POLE2/BLM/CDC6/BRCA1/POLG2/CARM1/SAMHD1/DONSON/CDC45,29
GO:0009161,ribonucleoside monophosphate metabolic process,15/1292,59/18903,6.989251678139659e-6,0.007795563429162823,0.007415955233183208,AK4/UCK2/PPAT/UPP1/IMPDH1/TJP2/GDA/PNP/PFAS/NT5C/UCKL1/GART/CASK/HPRT1/MPP1,15
GO:0050804,modulation of chemical synaptic transmission,56/1292,448/18903,8.525437357945613e-6,0.007795563429162823,0.007415955233183208,TPRG1L/DLGAP3/GRIK3/PLPPR4/NTNG1/TNR/KMO/CNTN4/GRM7/PXK/MCTP1/SCGN/GRM4/AKAP12/CAMK2B/ACHE/GRM8/DGKI/DLGAP2/ADRA1A/PTK2B/CA2/ADCY8/SLC24A2/DNM1/ZDHHC12/NRG3/SNCG/LGI1/SORCS3/ADRA2A/CLSTN3/PCDH17/NALCN/JPH4/NFATC4/SLC8A3/UNC13C/TBC1D24/SHISA9/PRKCB/CALB2/SHISA6/ADORA2B/HAP1/S1PR2/UNC13A/APOE/PRKCG/SHISA7/KCNB1/APP/GRIK1/SYN3/CACNG2/CASK,56
GO:0099177,regulation of trans-synaptic signaling,56/1292,449/18903,9.10958643444425e-6,0.007795563429162823,0.007415955233183208,TPRG1L/DLGAP3/GRIK3/PLPPR4/NTNG1/TNR/KMO/CNTN4/GRM7/PXK/MCTP1/SCGN/GRM4/AKAP12/CAMK2B/ACHE/GRM8/DGKI/DLGAP2/ADRA1A/PTK2B/CA2/ADCY8/SLC24A2/DNM1/ZDHHC12/NRG3/SNCG/LGI1/SORCS3/ADRA2A/CLSTN3/PCDH17/NALCN/JPH4/NFATC4/SLC8A3/UNC13C/TBC1D24/SHISA9/PRKCB/CALB2/SHISA6/ADORA2B/HAP1/S1PR2/UNC13A/APOE/PRKCG/SHISA7/KCNB1/APP/GRIK1/SYN3/CACNG2/CASK,56
GO:0007093,mitotic cell cycle checkpoint signaling,25/1292,141/18903,9.661805813198492e-6,0.007795563429162823,0.007415955233183208,CDCA8/ORC1/INTS3/CENPF/SDE2/GEN1/SPC25/FANCD2/MAD2L1/TRIM39/CASP2/PBK/STK33/CDK2/BUB1B/BLM/PLK1/TAOK2/AURKB/CDC6/BRCA1/TEX14/BIRC5/SPC24/DONSON,25
GO:0010389,regulation of G2/M transition of mitotic cell cycle,20/1292,99/18903,1.0101618660521985e-5,0.007795563429162823,0.007415955233183208,ORC1/INTS3/KIF14/CENPF/CDC25A/CDC25C/TRIM39/FBXO5/PINX1/CDK2/KCNH5/AVEN/BLM/PLK1/TAOK2/AURKB/CDC6/BRCA1/APP/DONSON,20
GO:0006260,DNA replication,40/1292,286/18903,1.2435186152505649e-5,0.00839685944947944,0.007987970894280603,ORC1/SDE2/RRM2/GEN1/MCM6/TRAIP/MCM2/FBXO5/ESCO2/CCNE2/DSCC1/TOP1MT/RECQL4/MCM10/DDX21/TWNK/STN1/ADRA2A/E2F8/FAM111B/FAM111A/POLA2/RECQL/ATF1/CDK2/PRIM1/RFC3/FANCM/POLE2/PCLAF/BLM/RMI2/CDC6/BRCA1/POLG2/CARM1/SAMHD1/DONSON/CHAF1B/CDC45,40
GO:0009167,purine ribonucleoside monophosphate metabolic process,12/1292,42/18903,1.596055992500931e-5,0.00957988274610003,0.009113386380572568,AK4/PPAT/IMPDH1/TJP2/GDA/PNP/PFAS/NT5C/GART/CASK/HPRT1/MPP1,12
GO:0009126,purine nucleoside monophosphate metabolic process,12/1292,44/18903,2.6795970064298176e-5,0.014475183028733875,0.013770307984621444,AK4/PPAT/IMPDH1/TJP2/GDA/PNP/PFAS/NT5C/GART/CASK/HPRT1/MPP1,12
