ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0021542,dentate gyrus development,7/612,16/18903,3.196104162282068e-7,0.0012134670579485663,0.0011319740806556612,LMX1A/NEUROD1/FEZF2/LEF1/NEUROD6/EMX2/MDK,7
GO:0030902,hindbrain development,19/612,153/18903,5.436680367153074e-7,0.0012134670579485663,0.0011319740806556612,TRNP1/NHLH2/LMX1A/OTX1/TBR1/NEUROD1/HES1/LEF1/EGF/DLC1/NFIB/EGR2/CEND1/MDK/LHX5/LHX1/NEUROD2/SSTR2/BMP7,19
GO:0007411,axon guidance,23/612,236/18903,2.7473894092383984e-6,0.0032945548947740013,0.003073302009933491,DVL1/LMX1A/B3GNT2/TBR1/LAMB2/LRTM1/FEZF2/PLXND1/ISL1/SLIT3/UNC5A/ETV1/CRPPA/RELN/PLXNA4/NFIB/EGR2/UNC5B/SLIT1/ARHGEF25/FLRT2/LHX1/BMP7,23
GO:0097485,neuron projection guidance,23/612,237/18903,2.952110120765234e-6,0.0032945548947740013,0.003073302009933491,DVL1/LMX1A/B3GNT2/TBR1/LAMB2/LRTM1/FEZF2/PLXND1/ISL1/SLIT3/UNC5A/ETV1/CRPPA/RELN/PLXNA4/NFIB/EGR2/UNC5B/SLIT1/ARHGEF25/FLRT2/LHX1/BMP7,23
GO:0061351,neural precursor cell proliferation,17/612,149/18903,6.853608800228363e-6,0.005198311233618352,0.004849207517495331,TRNP1/DMRTA2/EMX1/LEF1/EGF/OTP/PTPRZ1/FZD6/EMX2/CEND1/MDK/DAGLA/NEUROD4/LHX5/FOXO1/SHCBP1/LHX1,17
GO:0031960,response to corticosteroid,18/612,165/18903,6.9869774645407956e-6,0.005198311233618352,0.004849207517495331,PTPRU/SDC1/FAM107A/BCHE/ISL1/NR3C1/SLIT3/CCN2/CALCR/TH/MDK/NPAS4/CCND1/ZFP36L1/FOS/CYBA/SSTR2/WNT7B,18
GO:0051384,response to glucocorticoid,16/612,142/18903,1.489498949052372e-5,0.009498747583671127,0.008860838860828849,PTPRU/SDC1/FAM107A/BCHE/ISL1/NR3C1/SLIT3/CALCR/TH/MDK/NPAS4/CCND1/ZFP36L1/FOS/SSTR2/WNT7B,16
GO:0003002,regionalization,28/612,360/18903,1.867473301040845e-5,0.01027652505034533,0.009586383017158586,DMRTA2/OTX1/EMX1/TBR1/NEUROD1/FZD5/FEZF2/HES1/LEF1/IRX2/ISL1/NEUROG1/MDFI/HEY2/LFNG/COBL/RELN/ARC/DMRT3/EGR2/EMX2/DDIT3/SMAD3/NKD1/TMEM107/LHX1/FUZ/WNT7B,28
GO:0030900,forebrain development,29/612,383/18903,2.1945679378027838e-5,0.01027652505034533,0.009586383017158586,DMRTA2/NHLH2/LMX1A/OTX1/EMX1/TBR1/NEUROD1/FEZF2/ZIC1/HES1/LEF1/ISL1/OTP/NEUROD6/RELN/PLXNA4/DLC1/NFIB/SLIT1/EMX2/TH/MDK/KCNC2/LHX5/B2M/RTN4RL1/LHX1/SSTR2/WNT7B,29
GO:0001892,embryonic placenta development,12/612,87/18903,2.302088944969832e-5,0.01027652505034533,0.009586383017158586,FZD5/HES1/LEF1/MDFI/HEY2/RSPO3/TTPA/E2F8/E2F7/ZFP36L1/BMP7/WNT7B,12
GO:0060713,labyrinthine layer morphogenesis,6/612,22/18903,5.382111676932623e-5,0.021841587750752026,0.02037476918080905,FZD5/LEF1/RSPO3/ZFP36L1/BMP7/WNT7B,6
GO:0021761,limbic system development,13/612,111/18903,6.201031399086206e-5,0.023067836804600686,0.02151866685507459,NHLH2/LMX1A/TBR1/NEUROD1/FEZF2/ZIC1/LEF1/OTP/NEUROD6/RELN/EMX2/MDK/LHX5,13
GO:0021871,forebrain regionalization,6/612,24/18903,9.187366149156529e-5,0.031548001915257494,0.02942932832879614,DMRTA2/EMX1/FEZF2/EMX2/LHX1/WNT7B,6
GO:0060711,labyrinthine layer development,8/612,47/18903,1.1884838097970807e-4,0.03789565519238691,0.03535069136509211,FZD5/HES1/LEF1/HEY2/RSPO3/ZFP36L1/BMP7/WNT7B,8
GO:0060669,embryonic placenta morphogenesis,6/612,26/18903,1.487205159974647e-4,0.041136065718367955,0.038373485187196674,FZD5/LEF1/RSPO3/ZFP36L1/BMP7/WNT7B,6
GO:2000177,regulation of neural precursor cell proliferation,11/612,90/18903,1.5334426930375863e-4,0.041136065718367955,0.038373485187196674,DMRTA2/EMX1/EGF/OTP/PTPRZ1/CEND1/MDK/LHX5/FOXO1/SHCBP1/LHX1,11
GO:0048568,embryonic organ development,30/612,449/18903,1.5665616425005718e-4,0.041136065718367955,0.038373485187196674,DVL1/ID3/OTX1/NEUROD1/FZD5/ZIC1/HES1/LEF1/PDGFC/NEUROG1/MDFI/HEY2/RSPO3/COBL/PLXNA4/TTPA/RDH10/FZD6/ZFPM2/STOX1/TH/E2F8/E2F7/POLE/ZFP36L1/SMAD3/LHX1/FUZ/BMP7/WNT7B,30
GO:0007389,pattern specification process,31/612,472/18903,1.6617488800886918e-4,0.041211372226199555,0.038443734325326696,DMRTA2/OTX1/EMX1/TBR1/NEUROD1/FZD5/FEZF2/ZIC1/HES1/LEF1/IRX2/ISL1/NEUROG1/MDFI/HEY2/LFNG/COBL/RELN/ARC/DMRT3/EGR2/EMX2/DDIT3/SMAD3/NKD1/TMEM107/LHX1/FUZ/BMP7/MFNG/WNT7B,31
GO:0006024,glycosaminoglycan biosynthetic process,10/612,77/18903,1.8301676000158192e-4,0.042999306139319037,0.040111595710042,B3GNT2/HS3ST1/EGF/CHPF2/HAS2/B3GAT1/CHST14/HS3ST3A1/CHST9/DSEL,10
GO:0021936,regulation of cerebellar granule cell precursor proliferation,4/612,10/18903,1.955307574088159e-4,0.0436424650536477,0.04071156191101451,EGF/CEND1/LHX5/LHX1,4
