ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0061564,axon development,30/208,490/18903,2.192776622341752e-14,6.067412914019628e-11,5.3365258430043486e-11,CAMSAP2/NFASC/NRXN1/EPHA4/GRM7/EPHA6/GAP43/EPHB1/NREP/AUTS2/DLX5/PTN/SHTN1/INPP5F/LRRC4C/MAP6/DSCAML1/KIF5A/BCL11B/SEMA6D/CDK5R1/MAPT/RAB3A/APLP1/NOVA2/ARHGAP35/APP/DSCAM/ARX/OPHN1,30
GO:0050808,synapse organization,26/208,432/18903,2.0214729055156528e-12,2.7967077647809057e-9,2.4598133460800997e-9,NOS1AP/DNM3/NFASC/NRXN1/ADD2/ZNF804A/EPHA4/PDZRN3/GAP43/EPHB1/SNCA/MEF2C/INA/LRRC4C/NRXN2/GRIN2B/LRFN5/NTRK3/CDK5R1/MAPT/RAB3A/LRRC4B/APP/DSCAM/SEZ6L/OPHN1,26
GO:0007409,axonogenesis,25/208,438/18903,1.752241595848277e-11,1.616150831904061e-8,1.4214675682811287e-8,NFASC/NRXN1/EPHA4/EPHA6/GAP43/EPHB1/AUTS2/DLX5/SHTN1/LRRC4C/MAP6/DSCAML1/KIF5A/BCL11B/SEMA6D/CDK5R1/MAPT/RAB3A/APLP1/NOVA2/ARHGAP35/APP/DSCAM/ARX/OPHN1,25
GO:0007411,axon guidance,18/208,236/18903,1.3512348611654657e-10,8.014867789666845e-8,7.049388214372299e-8,NFASC/NRXN1/EPHA4/EPHA6/GAP43/EPHB1/DLX5/DSCAML1/KIF5A/BCL11B/SEMA6D/CDK5R1/NOVA2/ARHGAP35/APP/DSCAM/ARX/OPHN1,18
GO:0097485,neuron projection guidance,18/208,237/18903,1.4482955890254509e-10,8.014867789666845e-8,7.049388214372299e-8,NFASC/NRXN1/EPHA4/EPHA6/GAP43/EPHB1/DLX5/DSCAML1/KIF5A/BCL11B/SEMA6D/CDK5R1/NOVA2/ARHGAP35/APP/DSCAM/ARX/OPHN1,18
GO:0099173,postsynapse organization,14/208,166/18903,4.462530898068666e-9,1.830239552925024e-6,1.6097669322133627e-6,NOS1AP/DNM3/NRXN1/ZNF804A/EPHA4/GAP43/EPHB1/INA/NRXN2/GRIN2B/NTRK3/CDK5R1/LRRC4B/OPHN1,14
GO:0050804,modulation of chemical synaptic transmission,22/208,448/18903,5.080814317625888e-9,1.830239552925024e-6,1.6097669322133627e-6,GRIK3/ELAVL4/NRXN1/EPHA4/GRM7/EPHB1/NSG1/SNCA/MEF2C/STXBP5/PRKAR2B/PTN/LRRC4C/CNIH2/GRIN2B/JPH4/VAMP2/MAPT/RAB3A/APP/CASK/OPHN1,22
GO:0099177,regulation of trans-synaptic signaling,22/208,449/18903,5.291621403469531e-9,1.830239552925024e-6,1.6097669322133627e-6,GRIK3/ELAVL4/NRXN1/EPHA4/GRM7/EPHB1/NSG1/SNCA/MEF2C/STXBP5/PRKAR2B/PTN/LRRC4C/CNIH2/GRIN2B/JPH4/VAMP2/MAPT/RAB3A/APP/CASK/OPHN1,22
GO:0031113,regulation of microtubule polymerization,9/208,54/18903,6.890069294326412e-9,2.118313526377909e-6,1.8631392056704867e-6,CAMSAP2/MAPRE3/SNCA/STMN2/SLAIN1/ARHGEF7/CDK5R1/MAPT/DYRK1A,9
GO:0007611,learning or memory,16/208,273/18903,6.292169439456653e-8,1.741043283897656e-5,1.5313153414761876e-5,ELAVL4/NRXN1/MEF2C/CAMK4/PRKAR2B/PTN/BRINP1/NRXN2/GRIN2B/TAFA2/JPH4/MEIS2/THRA/MAPT/APP/AFF2,16
GO:0007416,synapse assembly,13/208,184/18903,1.3194046468298214e-7,3.3189024161619235e-5,2.919103869349806e-5,DNM3/NRXN1/ADD2/GAP43/EPHB1/SNCA/MEF2C/NRXN2/LRFN5/NTRK3/LRRC4B/APP/DSCAM,13
GO:0032271,regulation of protein polymerization,13/208,201/18903,3.6690116805667507e-7,8.338971210918695e-5,7.334449789680643e-5,CAMSAP2/MAPRE3/ADD2/SNCA/LATS1/STMN2/FCHSD2/SLAIN1/ARHGEF7/COTL1/CDK5R1/MAPT/DYRK1A,13
GO:0046785,microtubule polymerization,9/208,85/18903,3.974482379128853e-7,8.338971210918695e-5,7.334449789680643e-5,CAMSAP2/MAPRE3/SNCA/STMN2/SLAIN1/ARHGEF7/CDK5R1/MAPT/DYRK1A,9
GO:0050890,cognition,16/208,314/18903,4.2192120329910277e-7,8.338971210918695e-5,7.334449789680643e-5,ELAVL4/NRXN1/MEF2C/CAMK4/PRKAR2B/PTN/BRINP1/NRXN2/GRIN2B/TAFA2/JPH4/MEIS2/THRA/MAPT/APP/AFF2,16
