ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0051960,regulation of nervous system development,63/1238,456/18903,1.4259115210582602e-8,2.723622068651096e-5,2.3807129979756478e-5,DMRTA2/SEMA4A/CRABP2/KIF14/PROX1/DISC1/ID2/SEMA4F/EIF2AK3/OBSL1/PER2/FEZF2/PLXNA1/HES1/REST/GRID2/LEF1/IL6ST/EFNA5/SEMA6A/RGS14/CUL7/VEGFA/EPHA7/UFL1/HEY2/OPRM1/GLI3/SEMA3C/SEMA3E/SEMA3A/FEZF1/PLAG1/LRRC24/BRINP1/LHX2/EGR2/SLIT1/RASSF10/ABCC8/PAX6/LRP4/CTSC/GRM5/YAP1/SORL1/PLXNC1/SLITRK5/LIG4/NFATC4/PRKCH/PRTG/FBXO31/ASIC2/SYT4/DCC/SEMA6B/TGFB1/ID1/CDH4/TRPC5/MCF2/SLITRK4,63
GO:0010975,regulation of neuron projection development,62/1238,446/18903,1.4695072714246845e-8,2.723622068651096e-5,2.3807129979756478e-5,PTPRF/PLPPR5/SEMA4A/CRABP2/DISC1/FKBP1B/SEMA4F/TBR1/NFE2L2/OBSL1/ITM2C/FEZF2/PLXNA1/HES1/GRID2/PDLIM5/NDNF/SFRP2/TENM3/EFNA5/SEMA6A/DTNBP1/MYLIP/PACSIN1/CUL7/VEGFA/EPHA7/MAGI2/SEMA3C/SEMA3E/SEMA3A/FZD1/KEL/PTK2B/KIF13B/TOX/SDC2/CSMD3/ARC/KANK1/VIM/SLIT1/KNDC1/LRP4/RTN4RL2/FAT3/CNTN1/AVIL/PLXNC1/NFATC4/CIB1/FBXO31/RTN4RL1/ATP1B2/ARHGAP44/DCC/SEMA6B/ID1/CDH4/INPP5J/TRPC5/MCF2,62
GO:0050767,regulation of neurogenesis,55/1238,377/18903,1.8128444457067602e-8,2.723622068651096e-5,2.3807129979756478e-5,DMRTA2/SEMA4A/CRABP2/PROX1/DISC1/ID2/SEMA4F/OBSL1/PER2/FEZF2/PLXNA1/HES1/REST/LEF1/IL6ST/EFNA5/SEMA6A/RGS14/CUL7/VEGFA/EPHA7/UFL1/HEY2/OPRM1/GLI3/SEMA3C/SEMA3E/SEMA3A/FEZF1/PLAG1/BRINP1/LHX2/EGR2/SLIT1/RASSF10/ABCC8/PAX6/LRP4/GRM5/YAP1/SORL1/PLXNC1/LIG4/NFATC4/PRKCH/PRTG/FBXO31/SYT4/DCC/SEMA6B/TGFB1/ID1/CDH4/TRPC5/MCF2,55
GO:0036293,response to decreased oxygen levels,48/1238,309/18903,2.010647333818318e-8,2.723622068651096e-5,2.3807129979756478e-5,AGTRAP/SLC9A1/SLC2A1/AK4/VCAM1/DDR2/ADORA1/TGFB2/RYR2/HK2/DPP4/SCN2A/PDK1/NFE2L2/TGFBR2/FAM162A/PLOD2/TFRC/CPEB2/REST/NDNF/ITGA2/PAM/VEGFA/CCN2/CHCHD2/GNGT1/STC1/PTK2B/PLAT/SLC1A1/SLC2A8/ADO/STOX1/KCNMA1/BNIP3/TH/P2RX3/ERO1A/ZFP36L1/SLC8A3/CHRNA7/RORA/CPEB1/CYBA/CYGB/PMAIP1/CHRNA4,48
GO:0007411,axon guidance,40/1238,236/18903,2.6607869681810287e-8,2.723622068651096e-5,2.3807129979756478e-5,EPHA2/SEMA4A/IGSF9/LHX9/B3GNT2/SEMA4F/TBR1/NRP2/FEZF2/PLXNA1/EPHA5/BMPR1B/UNC5C/ISL1/EFNA5/SEMA6A/VEGFA/EPHA7/GLI3/SEMA3C/SEMA3E/SEMA3A/FEZF1/PTCH1/LHX2/PRKCQ/EGR2/LGI1/SLIT1/PAX6/ROBO3/CNTN1/PLXNC1/OTX2/LHX1/DCC/SEMA6B/VASP/CDH4/LAMA5,40
GO:0097485,neuron projection guidance,40/1238,237/18903,3.002890924642884e-8,2.723622068651096e-5,2.3807129979756478e-5,EPHA2/SEMA4A/IGSF9/LHX9/B3GNT2/SEMA4F/TBR1/NRP2/FEZF2/PLXNA1/EPHA5/BMPR1B/UNC5C/ISL1/EFNA5/SEMA6A/VEGFA/EPHA7/GLI3/SEMA3C/SEMA3E/SEMA3A/FEZF1/PTCH1/LHX2/PRKCQ/EGR2/LGI1/SLIT1/PAX6/ROBO3/CNTN1/PLXNC1/OTX2/LHX1/DCC/SEMA6B/VASP/CDH4/LAMA5,40
GO:0001666,response to hypoxia,46/1238,296/18903,3.903178552090101e-8,3.0344425257820473e-5,2.6524005829917545e-5,AGTRAP/SLC9A1/SLC2A1/AK4/VCAM1/DDR2/ADORA1/TGFB2/RYR2/HK2/DPP4/SCN2A/PDK1/NFE2L2/TGFBR2/FAM162A/PLOD2/TFRC/CPEB2/REST/NDNF/ITGA2/PAM/VEGFA/CHCHD2/GNGT1/STC1/PTK2B/PLAT/SLC2A8/ADO/STOX1/KCNMA1/BNIP3/TH/P2RX3/ERO1A/ZFP36L1/SLC8A3/CHRNA7/RORA/CPEB1/CYBA/CYGB/PMAIP1/CHRNA4,46
GO:0021871,forebrain regionalization,11/1238,24/18903,1.0270659020205628e-7,6.986615798494878e-5,6.106987909514373e-5,DMRTA2/EMX1/EOMES/FEZF2/GLI3/FEZF1/LHX2/EMX2/PAX6/LHX1/WNT7B,11
GO:0070482,response to oxygen levels,48/1238,337/18903,3.018628933273183e-7,1.6756867376631346e-4,1.4647146690457657e-4,AGTRAP/SLC9A1/SLC2A1/AK4/VCAM1/DDR2/ADORA1/TGFB2/RYR2/HK2/DPP4/SCN2A/PDK1/NFE2L2/TGFBR2/FAM162A/PLOD2/TFRC/CPEB2/REST/NDNF/ITGA2/PAM/VEGFA/CCN2/CHCHD2/GNGT1/STC1/PTK2B/PLAT/SLC1A1/SLC2A8/ADO/STOX1/KCNMA1/BNIP3/TH/P2RX3/ERO1A/ZFP36L1/SLC8A3/CHRNA7/RORA/CPEB1/CYBA/CYGB/PMAIP1/CHRNA4,48
GO:0070997,neuron death,51/1238,368/18903,3.079174453625752e-7,1.6756867376631346e-4,1.4647146690457657e-4,CASP9/SLC9A1/JUN/GCLM/DDR2/KIF14/ADORA1/BTG2/TGFB2/BCL2L11/SCN2A/GBE1/FAM162A/REST/GRID2/NDNF/SLC7A11/ISL1/IL6ST/NAIP/NR3C1/DTNBP1/EPHA7/GRIK2/NCOA7/PRKN/SEMA3E/FZD1/PTK2B/CLU/OXR1/SLC1A1/NR4A3/SNCG/BNIP3/CCND1/SORL1/FAIM2/RILPL1/LIG4/NFATC4/CHRNA7/TYRO3/NQO1/DCC/CRLF1/AXL/AKT1S1/PRKCG/PRNP/TRPC5,51
