ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0006261,DNA-templated DNA replication,30/740,166/18903,2.0330990269164577e-12,5.944745855242101e-9,5.47206094472663e-9,MCM6/TRAIP/MCM2/MCM3/MMS22L/MCM7/GINS4/MCM4/CCNE2/DSCC1/TONSL/RECQL4/MCM10/DNA2/FEN1/TIMELESS/E2F7/CDK2AP1/BRCA2/BLM/CHTF18/ORC6/GINS3/CDC6/BRCA1/EME1/POLD1/PCNA/CDC45/MCM5,30
GO:0006260,DNA replication,40/740,286/18903,2.5557806772322016e-12,5.944745855242101e-9,5.47206094472663e-9,DTL/RRM2/MCM6/TRAIP/MCM2/MCM3/MMS22L/EGFR/MCM7/ESCO2/GINS4/MCM4/CCNE2/DSCC1/TONSL/RECQL4/NFIB/MCM10/DNA2/FAM111B/FEN1/CHEK1/TIMELESS/E2F7/CDK2AP1/BRCA2/BLM/CHTF18/ORC6/GINS3/CDC6/BRCA1/EME1/CHAF1A/RNASEH2A/POLD1/PCNA/CHAF1B/CDC45/MCM5,40
GO:1901987,regulation of cell cycle phase transition,51/740,453/18903,1.1813460709614913e-11,1.4436719861663276e-8,1.3288812145822106e-8,CLSPN/CDCA8/CDKN2C/NUF2/PBX1/DTL/CENPF/RRM2/ZFP36L2/SIX3/BUB1/MAP3K20/FANCD2/FAM107A/MAD2L1/TRIP13/CDC25C/TTK/ANLN/EGFR/PBK/SMARCA2/NACC2/ZWINT/DNA2/STK33/WEE1/CDCA5/ANAPC15/CHEK1/ESPL1/TIMELESS/E2F7/BRCA2/DACT1/BLM/AURKB/CDC6/BRCA1/EME1/BRIP1/BIRC5/E2F1/FAM83D/UBE2C/APP/CDC45/MN1/CHEK2/GTSE1/FHL1,51
GO:0007059,chromosome segregation,46/740,382/18903,1.24133446789882e-11,1.4436719861663276e-8,1.3288812145822106e-8,CDCA8/KIF2C/NUF2/CENPF/NCAPH/BUB1/RAD18/FANCD2/SGO1/MAD2L1/TRIP13/CENPK/CENPH/PTTG1/MSH5/TTK/CENPW/ESCO2/CCNE2/DSCC1/SMARCA2/SMC2/ZWINT/MKI67/FEN1/CDCA5/ANAPC15/ESPL1/KNL1/NUSAP1/CENPN/AURKB/CDC6/TOP2A/PSMC3IP/BRCA1/EME1/SKA2/BRIP1/BIRC5/SKA1/FAM83D/UBE2C/MIS18A/KIF4A/TEX11,46
GO:1901988,negative regulation of cell cycle phase transition,37/740,272/18903,3.91358232641975e-11,3.1302795557240685e-8,2.881381461892001e-8,CLSPN/CDCA8/NUF2/DTL/CENPF/ZFP36L2/BUB1/MAP3K20/FANCD2/FAM107A/MAD2L1/TRIP13/TTK/PBK/NACC2/ZWINT/DNA2/STK33/WEE1/ANAPC15/CHEK1/TIMELESS/E2F7/BRCA2/DACT1/BLM/AURKB/CDC6/BRCA1/EME1/BRIP1/BIRC5/E2F1/CDC45/CHEK2/GTSE1/FHL1,37
GO:0000075,cell cycle checkpoint signaling,30/740,186/18903,4.0373339067808273e-11,3.1302795557240685e-8,2.881381461892001e-8,CLSPN/CDCA8/NUF2/DTL/CENPF/BUB1/MAP3K20/FANCD2/MAD2L1/TRIP13/TTK/PBK/ZWINT/DNA2/STK33/ANAPC15/CHEK1/TIMELESS/BRCA2/BLM/AURKB/CDC6/BRCA1/EME1/BRIP1/BIRC5/E2F1/CDC45/CHEK2/GTSE1,30
GO:0006268,DNA unwinding involved in DNA replication,11/740,22/18903,1.4626510645785942e-10,9.720361074885172e-8,8.947465459707852e-8,MCM6/MCM2/MCM3/MCM7/GINS4/MCM4/RECQL4/BLM/GINS3/CDC45/MCM5,11
GO:0010948,negative regulation of cell cycle process,39/740,318/18903,2.710198396521955e-10,1.5759803675775168e-7,1.4506693522435937e-7,CLSPN/CDCA8/NUF2/DTL/CENPF/ZFP36L2/BUB1/MAP3K20/FANCD2/FAM107A/MAD2L1/TRIP13/PTTG1/TTK/PBK/NACC2/ZWINT/DNA2/STK33/WEE1/ANAPC15/CHEK1/ESPL1/TIMELESS/E2F7/BRCA2/DACT1/BLM/AURKB/CDC6/BRCA1/EME1/BRIP1/BIRC5/E2F1/CDC45/CHEK2/GTSE1/FHL1,39
GO:0000280,nuclear division,50/740,481/18903,3.2748124767127665e-10,1.6927141824075322e-7,1.5581213047096531e-7,CDCA8/KIF2C/NUF2/ASPM/CENPF/CYP26B1/NCAPH/BUB1/FANCD2/SGO1/KIF15/MAD2L1/TRIP13/CENPK/CDC25C/PTTG1/MSH5/TTK/ANLN/REEP4/ESCO2/MYBL1/CCNE2/DSCC1/SMARCA2/SMC2/ZWINT/MKI67/CDCA5/ANAPC15/CHEK1/ESPL1/BRCA2/NUSAP1/CCNB2/PKMYT1/AURKB/CDC6/TOP2A/PSMC3IP/EME1/BRIP1/BIRC5/UBE2S/L3MBTL1/MYBL2/UBE2C/CHEK2/KIF4A/TEX11,50
GO:0044772,mitotic cell cycle phase transition,49/740,473/18903,5.564747724812673e-10,2.5887206415828553e-7,2.3828835520566266e-7,CLSPN/CDCA8/CDKN2C/CKS1B/IQGAP3/NUF2/PBX1/DTL/CENPF/RRM2/ZFP36L2/BUB1/FAM107A/MAD2L1/TRIP13/CDC25C/TTK/TPD52L1/ANLN/EGFR/CCNE2/SMARCA2/MELK/NACC2/ZWINT/WEE1/CDCA5/ANAPC15/CHEK1/ESPL1/E2F7/CIT/CDKN3/DACT1/CCNB2/BLM/PKMYT1/AURKB/CDC6/BRCA1/BIRC5/UBE2S/E2F1/UBE2C/APP/BACH1/CHEK2/GTSE1/FHL1,49
