ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0021871,forebrain regionalization,9/270,24/18903,2.3485078395747907e-11,7.580983306147424e-8,6.724148761729927e-8,DMRTA2/EMX1/EOMES/FEZF2/GLI3/LHX2/PAX6/LHX1/WNT7B,9
GO:0007411,axon guidance,18/270,236/18903,8.918002722414151e-9,9.481748274730114e-6,8.41008129761492e-6,LHX9/TBR1/FEZF2/RPL24/UNC5C/EFNA5/SEMA6A/VEGFA/GLI3/SEMA3E/SEMA3D/LHX2/PRKCQ/KIF5B/SLIT1/PAX6/CNTN5/LHX1,18
GO:0097485,neuron projection guidance,18/270,237/18903,9.52874771586364e-9,9.481748274730114e-6,8.41008129761492e-6,LHX9/TBR1/FEZF2/RPL24/UNC5C/EFNA5/SEMA6A/VEGFA/GLI3/SEMA3E/SEMA3D/LHX2/PRKCQ/KIF5B/SLIT1/PAX6/CNTN5/LHX1,18
GO:0003002,regionalization,22/270,360/18903,1.1749378283432608e-8,9.481748274730114e-6,8.41008129761492e-6,RNF220/DMRTA2/WLS/BTG2/AIDA/EMX1/TBR1/NEUROD1/EOMES/FEZF2/SFRP2/NEUROG1/SP8/GLI3/PCSK5/LHX2/PAX6/ZBTB16/NR2F2/TMEM107/LHX1/WNT7B,22
GO:0007389,pattern specification process,25/270,472/18903,2.0094619189519582e-8,1.2973086148753842e-5,1.1506813514840688e-5,RNF220/DMRTA2/WLS/BTG2/AIDA/EMX1/TBR1/NEUROD1/ERBB4/EOMES/FEZF2/SFRP2/NEUROG1/SP8/DNAH11/GLI3/STC1/PCSK5/LHX2/PAX6/ZBTB16/NR2F2/TMEM107/LHX1/WNT7B,25
GO:2000177,regulation of neural precursor cell proliferation,11/270,90/18903,6.321130207675507e-8,3.400768051729423e-5,3.0163989762942777e-5,DMRTA2/BTG2/PROX1/EMX1/VEGFA/GLI3/PTN/LHX2/PAX6/LHX5/LHX1,11
GO:0030900,forebrain development,21/270,383/18903,1.6113558137971675e-7,7.430652238481796e-5,6.590808742147813e-5,DMRTA2/BTG2/PROX1/EMX1/CXCR4/TBR1/NEUROD1/ERBB4/EOMES/FEZF2/GLI3/SEMA3E/NTRK2/LHX2/SLIT1/PAX6/LHX5/NR2F2/LHX1/WNT7B/SOX3,21
GO:0061351,neural precursor cell proliferation,13/270,149/18903,2.2935265070168935e-7,8.543513188241325e-5,7.577889477602689e-5,DMRTA2/BTG2/PROX1/EMX1/VEGFA/GLI3/PTN/LHX2/PAX6/SOX5/NEUROD4/LHX5/LHX1,13
GO:0060560,developmental growth involved in morphogenesis,16/270,233/18903,2.576493222136334e-7,8.543513188241325e-5,7.577889477602689e-5,CRABP2/KIF26B/EMX1/CXCR4/SFRP2/EFNA5/SEMA6A/NRN1/VEGFA/SEMA3E/SEMA3D/LHX2/SLIT1/SYT17/LHX1/WNT7B,16
GO:0001764,neuron migration,14/270,177/18903,2.6466893396038797e-7,8.543513188241325e-5,7.577889477602689e-5,NTNG1/CXCR4/EOMES/FEZF2/UNC5C/SEMA6A/VEGFA/SEMA3E/NTRK2/PAX6/NEUROD4/NR2F2/LHX1/SEPTIN4,14
GO:0007409,axonogenesis,22/270,438/18903,3.661535387790005e-7,1.0744942028896487e-4,9.530503593099343e-5,NTNG1/CRABP2/LHX9/TBR1/FEZF2/RPL24/UNC5C/EFNA5/SEMA6A/VEGFA/GLI3/SEMA3E/SEMA3D/NTRK2/LHX2/PRKCQ/KIF5B/SLIT1/PAX6/CNTN5/LHX1/MBP,22
GO:0061564,axon development,23/270,490/18903,6.440463094411254e-7,1.5772317136624183e-4,1.3989663670389935e-4,NTNG1/CRABP2/LHX9/TBR1/FEZF2/RPL24/UNC5C/EFNA5/SEMA6A/VEGFA/GLI3/SEMA3E/SEMA3D/PTN/NTRK2/LHX2/PRKCQ/KIF5B/SLIT1/PAX6/CNTN5/LHX1/MBP,23
GO:0021978,telencephalon regionalization,5/270,13/18903,6.714317780944814e-7,1.5772317136624183e-4,1.3989663670389935e-4,DMRTA2/EMX1/EOMES/LHX2/PAX6,5
GO:0045165,cell fate commitment,17/270,282/18903,6.84053407412449e-7,1.5772317136624183e-4,1.3989663670389935e-4,DMRTA2/PROX1/TBR1/NEUROD1/ERBB4/EOMES/FEZF2/SFRP2/NEUROG1/GLI3/SOX6/PAX6/SOX5/NEUROD4/NR2F2/EYA2/WNT7B,17
GO:0021537,telencephalon development,16/270,255/18903,8.639979957736543e-7,1.859323686904904e-4,1.6491751217574314e-4,DMRTA2/BTG2/PROX1/EMX1/CXCR4/TBR1/NEUROD1/ERBB4/EOMES/FEZF2/GLI3/NTRK2/LHX2/PAX6/LHX5/LHX1,16
GO:2000179,positive regulation of neural precursor cell proliferation,8/270,55/18903,1.063795032059333e-6,2.1462064771797043e-4,1.90363321526407e-4,DMRTA2/PROX1/VEGFA/GLI3/LHX2/PAX6/LHX5/LHX1,8
GO:0021543,pallium development,13/270,174/18903,1.3588488224948285e-6,2.5802141170666506e-4,2.2885874905176058e-4,DMRTA2/BTG2/PROX1/EMX1/TBR1/NEUROD1/EOMES/FEZF2/GLI3/NTRK2/LHX2/PAX6/LHX5,13
