ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0016126,sterol biosynthetic process,13/253,65/18903,2.8759822956597403e-12,8.63082286927488e-9,8.061832477201988e-9,DHCR24/HSD17B7/MSMO1/HMGCS1/HMGCR/CYP51A1/INSIG1/FDFT1/SQLE/DHCR7/SC5D/SOD1/LSS,13
GO:0006695,cholesterol biosynthetic process,12/253,58/18903,1.3160780100206933e-11,1.3165167026907004e-8,1.2297248212930198e-8,DHCR24/HSD17B7/MSMO1/HMGCS1/HMGCR/CYP51A1/INSIG1/FDFT1/DHCR7/SC5D/SOD1/LSS,12
GO:1902653,secondary alcohol biosynthetic process,12/253,58/18903,1.3160780100206933e-11,1.3165167026907004e-8,1.2297248212930198e-8,DHCR24/HSD17B7/MSMO1/HMGCS1/HMGCR/CYP51A1/INSIG1/FDFT1/DHCR7/SC5D/SOD1/LSS,12
GO:0006694,steroid biosynthetic process,16/253,178/18903,2.3231578362465604e-9,1.742949166643982e-6,1.6280445573485764e-6,DHCR24/HSD17B7/PBX1/MSMO1/HMGCS1/HMGCR/NR3C1/CYP51A1/INSIG1/FDFT1/ASAH1/SQLE/DHCR7/SC5D/SOD1/LSS,16
GO:0042391,regulation of membrane potential,24/253,431/18903,4.207045226959476e-9,2.5250685452210776e-6,2.358602408293281e-6,PRKCZ/NOS1AP/RYR2/KCNH8/DLG1/GABRB1/SLC4A4/PPP3CA/GABRB2/GRM1/KCNQ3/ANK3/KCNMA1/GRID1/INSYN2A/GRIN2B/KCNK10/CHRNA5/ASIC2/CACNA1G/CXADR/APP/SOD1/FHL1,24
GO:0008203,cholesterol metabolic process,14/253,139/18903,5.4760363621139415e-9,2.7389308537839897e-6,2.5583657600542853e-6,DHCR24/HSD17B7/MSMO1/HMGCS1/HMGCR/CYP51A1/INSIG1/FDFT1/SQLE/DHCR7/SC5D/APP/SOD1/LSS,14
GO:1902652,secondary alcohol metabolic process,14/253,149/18903,1.3480438617355177e-8,5.779256612954698e-6,5.398256847822081e-6,DHCR24/HSD17B7/MSMO1/HMGCS1/HMGCR/CYP51A1/INSIG1/FDFT1/SQLE/DHCR7/SC5D/APP/SOD1/LSS,14
GO:0016125,sterol metabolic process,14/253,154/18903,2.0596089264212274e-8,7.72610798523763e-6,7.2167612777101695e-6,DHCR24/HSD17B7/MSMO1/HMGCS1/HMGCR/CYP51A1/INSIG1/FDFT1/SQLE/DHCR7/SC5D/APP/SOD1/LSS,14
GO:0046165,alcohol biosynthetic process,13/253,143/18903,6.652090304323645e-8,2.218102555919473e-5,2.0718732725630252e-5,DHCR24/HSD17B7/MSMO1/HMGCS1/HMGCR/CYP51A1/INSIG1/FDFT1/ASAH1/DHCR7/SC5D/SOD1/LSS,13
GO:0061564,axon development,22/253,490/18903,7.973214516473112e-7,2.3927616763935811e-4,2.2350179218282e-4,EPHA10/CAMSAP2/PLXNA2/ROBO2/UST/EPHB6/UNC5D/TNC/ANK3/FGFR2/LRRC4C/DIP2B/MYCBP2/BCL11B/CDH4/CHODL/NCAM2/APP/TIAM1/DSCAM/ADARB1/SLC9A6,22
